id	outcome	previous_title	reviewed_title	concurrent_removal_reason
TCS-1108	retained	EF1 existence for arbitrary mixed-item utilities	EF1 existence for arbitrary mixed-item utilities	
TCS-1109	retained	EF1 and Pareto optimality for additive mixed items	EF1 and Pareto optimality for additive mixed items	
TCS-1115	retained	Polynomial-time EF1 and Pareto-optimal goods allocation	Polynomial-time EF1 and Pareto-optimal goods allocation	
TCS-1116	retained	Optimal universal approximation factor for EFX	Optimal universal approximation factor for EFX	
TCS-1119	retained	Existence of pairwise maximin-share allocations	Existence of pairwise maximin-share allocations	
TCS-1121	retained	Explicit small-bias generators with additively optimal seeds	Explicit small-bias generators with additively optimal seeds	
TCS-1122	retained	Nontrivial PRGs for logarithmic-degree binary polynomials	Nontrivial PRGs for logarithmic-degree binary polynomials	
TCS-1124	retained	Optimal PRGs for high-dimensional combinatorial rectangles	Optimal PRGs for high-dimensional combinatorial rectangles	
TCS-1125	retained	Sub-log-squared seeds for width-four ordered branching programs	Sub-log-squared seeds for width-four ordered branching programs	
TCS-1131	retained	Sublinear-seed generators for AC0 with parity gates	Sublinear-seed generators for AC0 with parity gates	
TCS-1132	retained	Shorter seeds for arbitrary-order regular branching programs	Shorter seeds for arbitrary-order regular branching programs	
TCS-1133	retained	Sub-log-squared seeds for polynomial-size CNFs and DNFs	Sub-log-squared seeds for polynomial-size CNFs and DNFs	
TCS-1135	renamed	Characterize promise-AM derandomization by targeted hitting sets	Promise-AM derandomization via targeted hitting sets	
TCS-1136	concurrently_deleted			Removed on 2026-09-12 in the user-authorized specify-or-delete review. The proposed PRG replacement assumptions are not a defined hypothesis class, and the source also bundles two distinct derandomization conclusions. Editorial removal of an incompletely specified benchmark, not a resolution claim. Saved source: https://eccc.weizmann.ac.il/report/2023/094/.
TCS-1137	retained	Derandomization from almost-everywhere uniform hardness	Derandomization from almost-everywhere uniform hardness	
TCS-1138	retained	Polynomial-time computationally sound NP verification of #SAT	Polynomial-time computationally sound NP verification of #SAT	
TCS-1141	renamed	Can reachability diameter be approximated within a constant in near-linear time?	Near-linear-time approximation of reachability diameter	
TCS-1144	renamed	Is it true that spr(IPn ) = ω(n) or spr(Disjn ) = ω(n)?	Superlinear spiky rank for Inner Product or Disjointness	
TCS-1151	renamed	Is it decidable whether a given ETP over K has a zero on a given bounded interval [0, T ] with rational endpoints?	Bounded-interval zero testing for exponential-trigonometric polynomials	
TCS-1157	renamed	Is ERM relatively smart in the distribution-free setting?	Relative smartness of distribution-free ERM	
TCS-1161	renamed	Prove that, for some ε > 0, MAX-3-SAT can be solved in conondeterministic time O(2(1−ε)n ).	Conondeterministic MAX-3-SAT below 2ⁿ time	
TCS-1167	renamed	Is the existence of a fully universal representation for a given finite relation algebra effectively decidable?	Deciding fully universal relation-algebra representations	
TCS-1168	retained	Hardness of coloring 2-dicolorable digraphs with any fixed number of colors	Hardness of coloring 2-dicolorable digraphs with any fixed number of colors	
TCS-1169	renamed	What is the smallest number of passes required for computing O(∆)-colorings deterministically in the semi-streaming setting?	Pass complexity of deterministic semi-streaming coloring	
TCS-1170	retained	ETH hardness of constant-factor shortest-vector approximation for 1≤p≤2	ETH hardness of constant-factor shortest-vector approximation for 1≤p≤2	
TCS-1173	renamed	Assuming P ̸= NP, does there exist an NP-intermediate ω-categorical CSP?	NP-intermediate ω-categorical CSPs	
TCS-1178	renamed	Does the membership problem exhibit a qAC0 vs. NL-complete dichotomy?	qAC⁰/NL dichotomy for semigroup membership	
TCS-1192	renamed	The only missing property is worst-case symmetry of information, which we leave as an interesting open problem.	Worst-case symmetry of information	
TCS-1201	renamed	Is it possible to classify the computational complexity of the model-checking problem for all quantifier-free formulas of dependence logic D?	Model-checking classification for quantifier-free dependence logic	
TCS-1206	renamed	Every monadically stable graph class is structurally nowhere dense.	Structural nowhere density of monadically stable graph classes	
TCS-1234	renamed	We also leave as an open problem characterizing the exact trade-off between the number of passes and memory required for exactly computing a stream’s histogram.	Pass–space tradeoffs for exact streaming histograms	
TCS-1235	renamed	Do unrestricted weights make polynomial-size linear decision lists stronger?	Power of unrestricted weights in linear decision lists	
TCS-1241	renamed	Indeed, improving on the competitive ratio of O(log n) [24, 14], even with unlimited space usage, remains open.	Sublogarithmic competitiveness for online metric TSP	
TCS-1243	renamed	There is a polynomial-time (log1+o(1) k)-approximation algorithm for the all-or-nothing flow problem.	Near-logarithmic approximation for all-or-nothing flow	
TCS-1246	renamed	The class of Eulerian digraphs is well-quasi-ordered by weak immersion.	Well-quasi-ordering Eulerian digraphs by weak immersion	
TCS-1251	renamed	Although there is an output-sensitive algorithm for listing triangles [6], it remains open whether it can be extended to arbitrary cyclic queries.	Output-sensitive evaluation of cyclic queries	
TCS-1253	renamed	Although super-polynomial lower bounds for Res[⊕] remain open, it seems conceivable that we will eventually prove such lower bounds sooner or later.	Superpolynomial Res[⊕] lower bounds	
TCS-1259	retained	Exact quantum fanout in constant depth with unrestricted circuit size	Exact quantum fanout in constant depth with unrestricted circuit size	
TCS-1292	renamed	It is unknown whether there exists a deterministic algorithm to reconstruct bounded-degree graphs in o(n2 ) queries.	Deterministic subquadratic-query graph reconstruction	
TCS-1298	renamed	Every element of the Clifford hierarchy is generalized semi-Clifford.	Generalized semi-Clifford structure of the Clifford hierarchy	
TCS-1324	retained	Quantum games PCP with efficient honest provers and short messages	Quantum games PCP with efficient honest provers and short messages	
TCS-1337	concurrently_deleted			Removed on 2026-09-12 in the user-authorized specify-or-delete review. The Reed–Solomon request does not select a rate regime, radius improvement, field growth or effective code subclass, leaving trivial and substantive interpretations mixed. Editorial removal of an incompletely specified benchmark, not a resolution claim. Saved source: https://doi.org/10.4230/LIPIcs.ICALP.2026.43.
TCS-1338	retained	Set-system sparsifiers of size proportional to chain length	Set-system sparsifiers of size proportional to chain length	
TCS-1341	renamed	Are symmetric quantum circuits universal for every finite group action?	Universality of symmetric quantum circuits	
TCS-1342	concurrently_deleted			Removed on 2026-09-12 in the user-authorized specify-or-delete review. The random-circuit cloning request lacks quantitative copy/fidelity/depth bounds, and avoiding circuit learning is an approach restriction without an observable success predicate. Editorial removal of an incompletely specified benchmark, not a resolution claim. Saved source: https://doi.org/10.4230/LIPIcs.ITCS.2026.56.
TCS-1343	renamed	Can membership queries always be removed from agnostic testable learning?	Eliminating membership queries from agnostic testable learning	
TCS-1356	concurrently_deleted			Removed on 2026-09-12 in the user-authorized specify-or-delete review. The geometric diameter conjecture lacks an effective object representation and uniform dependence on the diameter, dimension and VC parameters. Editorial removal of an incompletely specified benchmark, not a resolution claim. Saved source: https://doi.org/10.4230/LIPIcs.SoCG.2026.29.
TCS-1361	concurrently_deleted			Removed on 2026-09-12 in the user-authorized specify-or-delete review. The robust-regression target uses non-trivial error without choosing an error normalization, reward/noise class or uniform quantitative guarantee. Editorial removal of an incompletely specified benchmark, not a resolution claim. Saved source: https://proceedings.mlr.press/v336/adil26a.html.
TCS-1377	retained	Fixed-parameter tractability from the connector pattern in monotone CSPs	Fixed-parameter tractability from the connector pattern in monotone CSPs	
TCS-1420	renamed	Let us conclude by restating the main open problem: is Cantor-Łukasiewicz set theory Łset consistent?	Consistency of Cantor–Łukasiewicz set theory	
TCS-1424	renamed	That is, can formulas be efficiently simulated using bounded-width ABPs over R and R+ ?	Simulating formulas by bounded-width algebraic branching programs	
TCS-1442	renamed	Is there an algebrizing barrier to proving MA ̸⊆ SIZE[nk ]?	Algebrization barriers for MA circuit lower bounds	
TCS-1444	renamed	Can we find suitable choices to improve the MRRW bound?	Improving the MRRW bound	
TCS-1459	renamed	Is there a graph G such that hom(Fi , G) = mi for every i ∈ [k]?	Realizability of prescribed homomorphism counts	
TCS-1478	renamed	It remains open whether one can remove such constraints and achieve successful learning for all VC classes, which leads to the following open question:	Adversarial sequential prediction with abstentions for VC classes	
TCS-1490	concurrently_deleted			Removed on 2026-09-12 in the user-authorized specify-or-delete review. The entangled positional-proof extension does not fix the new initialization, communication/timing or class-level soundness model, so a protocol attack and a PSPACE upper bound are conflated. Editorial removal of an incompletely specified benchmark, not a resolution claim. Saved source: https://doi.org/10.4230/LIPIcs.ICALP.2026.6.
TCS-1494	renamed	Does Nephew resist efficient decision-tree reductions to Lossy-Code?	Decision-tree reductions from Nephew to Lossy-Code	
TCS-1497	renamed	Are one-clock timed Büchi–Landweber games determined?	Determinacy of one-clock timed Büchi–Landweber games	
TCS-1510	concurrently_deleted			Removed on 2026-09-12 in the user-authorized specify-or-delete review. The randomized-evidence discussion has no fixed certification interface, proof system, soundness measure or asymptotic family of statements. Editorial removal of an incompletely specified benchmark, not a resolution claim. Saved source: https://doi.org/10.4230/LIPIcs.FUN.2026.31.
TCS-1512	concurrently_deleted			Removed on 2026-09-12 in the user-authorized specify-or-delete review. The ILP sparsifier extension does not identify its activation model, feasibility representation or dimension-independent intrinsic parameters. Editorial removal of an incompletely specified benchmark, not a resolution claim. Saved source: https://doi.org/10.4230/LIPIcs.ITCS.2026.51.
TCS-1529	retained	One forecaster with the optimal regret rate for every proper loss	One forecaster with the optimal regret rate for every proper loss	
TCS-1538	renamed	Do graphs with bounded mixed number have bounded queue number?	Queue number versus mixed number	
TCS-1539	renamed	Does there exist an adversarially robust compression scheme of size O(f (dVC )) for C?	VC-dimension bounds for adversarially robust compression	
TCS-1540	renamed	Is it true that every Boolean function f : {0, 1}n → {0, 1} has noisy query complexity Ω(I(f ) log I(f ))?	Influence lower bounds for noisy query complexity	
TCS-1544	renamed	Give a classification of the varieties of finite semigroups in terms of their complexity for the membership problem.	Complexity classification of finite-semigroup membership	
TCS-1553	concurrently_deleted			Removed on 2026-09-12 in the user-authorized specify-or-delete review. The circuit target does not specify the resource class meant by an explicit hard family; choosing polynomial-time, NP or E explicitness changes the lower-bound statement. Editorial removal of an incompletely specified benchmark, not a resolution claim. Saved source: https://doi.org/10.4230/LIPIcs.ISAAC.2025.51.
TCS-1555	renamed	In particular, is VCSP(A) in P whenever A does not pp-construct K3 ?	VCSP tractability without pp-constructions of K₃	
TCS-1562	concurrently_deleted			Removed on 2026-09-12 in the user-authorized specify-or-delete review. The succinct powers-of-two feasibility language lacks reconciled signed-coefficient, constant-term and sum-of-powers encoding conventions. Editorial removal of an incompletely specified benchmark, not a resolution claim. Saved source: https://doi.org/10.4230/LIPIcs.MFCS.2025.25.
TCS-1566	concurrently_deleted			Removed on 2026-09-12 in the user-authorized specify-or-delete review. The extractor question does not fix the degree, error and entropy functions, so it supplies no single quantitative below-square-root target. Editorial removal of an incompletely specified benchmark, not a resolution claim. Saved source: https://doi.org/10.4230/LIPIcs.APPROX/RANDOM.2025.38.
TCS-1573	renamed	Lastly, of course, the NP-hardness of improper learning for P/poly remains open.	NP-hardness of improper learning of P/poly	
TCS-1588	renamed	We conjecture the positive results are tight, i.e., exactly the multithreshold predicates and robustly piecewise floor-affine functions are robustly computable.	Characterizing robustly computable predicates and functions	
TCS-1595	renamed	While β-matching at order 4 is decidable [14], decidability at order 5 remains an open question.	Decidability of fifth-order β-matching	
TCS-1602	renamed	The most interesting question that remains open is to determine the deterministic query complexity of finding a king in an n-vertex tournament.	Deterministic query complexity of tournament kings	
TCS-1610	retained	A quadratic barrier for counting the four-edge hypergraph H△	A quadratic barrier for counting the four-edge hypergraph H△	
TCS-1617	renamed	For any subcubic graph H, H-ISC is in P if and only if H is planar.	Planarity dichotomy for induced subdivision detection	
TCS-1639	renamed	Every hereditary small class of graphs has neighborhood complexity O(n).	Linear neighborhood complexity of hereditary small graph classes	
TCS-1649	renamed	The decidability status of the reachability problem for d-BVASS remains open in arbitrary dimension.	Decidability of branching-VASS reachability	
TCS-1656	renamed	Yet, we do not know if there are polynomial time algorithms that decide explicitly given McNaughton games.	Polynomial-time McNaughton games	
TCS-1659	renamed	The decidability remains open for general semigroups – that is, when there are states with non-unique tight actions.	Decidability of Bellman-operator reachability	
TCS-1664	renamed	We do not know yet if temporal cliques admit O(n) spanners, thus the latter result might not appear very decisive.	Linear-size spanners for temporal cliques	
TCS-1670	renamed	The hierarchy is strict, that is, Σn ⊊ Σn+1 for all n (and the same is true for all combinations of Π, Σ and ∆).	Strictness of the plane-walking alternation hierarchy	
TCS-1693	concurrently_deleted			Removed on 2026-09-12 in the user-authorized specify-or-delete review. The SK threshold is not attached to one functional inequality, normalization, field and required dependence of its constant on system size. Editorial removal of an incompletely specified benchmark, not a resolution claim. Saved source: https://proceedings.mlr.press/v291/chen25g.html.
TCS-1699	concurrently_deleted			Removed on 2026-09-12 in the user-authorized specify-or-delete review. The arbitrary-background planted-clique question requests any hardness result without fixing its hypothesis, planting regime, recovery task or success probability. Editorial removal of an incompletely specified benchmark, not a resolution claim. Saved source: https://doi.org/10.4230/LIPIcs.APPROX/RANDOM.2025.11.
TCS-1714	retained	Polynomial-time stable matching in unimodular hypergraphs	Polynomial-time stable matching in unimodular hypergraphs	
TCS-1750	renamed	To the best of our knowledge, the generic semistability problem remains open for general acyclic quivers.	Generic semistability for acyclic quivers	
TCS-1762	renamed	We conjecture that tight instances exist in these spaces, i.e., the spanner bounds obtained in [25, 22] are optimal for every stretch t.	Optimal spanner sparsity in ℓₚ spaces	
TCS-1771	renamed	What is the optimal output-list size for random linear codes and Reed–Solomon codes?	Optimal list size for random linear and Reed–Solomon codes	
TCS-1784	renamed	Second, could a lower bound on any deterministic local broadcast algorithm, better than Ω(∆ log n), be proved?	Deterministic local broadcast beyond the Δ log n lower bound	
TCS-1798	renamed	Is there a sparse fault-tolerant exact or approximate distance oracle for an arbitrary subset P of V × V ?	Sparse fault-tolerant pairwise distance oracles	
TCS-1807	renamed	Do finite-domain RCSPs (with possibly infinite restriction) exhibit a P vs. NP-hard dichotomy?	Dichotomy for finite-domain restricted CSPs	
TCS-1823	renamed	Can we construct a decision tree of height poly(d) which, on input y, outputs one of the influential coordinates of fy with high probability?	Shallow decision trees for finding influential coordinates	
TCS-1845	renamed	What is the exact time-complexity of tt-DT?	Complexity of truth-table decision-tree optimization	
TCS-1846	renamed	Is Edge Coloring solvable in O∗ (1.9999m ) time, or at least in O∗ (2m−n ) time?	Edge Coloring below 2ᵐ time	
TCS-1882	retained	Tight quantum query lower bounds for uniformity testing	Tight quantum query lower bounds for uniformity testing	
TCS-1905	concurrently_deleted			Removed on 2026-09-12 in the user-authorized specify-or-delete review. The symmetric VP/VNP classes needed by the proposed IPS implication are not defined, including their field, group actions and reduction conventions. Editorial removal of an incompletely specified benchmark, not a resolution claim. Saved source: https://doi.org/10.4230/LIPIcs.MFCS.2025.40.
TCS-1912	retained	Exponential erasure-list sizes for every small-field linear code	Exponential erasure-list sizes for every small-field linear code	
TCS-1929	renamed	Are there SIPs with statistical (or even perfect) zero-knowledge?	Statistical zero-knowledge streaming interactive proofs	
TCS-1930	renamed	Does W[1] ≠ FPT imply the Parameterized Inapproximability Hypothesis?	Parameterized Inapproximability Hypothesis from FPT ≠ W[1]	
TCS-1934	renamed	Does every n-node undirected graph have a constant-stretch shortestpaths preserving graph of aspect ratio poly(n)?	Bounded-aspect-ratio shortest-path-preserving graphs	
TCS-1936	renamed	Does the n/2-Ramsey search problem belong to TFAP?	n/2-Ramsey search in TFAP	
TCS-1945	renamed	Prove no(k) time lower bound of approximating k-NCPp or its related problems to any constant factor under assumptions weaker than Gap-ETH.	Parameterized Nearest Codeword hardness beyond Gap-ETH	
TCS-1955	renamed	Then we ask, is W≥t [F ] ∈ O(exp(−t))?	Fourier concentration after shallow quantum preprocessing	
TCS-1956	renamed	Does the existence of a demi-bit imply the existence of a super-bit?	Super-bits from demi-bits	
TCS-1961	renamed	Are OWSGs and EFI pairs (or PRSGs) equivalent?	One-way state generators versus EFI pairs	
TCS-1965	concurrently_deleted			Removed on 2026-09-12 in the user-authorized specify-or-delete review. The generic distributed simulation statement leaves solver-versus-simulation semantics, randomness and initial global knowledge unspecified. Editorial removal of an incompletely specified benchmark, not a resolution claim. Saved source: https://doi.org/10.4230/LIPIcs.OPODIS.2024.26.
TCS-1978	renamed	It is unknown whether it is always true that a PCSP(A, B) that is solvable by BLP is also polynomially solvable in its search variant.	Search tractability of BLP-solvable promise CSPs	
TCS-1992	renamed	It remains open whether Presburger arithmetic with the primes predicate (P ) is decidable; see, e.g., [31, 93].	Decidability of Presburger arithmetic with primes	
TCS-2008	renamed	Is the amalgamation meta-problem decidable in EXPSPACE?	Amalgamation meta-problem in EXPSPACE	
TCS-2010	renamed	We leave it as an open question to achieve an exponential lower bound on the permanent assuming the τ -conjecture.	Exponential permanent lower bounds from the τ-conjecture	
TCS-2018	renamed	Every submodular hypergraph admits a (1+ϵ)-sparsifier of size O(ϵ−2 n2 ), which is in fact a reweighted sub-hypergraph.	Quadratic-size submodular hypergraph sparsifiers	
TCS-2029	renamed	In the other direction, we leave open whether FBPP ⊂ FBPPnegl or whether the two classes are incomparable.	FBPP versus negligible-error FBPP	
TCS-2033	renamed	Even if it is correct the complexity of the problem for 1-GVAS remains open.	Complexity of one-dimensional grammar-controlled VAS	
TCS-2039	renamed	Of course, it also remains open whether the freeness problem for automaton groups [19, 7.2 b)] is decidable.	Decidability of freeness in automaton groups	
TCS-2076	retained	Optimal mixing of global Kawasaki dynamics on bounded-degree graphs	Optimal mixing of global Kawasaki dynamics on bounded-degree graphs	
TCS-2077	retained	Deterministic divisibility testing by a constant-degree polynomial	Deterministic divisibility testing by a constant-degree polynomial	
TCS-2093	concurrently_deleted			Removed on 2026-09-12 in the user-authorized specify-or-delete review. The NAND uniformity definition mixes input-dependent descriptions with a fixed formula family and leaves the claimed hierarchy coefficient range unresolved. Editorial removal of an incompletely specified benchmark, not a resolution claim. Saved source: https://doi.org/10.4230/LIPIcs.ITCS.2024.10.
TCS-2097	retained	A general 3/2 communication lower bound for reliable broadcast	A general 3/2 communication lower bound for reliable broadcast	
TCS-2103	retained	Maximum-weight independent set with no long induced claw or large clique	Maximum-weight independent set with no long induced claw or large clique	
TCS-2111	retained	Fully polynomial learning of positive ReLU networks under Gaussian inputs	Fully polynomial learning of positive ReLU networks under Gaussian inputs	
TCS-2126	renamed	In particular, we do not know if the value iteration algorithm has polynomial smoothed complexity and we leave this problem as an open question.	Polynomial smoothed complexity of value iteration	
TCS-2181	renamed	Would we be able to factor polynomials efficiently if we could construct irreducible polynomials?	Polynomial factorization from irreducible-polynomial construction	
TCS-2201	renamed	That is, can one also use standard extractors to construct non-malleable extractors?	Non-malleable extractors from standard extractors	
TCS-2202	renamed	Can we show NP-hardness of computing conditional pKt in the polynomial-time regime?	NP-hardness of conditional polynomial-time pKt	
TCS-2215	renamed	Can we prove a real version of Toda’s theorem [30]?	A real analogue of Toda’s theorem	
TCS-2229	renamed	What is the relationship of QMA and QMA(2)?	QMA versus QMA(2)	
TCS-2233	renamed	Are there hereditary (or even monotone) classes of local complexity Ω(nc ) for c > 1?	Superlinear local complexity of hereditary graph classes	
TCS-2243	renamed	Is there is a TC0 /NC1 complexity dichotomy?	TC⁰/NC¹ complexity dichotomy	
TCS-2244	renamed	Does Constant Degree Hypothesis hold?	Constant Degree Hypothesis	
TCS-2247	renamed	Is it true that all graphs of, say, bounded flip-width admit a linear-size dag compression?	Linear-size DAG compression from bounded flip-width	
TCS-2277	retained	High-precision approximation of a log-sum-exp minimizer	High-precision approximation of a log-sum-exp minimizer	
TCS-2316	retained	Recognizing and constructing mim-width-one decompositions	Recognizing and constructing mim-width-one decompositions	
TCS-2319	renamed	Can we reduce explicit construction problems to solving NC03 -Avoid?	Explicit constructions from NC⁰₃ range avoidance	
TCS-2331	renamed	Is there a BPPNP certification algorithm that returns certificates of length O(Cert(f ))?	Optimal-size certification in BPPᴺᴾ	
TCS-2333	renamed	Is every PLS-complete problem downward self-reducible?	Downward self-reducibility of PLS-complete problems	
TCS-2336	retained	Sharp multiclass online regret without logarithmic factors	Sharp multiclass online regret without logarithmic factors	
TCS-2337	renamed	Is there a computationally efficient algorithm for learning any low rank distribution given access to a conditional sampling oracle?	Efficient conditional-sample learning of low-rank distributions	
TCS-2339	renamed	Is there a universal constant c > 0 such that, for each finite concept class C, we have that RTD(C) ≤ c · VCD(C)?	Linear recursive teaching dimension versus VC dimension	
TCS-2342	concurrently_deleted			Removed on 2026-09-12 in the user-authorized specify-or-delete review. The arithmetic-formula request does not fix a field, explicitness class or exponent scale for its exponential lower bound. Editorial removal of an incompletely specified benchmark, not a resolution claim. Saved source: https://doi.org/10.4230/LIPIcs.ICALP.2023.12.
TCS-2343	renamed	Is there a Boolean matrix MN ×N with R(M ) = O(1) and ∥M ∥γ2 = N Ω(1) ?	Constant randomized communication with large γ₂ norm	
TCS-2356	renamed	What is the complexity of computing the treewidth of a 3-manifold?	Complexity of three-manifold treewidth	
TCS-2367	concurrently_deleted			Removed on 2026-09-12 in the user-authorized specify-or-delete review. The generalized-makespan conjecture has no complete access or encoding model for arbitrary norms, so polynomial running time is not defined for its full domain. Editorial removal of an incompletely specified benchmark, not a resolution claim. Saved source: https://doi.org/10.4230/LIPIcs.APPROX/RANDOM.2023.21.
TCS-2371	retained	Growing Ramanujan graphs with bounded edge updates	Growing Ramanujan graphs with bounded edge updates	
TCS-2408	renamed	For instance, would it be possible to perform an RSP-like protocol assuming only the existence of quantum-secure one-way functions?	Remote state preparation from quantum-secure one-way functions	
TCS-2422	renamed	It remains open whether learning sparse parities by small programs is NP-hard.	NP-hardness of small-space sparse parity learning	
TCS-2425	renamed	Notably, it is still an open question if SZK is closed under ≤Ptt reducibility.	Closure of SZK under truth-table reductions	
TCS-2427	renamed	Whether it is possible to compute an (exact or approximate) NE in even zero-sum TBSGs with an increasing discount factor remains open [2].	Zero-sum stochastic games with variable discount factors	
TCS-2428	concurrently_deleted			Removed on 2026-09-12 in the user-authorized specify-or-delete review. The informal CSP/spin-glass correspondence lacks the near-optimum sampling law, window scaling and convergence topology needed for a definite overlap-law assertion. Editorial removal of an incompletely specified benchmark, not a resolution claim. Saved source: https://doi.org/10.4230/LIPIcs.ITCS.2023.77.
TCS-2434	renamed	Establishing a super-polynomial separation between randomness and pseudo-determinism remains open for Parity decision trees.	Randomized versus pseudodeterministic parity decision trees	
TCS-2451	renamed	It is worth mentioning that it is unknown whether the adaptive postselection can be efficiently done in PostBQP as discussed in [2].	Adaptive postselection in PostBQP	
TCS-2470	retained	Breaking the quadratic color bound for bounded outdegree	Breaking the quadratic color bound for bounded outdegree	
TCS-2489	concurrently_deleted			Removed on 2026-09-12 in the user-authorized specify-or-delete review. The somewhere-dense counting classification lacks an admissible structural criterion and effective presentation for unrestricted pattern classes. Editorial removal of an incompletely specified benchmark, not a resolution claim. Saved source: https://doi.org/10.4230/LIPIcs.ITCS.2023.27.
TCS-2502	concurrently_deleted			Removed on 2026-09-12 in the user-authorized specify-or-delete review. The recorded later canonical-SoS lower bound addresses the original main obstacle, while no precise remaining degree/color threshold is selected. Editorial removal of an incompletely specified benchmark, not a resolution claim. Saved source: https://proceedings.mlr.press/v195/kothari23a.html.
TCS-2506	renamed	Are algebraic branching programs stronger than formulas?	Algebraic branching programs versus formulas	
TCS-2519	renamed	Every linear SSS has this property but it remains open whether every access structure in mP admits a randomness simulatable SSS.	Randomness-simulatable secret sharing for mP access structures	
TCS-2529	renamed	First, is there an exact polynomial time algorithm for embedding into ultrametrics or even a PTAS?	Polynomial-time ultrametric embedding	
TCS-2532	renamed	Can one prove circuit lower bounds from the assumption that a (uniform) computationally-secure IO exists?	Circuit lower bounds from indistinguishability obfuscation	
TCS-2535	retained	A dimension-free directed L¹ Poincaré inequality	A dimension-free directed L¹ Poincaré inequality	
TCS-2537	renamed	Is the total search version of UniqueTarski in the class UEOPL (Unique-EOPL) [6]?	UniqueTarski in UEOPL	
TCS-2540	renamed	Is there an MSO2 property requiring certificates of Ω(nϵ ) bits, for some ϵ > 0, on graphs of bounded clique-width?	MSO₂ certificate lower bounds on bounded-clique-width graphs	
TCS-2565	renamed	Can we find for every t a pattern for which we get classes that contain W[t]-hard problems and are contained in W[t]?	Pattern characterizations of the W-hierarchy	
TCS-2571	renamed	Can we similarly characterize the class of communication problems corresponding to non-monotone KW games?	Communication characterization of nonmonotone Karchmer–Wigderson games	
TCS-2621	concurrently_deleted			Removed on 2026-09-12 in the user-authorized specify-or-delete review. The random tensor-iteration question leaves recovery error and uniform iteration/output guarantees unspecified across the overcomplete regime. Editorial removal of an incompletely specified benchmark, not a resolution claim. Saved source: https://proceedings.mlr.press/v195/wu23b.html.
TCS-2625	retained	Almost 3-colorable graphs versus graphs with no large independent set	Almost 3-colorable graphs versus graphs with no large independent set	
TCS-2644	renamed	Is there a deterministic polynomial time algorithm for NC03 -Avoid with stretch n1+o(1) , even when an NP oracle is available?	Deterministic NP-oracle range avoidance at near-linear stretch	
TCS-2650	renamed	Assuming QETH or QSETH, is MQCSP, UMCSP, or SMCSP quantumly hard?	Quantum meta-complexity hardness from QETH and QSETH	
TCS-2654	renamed	Does there exist an online learning rule that is strongly universally consistent for the family {(X, Y) : X ∈ SUOL}?	Strong universal consistency in online learning	
TCS-2658	renamed	Does a constant margin force bounded sign-rank?	Sign-rank bounds from constant margin	
TCS-2659	concurrently_deleted			Removed on 2026-09-12 in the user-authorized specify-or-delete review. The hypergraph constructor has no quantitative available-size density or uniform degree-dependent construction requirement. Editorial removal of an incompletely specified benchmark, not a resolution claim. Saved source: https://doi.org/10.4230/LIPIcs.CCC.2022.10.
TCS-2662	renamed	Assuming ETH, does constant gap Max-Clique admit an algorithm in 2o(n) time?	Subexponential constant-gap Max-Clique under ETH	
TCS-2663	concurrently_deleted			Removed on 2026-09-12 in the user-authorized specify-or-delete review. The extreme-PRG parameter list leaves the advice slack below a full truth table unquantified, so a nondegenerate reconstruction target is not fixed. Editorial removal of an incompletely specified benchmark, not a resolution claim. Saved source: https://doi.org/10.4230/LIPIcs.ITCS.2022.116.
TCS-2664	renamed	Can a low-influence direction be removed from a convex set?	Removing low-influence directions from convex sets	
TCS-2665	concurrently_deleted			Removed on 2026-09-12 in the user-authorized specify-or-delete review. The huge-object testing question asks for a classification without a defined form or effective presentation for its necessary-and-sufficient criterion. Editorial removal of an incompletely specified benchmark, not a resolution claim. Saved source: https://doi.org/10.4230/LIPIcs.ITCS.2022.78.
TCS-2675	concurrently_deleted			Removed on 2026-09-12 in the user-authorized specify-or-delete review. The best-arm question does not select a reward family or strict-domination meaning; the recorded later answers differ between its natural interpretations. Editorial removal of an incompletely specified benchmark, not a resolution claim. Saved source: https://proceedings.mlr.press/v178/open-problem-qin22a.html.
TCS-2680	renamed	For every oracle O, if DistNPO ⊆ HeurPO , then UPO ⊆ BPTIMEO [2O(n/ log n) ].	Relativizing subexponential UP from heuristic average-case NP	
TCS-2681	renamed	Does UEOPL equal EOPL?	UEOPL versus EOPL	
TCS-2688	renamed	The problem of designing a rendezvous algorithm working for arbitrary connected graphs in optimal time remains open.	Optimal-time rendezvous on arbitrary connected graphs	
TCS-2689	renamed	Regardless, whether there exists a protocol that achieves deterministic safety and termination in a hybrid synchronous model remains an open question.	Deterministic safety and termination in hybrid synchrony	
TCS-2707	renamed	The main obstacle comes from the non-commutativity of Hamiltonians and it remains open to design a polynomial-time algorithm for such partition function assuming only zero-freeness.	Quantum partition functions from zero-freeness	
TCS-2718	retained	A uniform exponent saving for arbitrary generalized convolution	A uniform exponent saving for arbitrary generalized convolution	
TCS-2730	retained	Thus, even in the non-succinct case, designing worst-case update operations is an open problem.	Thus, even in the non-succinct case, designing worst-case update operations is an open problem.	
TCS-2732	renamed	Is there a perfectly secure 3-server DPF with key size N o(1) ?	Subpolynomial-key perfectly secure three-server DPFs	
TCS-2735	renamed	We leave the understanding of the uniform complexity landscape in the regime Ω(log 1/ε) as an exciting open problem.	Uniform local complexity at logarithmic inverse-error radius	
