sequence,id,name,original_title,category,state,reason_code,reason,duplicate_of,related_retained_ids,saved_question,source,url
88,TCS-1405,Minimum WSPD on the line,Is the minimum WSPD problem NP-Hard in R?,Computational geometry and metric spaces,quarantined,individual_review,"Tvrdost nejmenšího rozkladu dvojic již na přímce je specifická optimalita pomocné datové reprezentace, ne hlavní geometrický problém.",,,Is the minimum WSPD problem NP-Hard in R?,On Small Pair Decompositions for Point Sets,https://doi.org/10.4230/LIPIcs.ESA.2026.102
89,TCS-1431,Parameterized Ulam-metric 1-center,Is it possible to solve Ulam Metric 1-Center for k = 1 in dO(d) · (nm)O(1) time similarly to Closest String?,Computational geometry and metric spaces,quarantined,individual_review,"Řeší jeden střed, jednu metriku permutací a konkrétní parametrickou závislost; širší klasifikace geometrického shlukování má přednost.",,,Is it possible to solve Ulam Metric 1-Center for k = 1 in dO(d) · (nm)O(1) time similarly to Closest String?,Clustering Permutations Under the Ulam Metric: A Parameterized Complexity Study,https://doi.org/10.4230/LIPIcs.ICALP.2026.19
90,TCS-1449,Linear confinement bounds for the escaping ant,"Is there a function f such that Sk,n ≤ f (k) n for all k ∈ N?",Computational geometry and metric spaces,quarantined,individual_review,Jde o růst jedné geometrické procházkové konstrukce. Bez širší algoritmické bariéry je to spíše samostatná geometrická hádanka.,,,"Is there a function f such that Sk,n ≤ f (k) n for all k ∈ N?",How Long Can The Escaping Ant Be Confined?,https://doi.org/10.4230/LIPIcs.MFCS.2026.49
91,TCS-1533,Edge density with one forbidden drawing cell,"Is the edge density of simple graphs that admit a (simple, non-homotopic) 4 -free drawing quadratic in n?",Computational geometry and metric spaces,quarantined,individual_review,Extremální hustota při zákazu konkrétního typu buňky je úzká kombinatorika kreslení; obecné meze křížení mají větší dosah.,,,"Is the edge density of simple graphs that admit a (simple, non-homotopic) 4 -free drawing quadratic in n?",Edge Densities of Drawings of Graphs with One Forbidden Cell,https://doi.org/10.4230/LIPIcs.GD.2025.33
92,TCS-1547,Exact crossing extremum for 3-planar graphs,Are there 3-planar n-vertex graphs G with cr(G) = 5.5(n − 2)?,Computational geometry and metric spaces,quarantined,individual_review,Ptá se na dosažení konkrétní lineární konstanty v omezené třídě kreslení; hlavní crossing-number problémy ponechávám.,,,Are there 3-planar n-vertex graphs G with cr(G) = 5.5(n − 2)?,Crossing Number of Simple 3-Plane Drawings,https://doi.org/10.4230/LIPIcs.GD.2025.15
93,TCS-1654,Point guards with maximum dispersion,"While research has focused on the problem with vertex guards, the variant involving point guards remains an open question.",Computational geometry and metric spaces,quarantined,individual_review,Změna vrcholových stráží na bodové při další podmínce rozptýlení je vícenásobně omezená varianta art gallery.,,,"While research has focused on the problem with vertex guards, the variant involving point guards remains an open question.",Guarding Offices with Maximum Dispersion,https://doi.org/10.4230/LIPIcs.MFCS.2025.46
94,TCS-1675,Extremal degree-one persistence of flag filtrations,The extremal filtrations described in Section 7 achieve the maximal total persistence over any edgewise filtration of flag complexes in homology degree 1.,Computational geometry and metric spaces,quarantined,individual_review,Optimalita jedné rodiny filtrací v jednom homologickém stupni má menší dosah než obecná složitost persistence a jejích reprezentací.,,,The extremal filtrations described in Section 7 achieve the maximal total persistence over any edgewise filtration of flag complexes in homology degree 1.,Extremal Betti Numbers and Persistence in Flag Complexes,https://doi.org/10.4230/LIPIcs.SoCG.2025.14
95,TCS-1677,Triangles in intersecting pseudocircle arrangements,Every pairwise intersecting arrangement of n ⩾ 3 pseudocircles has at least n − 1 triangles.,Computational geometry and metric spaces,quarantined,individual_review,Počet trojúhelníků v konkrétní rodině uspořádání je čistě extremální podotázka bez zásadního výpočetního cíle v uložené formulaci.,,,Every pairwise intersecting arrangement of n ⩾ 3 pseudocircles has at least n − 1 triangles.,The Maximum Number of Digons Formed by Pairwise Intersecting Pseudocircles,https://doi.org/10.4230/LIPIcs.SoCG.2025.2
96,TCS-1731,Network Diversion parameterized by crossing number,"Is it possible to solve Network Diversion in time f (c) · nO(1) for some function f , where c is the crossing number of […]",Computational geometry and metric spaces,quarantined,individual_review,Spojuje specifickou síťovou úlohu s jedním geometrickým parametrem; obecné otázky parametrizovaných řezů a cest mají přednost.,,,"Is it possible to solve Network Diversion in time f (c) · nO(1) for some function f , where c is the crossing number of […]",Planar Network Diversion,https://doi.org/10.4230/LIPIcs.SEA.2025.6
97,TCS-1802,Flip distance between odd geometric matchings,What is the complexity of finding shortest flip sequences between odd matchings in convex point sets?,Computational geometry and metric spaces,quarantined,individual_review,Paritní omezení párování a konvexní poloha bodů vytvářejí úzkou reconfigurační variantu; hlavní flip-distance problémy zůstávají.,,,What is the complexity of finding shortest flip sequences between odd matchings in convex point sets?,Flipping Odd Matchings in Geometric and Combinatorial Settings,https://doi.org/10.4230/LIPIcs.GD.2025.12
98,TCS-1849,Approximating bounded-treewidth minimum-dilation spanners,Can we efficiently approximate the minimum-dilation spanner of tree-width k in terms of its dilation within a factor better than O(n/k d/d−1 )?,Computational geometry and metric spaces,quarantined,individual_review,"Kombinace pevné stromové šířky, geometrie a konkrétního aproximačního faktoru je příliš specializovaná proti obecným spannerovým bariérám.",,,Can we efficiently approximate the minimum-dilation spanner of tree-width k in terms of its dilation within a factor better than O(n/k d/d−1 )?,Geometric Spanners of Bounded Tree-Width,https://doi.org/10.4230/LIPIcs.SoCG.2025.26
99,TCS-1854,Pandichotomous realizations of degenerate bipartite graphs,"Given d ≥ 3, is there a bipartite d-degenerate graph that is not pandichotomous in Rd−1 ?",Computational geometry and metric spaces,quarantined,individual_review,Domněnka se týká zvláštní realizační vlastnosti a souběhu několika restrikcí grafu; její širší TCS důsledky nejsou v záznamu vymezeny.,,,"Given d ≥ 3, is there a bipartite d-degenerate graph that is not pandichotomous in Rd−1 ?",Geometric Realizations of Dichotomous Ordinal Graphs,https://doi.org/10.4230/LIPIcs.SoCG.2025.9
100,TCS-1987,Lower-envelope bounds beyond a cross-section assumption,We conjecture that the bound should resemble the bound O(nλs+2 (n)) shown in [37] under the favorable cross section assumption.,Computational geometry and metric spaces,quarantined,individual_review,Požaduje přenos konkrétní asymptotické meze po odstranění technického předpokladu; jde o navazující zpřesnění jedné analýzy.,,,We conjecture that the bound should resemble the bound O(nλs+2 (n)) shown in [37] under the favorable cross section assumption.,Lower Envelopes of Surface Patches in 3-Space,https://doi.org/10.4230/LIPIcs.ESA.2024.6
101,TCS-2004,Hamiltonicity of a colorful-triangulation flip graph,We conjecture that the graph HN has a Hamilton cycle for all N ≥ 9 that are divisible by 3.,Computational geometry and metric spaces,quarantined,individual_review,Hamiltonovskost jedné pomocné rodiny grafů při aritmetické podmínce na velikost je užší než obecná reconfigurace triangulací.,,,We conjecture that the graph HN has a Hamilton cycle for all N ≥ 9 that are divisible by 3.,Flips in Colorful Triangulations,https://doi.org/10.4230/LIPIcs.GD.2024.30
102,TCS-2067,Nonmetric MST with weak and strong oracles,We leave it as an open question for future work to determine the exact query complexity of non-metric MST in the weak-strong oracle model.,Computational geometry and metric spaces,quarantined,individual_review,Optimalita počtu dotazů v hybridním orákulovém modelu je další varianta MST; standardní geometrické MST má přednost.,,,We leave it as an open question for future work to determine the exact query complexity of non-metric MST in the weak-strong oracle model.,Metric Clustering and MST with Strong and Weak Distance Oracles,https://proceedings.mlr.press/v247/bateni24a.html
103,TCS-2207,Distributions enabling efficient selectivity reconstruction,What properties should the data and query distribution satisfy so that the running time is polynomial in d as well?,Computational geometry and metric spaces,quarantined,individual_review,"Ptá se, jaké podmínky by měly distribuce splňovat, aniž určí kandidátní charakterizaci. Jde o otevřené hledání vhodného modelu.",,,What properties should the data and query distribution satisfy so that the running time is polynomial in d as well?,Computing Data Distribution from Query Selectivities,https://doi.org/10.4230/LIPIcs.ICDT.2024.18
104,TCS-2226,APX-hardness with arbitrarily chosen disk radii,"If we have t arbitrary radii as in DC, does the problem become APX-hard?",Computational geometry and metric spaces,quarantined,individual_review,Změna dovolených poloměrů sleduje jednu větev klasifikace geometrického pokrytí; nedává jí samostatnou prioritu vedle hlavních pokrývacích otázek.,,,"If we have t arbitrary radii as in DC, does the problem become APX-hard?",Geometric Covering via Extraction Theorem,https://doi.org/10.4230/LIPIcs.ITCS.2024.7
105,TCS-2239,Infinity-safe paths for MFDSC and MIFD,"For the problem variants MFDSC and MIFD, can we find all ∞-safe paths in polynomial time?",Computational geometry and metric spaces,quarantined,individual_review,"Bezpečné cesty ve dvou specifických variantách rozkladu toku jsou pomocnou optimalizační úlohou, ne obecnou bariérou tokových algoritmů.",,,"For the problem variants MFDSC and MIFD, can we find all ∞-safe paths in polynomial time?",Accelerating ILP Solvers for Minimum Flow Decompositions Through Search Space and Dimensionality Reductions,https://doi.org/10.4230/LIPIcs.SEA.2024.14
106,TCS-2251,Sparser convex combinations in a Tverberg construction,Can a sparser convex-combination of points be computed efficiently?,Computational geometry and metric spaces,quarantined,individual_review,Požadavek řidší kombinace neuvádí cílovou podporu ani zásadní nemožnost; jde o optimalizaci konkrétní konstrukce.,,,Can a sparser convex-combination of points be computed efficiently?,No-Dimensional Tverberg Partitions Revisited,https://doi.org/10.4230/LIPIcs.SWAT.2024.26
107,TCS-2355,Lens-space triangulations without core edges,Is there a lens space other than the 3-sphere that admits infinitely many triangulations with no core edges?,Computational geometry and metric spaces,quarantined,individual_review,Hledá zvláštní nekonečnou rodinu triangulací v konkrétních varietách. Obecné transformační a rozhodovací otázky trojrozměrné topologie mají přednost.,,,Is there a lens space other than the 3-sphere that admits infinitely many triangulations with no core edges?,Finding Large Counterexamples by Selectively Exploring the Pachner Graph,https://doi.org/10.4230/LIPIcs.SoCG.2023.21
108,TCS-2363,A red-blue segment configuration for geometric thickness,"Given an arrangement of 3k disjoint red straight-line segments and 3k disjoint blue straight-line segments, where each red segment crosses each blue segment, are there […]",Computational geometry and metric spaces,quarantined,individual_review,Izolovaná konfigurace navzájem se křížících barevných úseček je pomocná extremální domněnka; samotná geometrická tloušťka má širší význam.,,,"Given an arrangement of 3k disjoint red straight-line segments and 3k disjoint blue straight-line segments, where each red segment crosses each blue segment, are there […]",On the Geometric Thickness of 2-Degenerate Graphs,https://doi.org/10.4230/LIPIcs.SoCG.2023.44
109,TCS-2387,Oriented-dilation triangulations for nonconvex point sets,"Thus, the quest for a triangulation of small oriented dilation for non-convex point sets remains open.",Computational geometry and metric spaces,quarantined,individual_review,Rozšiřuje orientovanou dilataci z jednodušších poloh bodů na další případ; obecné spannerové otázky reprezentují oblast lépe.,,,"Thus, the quest for a triangulation of small oriented dilation for non-convex point sets remains open.",Oriented Spanners,https://doi.org/10.4230/LIPIcs.ESA.2023.26
110,TCS-2465,RangeCount lower bounds for sublinear facility location,We leave it as an open problem whether such a polynomial lower bound on the number of RangeCount queries exists for any randomized sublinear algorithm […],Computational geometry and metric spaces,quarantined,individual_review,Dolní mez je vázána na zvláštní dotazové rozhraní. Obecné sublineární shlukování a facility location mají přednost před optimalitou tohoto přístupu.,,,We leave it as an open problem whether such a polynomial lower bound on the number of RangeCount queries exists for any randomized sublinear algorithm […],Facility Location in the Sublinear Geometric Model,https://doi.org/10.4230/LIPIcs.APPROX/RANDOM.2023.6
111,TCS-2556,Minimum layers in ortho-radial drawings,"Given an ortho-radial representation, can we find an ortho-radial drawing with the smallest number of layers (i.e., the number of concentric circles) in polynomial time?",Computational geometry and metric spaces,quarantined,individual_review,Minimalizuje počet soustředných kružnic při již dané reprezentaci; jde o optimalizaci jednoho kreslicího formalismu.,,,"Given an ortho-radial representation, can we find an ortho-radial drawing with the smallest number of layers (i.e., the number of concentric circles) in polynomial time?",Ortho-Radial Drawing in Near-Linear Time,https://doi.org/10.4230/LIPIcs.ICALP.2023.35
112,TCS-2608,Clique phase transitions in high-dimensional GIRGs,"As our work indicates that this phase transition vanishes as d = ω(log(n))), we conjecture that in this regime cliques of all sizes are √ […]",Computational geometry and metric spaces,quarantined,individual_review,Upřesňuje chování klik v jedné náhodné geometrické rodině při určitém dimenzionálním režimu; obecné průměrné algoritmické bariéry jsou zásadnější.,,,"As our work indicates that this phase transition vanishes as d = ω(log(n))), we conjecture that in this regime cliques of all sizes are √ […]",Cliques in High-Dimensional Geometric Inhomogeneous Random Graphs,https://doi.org/10.4230/LIPIcs.ICALP.2023.62
113,TCS-2651,Memory-limited cooperative polygon guarding,"Is it possible to construct O(poly(D)) time algorithms where D is the hop diameter of the polygon, when agents have limited persistent memory?",Computational geometry and metric spaces,quarantined,individual_review,"Kombinuje omezenou paměť agentů, polygon s děrami a čas měřený hop-průměrem; je to specifický distribuovaný hlídkový model.",,,"Is it possible to construct O(poly(D)) time algorithms where D is the hop diameter of the polygon, when agents have limited persistent memory?",Brief Announcement: Cooperative Guarding in Polygons with Holes,https://doi.org/10.4230/LIPIcs.SAND.2022.21
114,TCS-2879,PTAS for intersecting convex polytopes in 3D,Is there a polynomial-time approximation scheme for the minimum volume or minimum surface area convex intersecting polytope of convex polytopes in R3 ?,Computational geometry and metric spaces,quarantined,individual_review,Objem či povrch konvexního objektu protínajícího zadané polytopy je úzká geometrická optimalizace; hlavní aproximační bariéry mají větší dosah.,,,Is there a polynomial-time approximation scheme for the minimum volume or minimum surface area convex intersecting polytope of convex polytopes in R3 ?,Computing Smallest Convex Intersecting Polygons,https://doi.org/10.4230/LIPIcs.ESA.2022.9
115,TCS-2919,Schelling equilibria on grids with arbitrary tolerances,"For instance, do equilibria exist when the topology is a grid (4-grid or 8-grid) or a regular graph, for every tolerance vector?",Computational geometry and metric spaces,quarantined,individual_review,"Existence rovnováhy na mřížce pro jednu parametrizaci segregace je specifická herní varianta, nikoli obecný problém rovnováh.",,,"For instance, do equilibria exist when the topology is a grid (4-grid or 8-grid) or a regular graph, for every tolerance vector?",Not All Strangers Are the Same: The Impact of Tolerance in Schelling Games,https://doi.org/10.4230/LIPIcs.MFCS.2022.60
116,TCS-2978,Projective crossing families,Is the maximum size T p (n) of a projective crossing family in a set of n points from RP 2 in general position in […],Computational geometry and metric spaces,quarantined,individual_review,Extremální velikost křížících se rodin v projektivní rovině je spíše specializovaná diskrétní geometrie; zásadní algoritmický důsledek zde chybí.,,,Is the maximum size T p (n) of a projective crossing family in a set of n points from RP 2 in general position in […],Erdős-Szekeres-Type Problems in the Real Projective Plane,https://doi.org/10.4230/LIPIcs.SoCG.2022.10
117,TCS-2979,Radial densities for a degree-Rips example,"Finally, a reviewer posed the following question: is there a density on the disc that is rotationally invariant and monotone in the radius such that […]",Computational geometry and metric spaces,quarantined,individual_review,"Hledá vhodnou hustotu pro konkrétní topologický příklad. To je konstrukční doplnění analýzy, ne hlavní problém topologické analýzy dat.",,,"Finally, a reviewer posed the following question: is there a density on the disc that is rotationally invariant and monotone in the radius such that […]",The Degree-Rips Complexes of an Annulus with Outliers,https://doi.org/10.4230/LIPIcs.SoCG.2022.58
118,TCS-3098,Completeness of the density fingerprint of periodic sets,"Short of proving completeness beyond the generic case, we leave the completeness of the density fingerprint map for all periodic sets as an open question.",Computational geometry and metric spaces,quarantined,individual_review,Úplnost jednoho zvoleného invariantu je užší než obecná efektivní klasifikace periodických struktur; další samostatné místo jí nedávám.,,,"Short of proving completeness beyond the generic case, we leave the completeness of the density fingerprint map for all periodic sets as an open question.",The Density Fingerprint of a Periodic Point Set,https://doi.org/10.4230/LIPIcs.SoCG.2021.32
119,TCS-3100,The 4/3 guillotine-knapsack profit ratio,We conjecture that the worst-case ratio between the optimal profit of 2GGK and 2GK is 4/3.,Computational geometry and metric spaces,quarantined,individual_review,Přesný poměr dvou omezených balicích optim je jemná strukturální konstanta; obecné aproximační hranice geometrického knapsacku mají přednost.,,,We conjecture that the worst-case ratio between the optimal profit of 2GGK and 2GK is 4/3.,On Guillotine Separable Packings for the Two-Dimensional Geometric Knapsack Problem,https://doi.org/10.4230/LIPIcs.SoCG.2021.48
120,TCS-3272,Tight motion-planning bounds for throwing a sofa,"One such direction is to show that the near-quartic upper bound, established in Section 8, on the cost of the general motion planning problem for […]",Computational geometry and metric spaces,quarantined,individual_review,Dorovnání téměř kvartické meze v konkrétním pohybovém scénáři je příliš lokální vůči obecným bariérám plánování pohybu.,,,"One such direction is to show that the near-quartic upper bound, established in Section 8, on the cost of the general motion planning problem for […]",Throwing a Sofa Through the Window,https://doi.org/10.4230/LIPIcs.SoCG.2021.41
121,TCS-3283,Covering-MEB versus radius-MEB lower bounds,"In particular, can we provide a lower bound for the complexity of computing covering approximate MEB, as the lower bound result for radius approximate MEB […]",Computational geometry and metric spaces,quarantined,individual_review,Hledá analogii dolní meze po změně definice aproximace nejmenší koule; jde o technické rozlišení dvou variant.,,,"In particular, can we provide a lower bound for the complexity of computing covering approximate MEB, as the lower bound result for radius approximate MEB […]",Stability Yields Sublinear Time Algorithms for Geometric Optimization in Machine Learning,https://doi.org/10.4230/LIPIcs.ESA.2021.38
122,TCS-3367,Pathwidth of 1-planar layered drawings,What is the pathwidth of a graph that has a 1-planar h-layer drawing?,Computational geometry and metric spaces,quarantined,individual_review,"Vztah dvou parametrů pod dodatečnou podmínkou kreslení je úzká strukturální podotázka, ne hlavní šířková charakterizace grafů.",,,What is the pathwidth of a graph that has a 1-planar h-layer drawing?,Layered Fan-Planar Graph Drawings,https://doi.org/10.4230/LIPIcs.MFCS.2020.14
123,TCS-3422,Staircodes versus interval-decomposable barcodes,"We conjecture that if the zeroth homology of the Rips bifiltration of an augmented metric space is interval decomposable, then the barcode must coincide with […]",Computational geometry and metric spaces,quarantined,individual_review,Porovnává dva invarianty za speciální rozložitelnosti v nulté homologii; obecná vícerozměrná persistence má podstatně větší dosah.,,,"We conjecture that if the zeroth homology of the Rips bifiltration of an augmented metric space is interval decomposable, then the barcode must coincide with […]",Elder-Rule-Staircodes for Augmented Metric Spaces,https://doi.org/10.4230/LIPIcs.SoCG.2020.26
124,TCS-3535,Recognizing self-overlapping curves on the sphere,How fast can one decide self-overlappingness of a curve on the sphere?,Computational geometry and metric spaces,quarantined,individual_review,Efektivní rozpoznávání jedné třídy sférických křivek je užší než hlavní topologické rozhodovací a homotopické problémy.,,,How fast can one decide self-overlappingness of a curve on the sphere?,Combinatorial Properties of Self-Overlapping Curves and Interior Boundaries,https://doi.org/10.4230/LIPIcs.SoCG.2020.41
125,TCS-3650,Circumscribing segments with two slopes,We conjecture that disjoint segments with two distinct slopes still admit a circumscribing polygon.,Computational geometry and metric spaces,quarantined,individual_review,Domněnka přidává konkrétní dvousměrovou rodinu úseček k existujícím polygonalizačním výsledkům; jde o omezený konstrukční případ.,,,We conjecture that disjoint segments with two distinct slopes still admit a circumscribing polygon.,Circumscribing Polygons and Polygonizations for Disjoint Line Segments,https://doi.org/10.4230/LIPIcs.SoCG.2019.9
126,TCS-3755,Stabbing number for packing unequal-sized objects,What is the precise impact of the stabbing number on the complexity of packing if objects are not similarly sized?,Computational geometry and metric spaces,quarantined,individual_review,Žádá doplnění parametrické analýzy po vypuštění podobnosti velikostí; obecné packingové bariéry jsou významnější samostatní kandidáti.,,,What is the precise impact of the stabbing number on the complexity of packing if objects are not similarly sized?,How Does Object Fatness Impact the Complexity of Packing in d Dimensions?,https://doi.org/10.4230/LIPIcs.ISAAC.2019.36
127,TCS-3777,FPRAS for Euclidean-MST Shapley values,Is there also a FPRAS for computing the Shapley values of the game defined using the Euclidean MST?,Computational geometry and metric spaces,quarantined,individual_review,Aproximace Shapleyho hodnot jedné geometrické koaliční hry kombinuje dva specifické modely; obecné výpočetní otázky kooperativních her mají přednost.,,,Is there also a FPRAS for computing the Shapley values of the game defined using the Euclidean MST?,Computing Shapley Values in the Plane,https://doi.org/10.4230/LIPIcs.SoCG.2019.20
128,TCS-3816,Two tetrahedra in a crossing Tverberg configuration,"Can we guarantee the existence of a pair of vertex-disjoint tetrahedra {S, S 0 } that both contain the origin and such that the boundary […]",Computational geometry and metric spaces,quarantined,individual_review,Existence zvláštní dvojice tetraedrů je úzký geometrický podproblém; obecný Tverbergův a barevný Carathéodoryho rámec má větší prioritu.,,,"Can we guarantee the existence of a pair of vertex-disjoint tetrahedra {S, S 0 } that both contain the origin and such that the boundary […]",The Crossing Tverberg Theorem,https://doi.org/10.4230/LIPIcs.SoCG.2019.38
129,TCS-4023,Realizing indecomposables over tame commutative grids,"More generally, for representation tame commutative grids, could we realize parametrized families that generate all indecomposables?",Computational geometry and metric spaces,quarantined,individual_review,Konstrukce úplných parametrických rodin v omezené reprezentační třídě je specializovaná algebraická podotázka persistence.,,,"More generally, for representation tame commutative grids, could we realize parametrized families that generate all indecomposables?",Realizations of Indecomposable Persistence Modules of Arbitrarily Large Dimension,https://doi.org/10.4230/LIPIcs.SoCG.2018.15
130,TCS-4024,Critical disk separation for bounded-stretch motion,What is the critical separability of disks for which constant stretch can be achieved?,Computational geometry and metric spaces,quarantined,individual_review,Hledá přesný separační práh v jednom víceagentním modelu; obecná složitost koordinovaného pohybu je zásadnější.,,,What is the critical separability of disks for which constant stretch can be achieved?,Coordinated Motion Planning: Reconfiguring a Swarm of Labeled Robots with Bounded Stretch,https://doi.org/10.4230/LIPIcs.SoCG.2018.29
131,TCS-4156,Conflict-free coloring of unit-square graphs,"In addition to closing the worst-case gap for unit disks (and proving Conjecture 6), the worst-case conflict-free chromatic number for unit square graphs also remains […]",Computational geometry and metric spaces,quarantined,individual_review,Doplňuje nejhorší mez pro další rodinu geometrických průnikových grafů; obecné barvicí a hypergrafové bariéry mají přednost.,,,"In addition to closing the worst-case gap for unit disks (and proving Conjecture 6), the worst-case conflict-free chromatic number for unit square graphs also remains […]",Conflict-Free Coloring of Intersection Graphs,https://doi.org/10.4230/LIPIcs.ISAAC.2017.31
132,TCS-4212,Crossing-number approximation at bounded pathwidth,Can we approximate cr(G) for arbitrary (not maximal) pathwidth-w-graphs?,Computational geometry and metric spaces,quarantined,individual_review,Aproximace po současném omezení stromové struktury a odstranění maximality je úzká větev crossing-number problémů.,,,Can we approximate cr(G) for arbitrary (not maximal) pathwidth-w-graphs?,Crossing Number for Graphs with Bounded~Pathwidth,https://doi.org/10.4230/LIPIcs.ISAAC.2017.13
133,TCS-4252,Weak unit-square visibility graph recognition,"The hardness of Rec(USVw ) is still open (note that in our reduction, we heavily used the argument that certain constellations yield forbidden edges, which […]",Computational geometry and metric spaces,quarantined,individual_review,Rozpoznávání slabé varianty viditelnosti jednotkových čtverců přidává další speciální reprezentační model bez doloženého širšího dopadu.,,,"The hardness of Rec(USVw ) is still open (note that in our reduction, we heavily used the argument that certain constellations yield forbidden edges, which […]",Combinatorial Properties and Recognition of Unit Square Visibility Graphs,https://doi.org/10.4230/LIPIcs.MFCS.2017.30
134,TCS-4313,Counting weakly simple polygons from fixed segments,It is an open problem to count exactly how many weakly simple polygons can be obtained from the same set of line segments.,Computational geometry and metric spaces,quarantined,individual_review,Počítá rekonstruované polygony při dané množině hran; obecné počítání triangulací a realizací jsou silnější kandidáti.,,,It is an open problem to count exactly how many weakly simple polygons can be obtained from the same set of line segments.,Reconstruction of Weakly Simple Polygons from their Edges,https://doi.org/10.4230/LIPIcs.ISAAC.2016.10
135,TCS-4348,Exists-R hardness for multiplayer win-lose games,It remains open whether or not the established ∃R-hardness survives the restriction to r-player win-lose games with r ≥ 3; we note that the corresponding […],Computational geometry and metric spaces,quarantined,individual_review,Testuje zachování tvrdosti po binarizaci užitků; obecné otázky výpočtu rovnováh mají větší význam než další restrikční varianta.,,,It remains open whether or not the established ∃R-hardness survives the restriction to r-player win-lose games with r ≥ 3; we note that the corresponding […],A Catalog of EXISTS-R-Complete Decision Problems About Nash Equilibria in Multi-Player Games,https://doi.org/10.4230/LIPIcs.STACS.2016.17
136,TCS-4363,Stochastic spherical-shell coresets,This is unlike the deterministic setting. 2 We leave the problem of finding small coresets for the spherical shell problem as an interesting open problem.,Computational geometry and metric spaces,quarantined,individual_review,Hledá malý coreset pro konkrétní objekt v modelu náhodných bodů; obecné meze coresetů mají větší dosah.,,,This is unlike the deterministic setting. 2 We leave the problem of finding small coresets for the spherical shell problem as an interesting open problem.,epsilon-Kernel Coresets for Stochastic Points,https://doi.org/10.4230/LIPIcs.ESA.2016.50
137,TCS-4390,Enriched categories as a nice model of infinity-categories,"Are topologically partially enriched categories a nice model of (∞, 1)-categories ?",Computational geometry and metric spaces,quarantined,individual_review,"Slovo „nice“ nevymezuje požadované vlastnosti ani větu. Záznam není dost určitý, aby tvořil jeden zásadní problém.",,,"Are topologically partially enriched categories a nice model of (∞, 1)-categories ?",The Directed Homotopy Hypothesis,https://doi.org/10.4230/LIPIcs.CSL.2016.9
138,TCS-4426,Faster hyperplane separability of probabilistic points,"In particular, can the hyperplane separability problem be solved with running time Õ(nd(d+1)/2e ), instead of O(nd )?",Computational geometry and metric spaces,quarantined,individual_review,Zpřesňuje exponent algoritmu pro specifický pravděpodobnostní vstupní model; širší geometrické rozhodovací bariéry mají přednost.,,,"In particular, can the hyperplane separability problem be solved with running time Õ(nd(d+1)/2e ), instead of O(nd )?",Hyperplane Separability and Convexity of Probabilistic Point Sets,https://doi.org/10.4230/LIPIcs.SoCG.2016.38
139,TCS-4501,Round-bounded verification for full DataPDL,"We leave open whether round-bounded model checking can deal with full DataPDL, or with properties of the form ∀rings ∃run ∀m ϕ, which are branching-time […]",Computational geometry and metric spaces,quarantined,individual_review,Rozšiřuje existující ověřovací metodu na další logické konstrukce; jde o navazující expresivní rozšíření jednoho formalismu.,,,"We leave open whether round-bounded model checking can deal with full DataPDL, or with properties of the form ∀rings ∃run ∀m ϕ, which are branching-time […]",An Automata-Theoretic Approach to the Verification of Distributed Algorithms,https://doi.org/10.4230/LIPIcs.CONCUR.2015.340
140,TCS-4552,Automorphism groups of circular-arc graphs,What is Aut(CIRCULAR-ARC)?,Computational geometry and metric spaces,quarantined,individual_review,Klasifikace automorfismových grup jedné geometrické grafové třídy je specializovanější než obecná izomorfie a symetrie grafů.,,,What is Aut(CIRCULAR-ARC)?,Automorphism Groups of Geometrically Represented Graphs,https://doi.org/10.4230/LIPIcs.STACS.2015.540
141,TCS-5401,Treewidth lower bounds from a JSJ decomposition graph,On the Width of Complicated JSJ Decompositions — Question 1,Computational geometry and metric spaces,quarantined,individual_review,Vztah šířky variety k jedné konkrétní dekompozici je pomocný strukturální odhad; obecná algoritmická topologie má přednost.,,,Is there a lower bound for tw(M) in terms of tw(Γ(D))?,On the Width of Complicated JSJ Decompositions,https://doi.org/10.4230/LIPIcs.SoCG.2023.42
142,TCS-5598,Optimal constants for translated EMD in L1 and Linfinity,Fine-Grained Complexity of Earth Mover’s Distance Under Translation — Unresolved-question passage on page 4,Computational geometry and metric spaces,quarantined,individual_review,Hledá přesnou konstantu v konkrétních metrikách a transformační variantě EMD; základní aproximační a vložitelnostní otázky EMD jsou zásadnější.,,,For the L1 and L∞ metric in dimension d ⩾ 2 we leave open to determine the optimal constant c > 0 such that the […],Fine-Grained Complexity of Earth Mover’s Distance Under Translation,https://doi.org/10.4230/LIPIcs.SoCG.2024.25
143,TCS-5812,Two Sets Cut-Uncut on fat intersection graphs,Small Independent Sets Versus Small Separator in Geometric Intersection Graphs — Unresolved-question passage on page 14,Computational geometry and metric spaces,quarantined,individual_review,"Kombinace jedné řezové úlohy, neohodnocenosti a podobně velkých tlustých objektů vytváří úzký speciální případ.",,,What is the complexity of Two Sets Cut–Uncut on intersection graphs of similarly sized β-fat objects in Rd in the unweighted case?,Small Independent Sets Versus Small Separator in Geometric Intersection Graphs,https://doi.org/10.4230/LIPIcs.ESA.2026.137
