source_id,collection,title,url,locator,disposition,reason,atlas_ids,atlas_states,evidence,recommendation,retrieval_leads,source_status
topp:17,topp,Problem 17: Visibility Graph Recognition,https://topp.openproblem.net/p17,,source_already_indexed,"This numbered problem URL, or title together with reference, is already indexed in Atlas. Compare subtargets within that record before adding anything; this is provenance evidence, not a proof of equivalence for every variant.",TCS-0416,TCS-0416:active,https://topp.openproblem.net/p17,,TCS-0416; TCS-6325; TCS-0826,not_certified
topp:18,topp,Problem 18: Pushing Disks Together,https://topp.openproblem.net/p18,,partial_resolution,The planar Kneser-Poulsen case is solved; higher-dimensional variants are mathematical geometry without an established Atlas admission case.,,,https://topp.openproblem.net/p18,,TCS-5050; TCS-0313; TCS-3394,not_certified
topp:19,topp,Problem 19: Vertical Decompositions in \R^d,https://topp.openproblem.net/p19,,source_already_indexed,"This numbered problem URL, or title together with reference, is already indexed in Atlas. Compare subtargets within that record before adding anything; this is provenance evidence, not a proof of equivalence for every variant.",TCS-0415,TCS-0415:active,https://topp.openproblem.net/p19,,TCS-0415; TCS-0117; TCS-5401,not_certified
topp:20,topp,Problem 20: Minimum Stabbing Spanning Tree,https://topp.openproblem.net/p20,,source_reports_solved,The minimum-stabbing spanning-tree decision target is NP-complete.,,,https://topp.openproblem.net/p20,,TCS-0807; TCS-0403; TCS-6536,not_certified
topp:21,topp,Problem 21: Shortest Paths among Obstacles in 2D,https://topp.openproblem.net/p21,,source_reports_solved,"Optimal planar-obstacle shortest paths have a later Wang algorithm, recorded in the source.",,,https://topp.openproblem.net/p21,,TCS-0338; TCS-4827; TCS-5390,not_certified
topp:22,topp,Problem 22: Minimum-Link Path in 2D,https://topp.openproblem.net/p22,,source_already_indexed,"This numbered problem URL, or title together with reference, is already indexed in Atlas. Compare subtargets within that record before adding anything; this is provenance evidence, not a proof of equivalence for every variant.",TCS-0409,TCS-0409:active,https://topp.openproblem.net/p22,,TCS-0409; TCS-4699; TCS-0408,not_certified
topp:23,topp,Problem 23: Vertex \pi -Floodlights,https://topp.openproblem.net/p23,,source_already_indexed,"This numbered problem URL, or title together with reference, is already indexed in Atlas. Compare subtargets within that record before adding anything; this is provenance evidence, not a proof of equivalence for every variant.",TCS-0386,TCS-0386:archived,https://topp.openproblem.net/p23,,TCS-0386; TCS-2431; TCS-3294,not_certified
topp:24,topp,Problem 24: Polygonal Curve Simplification,https://topp.openproblem.net/p24,,source_already_indexed,"This numbered problem URL, or title together with reference, is already indexed in Atlas. Compare subtargets within that record before adding anything; this is provenance evidence, not a proof of equivalence for every variant.",TCS-0412,TCS-0412:active,https://topp.openproblem.net/p24,,TCS-0412; TCS-0327; TCS-0311,not_certified
topp:25,topp,Problem 25: Polyhedral Surface Approximation,https://topp.openproblem.net/p25,,source_already_indexed,"This numbered problem URL, or title together with reference, is already indexed in Atlas. Compare subtargets within that record before adding anything; this is provenance evidence, not a proof of equivalence for every variant.",TCS-0343,TCS-0343:active,https://topp.openproblem.net/p25,,TCS-0343; TCS-5982; TCS-0414,not_certified
topp:26,topp,Problem 26: Surface Reconstruction,https://topp.openproblem.net/p26,,source_already_indexed,"This numbered problem URL, or title together with reference, is already indexed in Atlas. Compare subtargets within that record before adding anything; this is provenance evidence, not a proof of equivalence for every variant.",TCS-0414,TCS-0414:active,https://topp.openproblem.net/p26,,TCS-0414; TCS-7217; TCS-7216,not_certified
topp:27,topp,Problem 27: Hexahedral Meshing,https://topp.openproblem.net/p27,,defer,Planar-faced hexahedral meshing is a possible major candidate. Straight-edge topological meshes do not settle planar faces; a current general-status check is still needed.,,,https://topp.openproblem.net/p27,,TCS-0343; TCS-0385; TCS-6521,not_certified
topp:28,topp,Problem 28: Flip Graph Connectivity in 3D,https://topp.openproblem.net/p28,,source_already_indexed,"This numbered problem URL, or title together with reference, is already indexed in Atlas. Compare subtargets within that record before adding anything; this is provenance evidence, not a proof of equivalence for every variant.",TCS-0381,TCS-0381:active,https://topp.openproblem.net/p28,,TCS-0381; TCS-0535; TCS-0437,not_certified
topp:29,topp,Problem 29: Hamiltonian Tetrahedralizations,https://topp.openproblem.net/p29,,source_already_indexed,"This numbered problem URL, or title together with reference, is already indexed in Atlas. Compare subtargets within that record before adding anything; this is provenance evidence, not a proof of equivalence for every variant.",TCS-0385,TCS-0385:active,https://topp.openproblem.net/p29,,TCS-0385; TCS-0858; TCS-4752,not_certified
topp:30,topp,Problem 30: Thrackles,https://topp.openproblem.net/p30,,source_already_indexed,"This numbered problem URL, or title together with reference, is already indexed in Atlas. Compare subtargets within that record before adding anything; this is provenance evidence, not a proof of equivalence for every variant.",TCS-0391,TCS-0391:active,https://topp.openproblem.net/p30,,TCS-0391; TCS-4374; TCS-4699,not_certified
topp:31,topp,Problem 31: Trapping Light Rays with Segment Mirrors,https://topp.openproblem.net/p31,,source_already_indexed,"This numbered problem URL, or title together with reference, is already indexed in Atlas. Compare subtargets within that record before adding anything; this is provenance evidence, not a proof of equivalence for every variant.",TCS-0380,TCS-0380:archived,https://topp.openproblem.net/p31,,TCS-0380; TCS-2363; TCS-6870,not_certified
topp:32,topp,Problem 32: Bar-Magnet Polyhedra,https://topp.openproblem.net/p32,,source_reports_solved,The bar-magnet realization question has a Mohar solution.,,,https://topp.openproblem.net/p32,,TCS-0375; TCS-0405; TCS-0406,not_certified
topp:33,topp,Problem 33: Sum of Square Roots,https://topp.openproblem.net/p33,,source_already_indexed,"This numbered problem URL, or title together with reference, is already indexed in Atlas. Compare subtargets within that record before adding anything; this is provenance evidence, not a proof of equivalence for every variant.",TCS-0055,TCS-0055:active,https://topp.openproblem.net/p33,,TCS-0055; TCS-0769; TCS-1053,not_certified
topp:34,topp,Problem 34: Extending Pseudosegment Arrangements by Subdivision,https://topp.openproblem.net/p34,,source_already_indexed,"This numbered problem URL, or title together with reference, is already indexed in Atlas. Compare subtargets within that record before adding anything; this is provenance evidence, not a proof of equivalence for every variant.",TCS-0407,TCS-0407:archived,https://topp.openproblem.net/p34,,TCS-0407; TCS-1071; TCS-0411,not_certified
topp:35,topp,Problem 35: Freeze-Tag: Optimal Strategies for Awakening a Swarm of Robots,https://topp.openproblem.net/p35,,partial_resolution,General freeze-tag optimization is NP-hard; remaining approximation or restricted variants require separate targets.,,,https://topp.openproblem.net/p35,,TCS-3058; TCS-5898; TCS-5707,not_certified
topp:36,topp,Problem 36: Inplace Convex Hull of a Simple Polygonal Chain,https://topp.openproblem.net/p36,,source_reports_solved,The in-place hull target has an algorithm in the source update.,,,https://topp.openproblem.net/p36,,TCS-0327; TCS-0412; TCS-3302,not_certified
topp:37,topp,Problem 37: Counting Polyominoes,https://topp.openproblem.net/p37,,source_already_indexed,"This numbered problem URL, or title together with reference, is already indexed in Atlas. Compare subtargets within that record before adding anything; this is provenance evidence, not a proof of equivalence for every variant.",TCS-0312,TCS-0312:active,https://topp.openproblem.net/p37,,TCS-0312; TCS-5187; TCS-4105,not_certified
topp:38,topp,Problem 38: Compatible Triangulations,https://topp.openproblem.net/p38,,source_already_indexed,"This numbered problem URL, or title together with reference, is already indexed in Atlas. Compare subtargets within that record before adding anything; this is provenance evidence, not a proof of equivalence for every variant.",TCS-0401,TCS-0401:active,https://topp.openproblem.net/p38,,TCS-0401; TCS-1869; TCS-0359,not_certified
topp:39,topp,Problem 39: Distances among Point Sets in \R^2 and \R^3,https://topp.openproblem.net/p39,,source_already_indexed,"This numbered problem URL, or title together with reference, is already indexed in Atlas. Compare subtargets within that record before adding anything; this is provenance evidence, not a proof of equivalence for every variant.",TCS-0402,TCS-0402:active,https://topp.openproblem.net/p39,,TCS-0402; TCS-0993; TCS-2194,not_certified
topp:40,topp,Problem 40: The Number of Pointed Pseudotriangulations,https://topp.openproblem.net/p40,,source_already_indexed,"This numbered problem URL, or title together with reference, is already indexed in Atlas. Compare subtargets within that record before adding anything; this is provenance evidence, not a proof of equivalence for every variant.",TCS-0404,TCS-0404:active,https://topp.openproblem.net/p40,,TCS-0404; TCS-6374; TCS-0359,not_certified
topp:41,topp,Problem 41: Sorting X+Y (Pairwise Sums),https://topp.openproblem.net/p41,,source_already_indexed,"This numbered problem URL, or title together with reference, is already indexed in Atlas. Compare subtargets within that record before adding anything; this is provenance evidence, not a proof of equivalence for every variant.",TCS-0388,TCS-0388:active,https://topp.openproblem.net/p41,,TCS-0388; TCS-1119; TCS-2897,not_certified
topp:42,topp,Problem 42: Vertex-Unfolding Polyhedra,https://topp.openproblem.net/p42,,source_already_indexed,"This numbered problem URL, or title together with reference, is already indexed in Atlas. Compare subtargets within that record before adding anything; this is provenance evidence, not a proof of equivalence for every variant.",TCS-0405,TCS-0405:active,https://topp.openproblem.net/p42,,TCS-0405; TCS-0406; TCS-0382,not_certified
topp:43,topp,Problem 43: General Unfoldings of Nonconvex Polyhedra,https://topp.openproblem.net/p43,,source_already_indexed,"This numbered problem URL, or title together with reference, is already indexed in Atlas. Compare subtargets within that record before adding anything; this is provenance evidence, not a proof of equivalence for every variant.",TCS-0382,TCS-0382:active,https://topp.openproblem.net/p43,,TCS-0382; TCS-0373; TCS-0406,not_certified
topp:44,topp,Problem 44: 3-Colorability of Arrangements of Great Circles,https://topp.openproblem.net/p44,,source_already_indexed,"This numbered problem URL, or title together with reference, is already indexed in Atlas. Compare subtargets within that record before adding anything; this is provenance evidence, not a proof of equivalence for every variant.",TCS-0400,TCS-0400:archived,https://topp.openproblem.net/p44,,TCS-0400; TCS-1677; TCS-0594,not_certified
topp:45,topp,Problem 45: Smallest Universal Set of Points for Planar Graphs,https://topp.openproblem.net/p45,,source_already_indexed,"This numbered problem URL, or title together with reference, is already indexed in Atlas. Compare subtargets within that record before adding anything; this is provenance evidence, not a proof of equivalence for every variant.",TCS-0377,TCS-0377:active,https://topp.openproblem.net/p45,,TCS-0377; TCS-0369; TCS-0637,not_certified
topp:46,topp,Problem 46: 3D Minimum-Bend Orthogonal Graph Drawings,https://topp.openproblem.net/p46,,source_already_indexed,"This numbered problem URL, or title together with reference, is already indexed in Atlas. Compare subtargets within that record before adding anything; this is provenance evidence, not a proof of equivalence for every variant.",TCS-0389,TCS-0389:archived,https://topp.openproblem.net/p46,,TCS-0389; TCS-6214; TCS-1084,not_certified
topp:47,topp,Problem 47: Hinged Dissections,https://topp.openproblem.net/p47,,source_reports_solved,General hinged dissections were established by Abbott and collaborators.,,,https://topp.openproblem.net/p47,,TCS-1445; TCS-3324; TCS-4827,not_certified
topp:48,topp,Problem 48: Bounded-Degree Minimum Euclidean Spanning Tree,https://topp.openproblem.net/p48,,source_reports_solved,The degree-four Euclidean spanning-tree optimization target is NP-hard.,,,https://topp.openproblem.net/p48,,TCS-0403; TCS-0807; TCS-0408,not_certified
topp:49,topp,Problem 49: Planar Euclidean Maximum TSP,https://topp.openproblem.net/p49,,source_already_indexed,"This numbered problem URL, or title together with reference, is already indexed in Atlas. Compare subtargets within that record before adding anything; this is provenance evidence, not a proof of equivalence for every variant.",TCS-0398,TCS-0398:active,https://topp.openproblem.net/p49,,TCS-0398; TCS-0408; TCS-0403,not_certified
topp:50,topp,Problem 50: Pointed Spanning Trees in Triangulations,https://topp.openproblem.net/p50,,source_reports_solved,The pointed-spanning-tree counting conjecture was disproved.,,,https://topp.openproblem.net/p50,,TCS-0404; TCS-0401; TCS-0335,not_certified
topp:51,topp,Problem 51: Linear-Volume 3D Grid Drawings of Planar Graphs,https://topp.openproblem.net/p51,,resolved_literature,Bounded queue-number and linear-volume three-dimensional grid drawings of planar graphs follow from the 2019 product-structure result.,,,https://arxiv.org/abs/1904.04791,,TCS-6214; TCS-0730; TCS-4505,not_certified
topp:52,topp,Problem 52: Queue-Number of Planar Graphs,https://topp.openproblem.net/p52,,resolved_literature,Bounded queue-number and linear-volume three-dimensional grid drawings of planar graphs follow from the 2019 product-structure result.,,,https://arxiv.org/abs/1904.04791,,TCS-1538; TCS-0743; TCS-0369,not_certified
topp:53,topp,Problem 53: Minimum-Turn Cycle Cover in Planar Grid Graphs,https://topp.openproblem.net/p53,,source_reports_solved,The grid minimum-turn cycle-cover target is NP-hard.,,,https://topp.openproblem.net/p53,,TCS-0397; TCS-0369; TCS-0337,not_certified
topp:54,topp,Problem 54: Traveling Salesman Problem in Solid Grid Graphs,https://topp.openproblem.net/p54,,source_already_indexed,"This numbered problem URL, or title together with reference, is already indexed in Atlas. Compare subtargets within that record before adding anything; this is provenance evidence, not a proof of equivalence for every variant.",TCS-0397,TCS-0397:active,https://topp.openproblem.net/p54,,TCS-0397; TCS-0069; TCS-3760,not_certified
topp:55,topp,Problem 55: Pallet Loading,https://topp.openproblem.net/p55,,source_already_indexed,"This numbered problem URL, or title together with reference, is already indexed in Atlas. Compare subtargets within that record before adding anything; this is provenance evidence, not a proof of equivalence for every variant.",TCS-0396,TCS-0396:archived,https://topp.openproblem.net/p55,,TCS-0396; TCS-2217; TCS-2894,not_certified
topp:56,topp,Problem 56: Packing Unit Squares in a Simple Polygon,https://topp.openproblem.net/p56,,source_reports_solved,Unit-square packing in a simple polygon is NP-hard by the cited 2024 result.,,,https://topp.openproblem.net/p56,,TCS-6422; TCS-0327; TCS-1852,not_certified
topp:57,topp,Problem 57: Chromatic Number of the Plane,https://topp.openproblem.net/p57,,source_already_indexed,"This numbered problem URL, or title together with reference, is already indexed in Atlas. Compare subtargets within that record before adding anything; this is provenance evidence, not a proof of equivalence for every variant.",TCS-0378,TCS-0378:active,https://topp.openproblem.net/p57,,TCS-0378; TCS-4543; TCS-6728,not_certified
topp:58,topp,Problem 58: Monochromatic Triangles,https://topp.openproblem.net/p58,,source_already_indexed,"This numbered problem URL, or title together with reference, is already indexed in Atlas. Compare subtargets within that record before adding anything; this is provenance evidence, not a proof of equivalence for every variant.",TCS-0394,TCS-0394:archived,https://topp.openproblem.net/p58,,TCS-0394; TCS-0811; TCS-3716,not_certified
topp:59,topp,Problem 59: Most Circular Partition of a Square,https://topp.openproblem.net/p59,,source_already_indexed,"This numbered problem URL, or title together with reference, is already indexed in Atlas. Compare subtargets within that record before adding anything; this is provenance evidence, not a proof of equivalence for every variant.",TCS-0395,TCS-0395:archived,https://topp.openproblem.net/p59,,TCS-0395; TCS-0055; TCS-7026,not_certified
topp:60,topp,Problem 60: Transforming Polygons via Vertex-Centroid Moves,https://topp.openproblem.net/p60,,source_already_indexed,"This numbered problem URL, or title together with reference, is already indexed in Atlas. Compare subtargets within that record before adding anything; this is provenance evidence, not a proof of equivalence for every variant.",TCS-0392,TCS-0392:archived,https://topp.openproblem.net/p60,,TCS-0392; TCS-0127; TCS-0374,not_certified
topp:61,topp,Problem 61: Lines Tangent to Four Unit Balls,https://topp.openproblem.net/p61,,source_already_indexed,"This numbered problem URL, or title together with reference, is already indexed in Atlas. Compare subtargets within that record before adding anything; this is provenance evidence, not a proof of equivalence for every variant.",TCS-0390,TCS-0390:archived,https://topp.openproblem.net/p61,,TCS-0390; TCS-0330; TCS-6027,not_certified
topp:62,topp,Problem 62: Volume Maximizing Convex Shape,https://topp.openproblem.net/p62,,source_already_indexed,"This numbered problem URL, or title together with reference, is already indexed in Atlas. Compare subtargets within that record before adding anything; this is provenance evidence, not a proof of equivalence for every variant.",TCS-0393,TCS-0393:archived,https://topp.openproblem.net/p62,,TCS-0393; TCS-3302; TCS-4032,not_certified
topp:63,topp,Problem 63: Dynamic Planar Nearest Neighbors,https://topp.openproblem.net/p63,,source_already_indexed,"This numbered problem URL, or title together with reference, is already indexed in Atlas. Compare subtargets within that record before adding anything; this is provenance evidence, not a proof of equivalence for every variant.",TCS-0387,TCS-0387:active,https://topp.openproblem.net/p63,,TCS-0387; TCS-1644; TCS-5409,not_certified
topp:64,topp,Problem 64: Edge-Unfolding Polycubes,https://topp.openproblem.net/p64,,source_already_indexed,"This numbered problem URL, or title together with reference, is already indexed in Atlas. Compare subtargets within that record before adding anything; this is provenance evidence, not a proof of equivalence for every variant.",TCS-0384,TCS-0384:archived,https://topp.openproblem.net/p64,,TCS-0384; TCS-0406; TCS-0405,not_certified
topp:65,topp,Problem 65: Magic Configurations,https://topp.openproblem.net/p65,,source_reports_solved,The magic-configuration target is settled in the source update.,,,https://topp.openproblem.net/p65,,TCS-3888; TCS-2645; TCS-2410,not_certified
topp:66,topp,Problem 66: Reflexivity of Point Sets,https://topp.openproblem.net/p66,,source_already_indexed,"This numbered problem URL, or title together with reference, is already indexed in Atlas. Compare subtargets within that record before adding anything; this is provenance evidence, not a proof of equivalence for every variant.",TCS-0383,TCS-0383:archived,https://topp.openproblem.net/p66,,TCS-0383; TCS-2194; TCS-0368,not_certified
topp:67,topp,Problem 67: Fair Partitioning of Convex Polygons,https://topp.openproblem.net/p67,,resolved_literature,"Equal-area, equal-perimeter convex partitions into every prescribed number of parts were proved in 2018.",,,https://arxiv.org/abs/1804.03057,,TCS-0374; TCS-6422; TCS-3302,not_certified
topp:68,topp,Problem 68: Rolling a Die over a Labeled Board,https://topp.openproblem.net/p68,,source_already_indexed,"This numbered problem URL, or title together with reference, is already indexed in Atlas. Compare subtargets within that record before adding anything; this is provenance evidence, not a proof of equivalence for every variant.",TCS-0371,TCS-0371:archived,https://topp.openproblem.net/p68,,TCS-0371; TCS-4937; TCS-6287,not_certified
topp:69,topp,Problem 69: Isoceles Planar Graph Drawing,https://topp.openproblem.net/p69,,source_reports_solved,The isosceles drawing assertion was disproved.,,,https://topp.openproblem.net/p69,,TCS-6214; TCS-4353; TCS-1898,not_certified
topp:70,topp,Problem 70: Yao-Yao Graph a Spanner?,https://topp.openproblem.net/p70,,partial_resolution,Yao-Yao spanner status depends on the number and parity of cones; do not import a blanket spanner question.,,,https://topp.openproblem.net/p70,,TCS-0321; TCS-3355; TCS-0362,not_certified
topp:71,topp,Problem 71: Stretch-Factor for Points in Convex Position,https://topp.openproblem.net/p71,,source_reports_solved,The proposed pi/2 Delaunay stretch bound is false.,,,https://topp.openproblem.net/p71,,TCS-5903; TCS-0952; TCS-0316,not_certified
topp:72,topp,Problem 72: Polyhedron with Regular Pentagon Faces,https://topp.openproblem.net/p72,,source_already_indexed,"This numbered problem URL, or title together with reference, is already indexed in Atlas. Compare subtargets within that record before adding anything; this is provenance evidence, not a proof of equivalence for every variant.",TCS-0379,TCS-0379:archived,https://topp.openproblem.net/p72,,TCS-0379; TCS-0343; TCS-5982,not_certified
topp:73,topp,Problem 73: Congruent Partitions of Polygons,https://topp.openproblem.net/p73,,source_already_indexed,"This numbered problem URL, or title together with reference, is already indexed in Atlas. Compare subtargets within that record before adding anything; this is provenance evidence, not a proof of equivalence for every variant.",TCS-0374,TCS-0374:active,https://topp.openproblem.net/p73,,TCS-0374; TCS-0359; TCS-6422,not_certified
topp:74,topp,Problem 74: Slicing Axes-Parallel Rectangles,https://topp.openproblem.net/p74,,source_already_indexed,"This numbered problem URL, or title together with reference, is already indexed in Atlas. Compare subtargets within that record before adding anything; this is provenance evidence, not a proof of equivalence for every variant.",TCS-0372,TCS-0372:archived,https://topp.openproblem.net/p74,,TCS-0372; TCS-0370; TCS-6358,not_certified
topp:75,topp,Problem 75: Edge-Coloring Geometric Graphs,https://topp.openproblem.net/p75,,source_already_indexed,"This numbered problem URL, or title together with reference, is already indexed in Atlas. Compare subtargets within that record before adding anything; this is provenance evidence, not a proof of equivalence for every variant.",TCS-0376,TCS-0376:active,https://topp.openproblem.net/p75,,TCS-0376; TCS-7218; TCS-6404,not_certified
topp:76,topp,Problem 76: Equiprojective Polyhedra,https://topp.openproblem.net/p76,,source_already_indexed,"This numbered problem URL, or title together with reference, is already indexed in Atlas. Compare subtargets within that record before adding anything; this is provenance evidence, not a proof of equivalence for every variant.",TCS-0375,TCS-0375:archived,https://topp.openproblem.net/p76,,TCS-0375; TCS-0406; TCS-0405,not_certified
topp:77,topp,Problem 77: Zipper Unfoldings of Convex Polyhedra,https://topp.openproblem.net/p77,,source_already_indexed,"This numbered problem URL, or title together with reference, is already indexed in Atlas. Compare subtargets within that record before adding anything; this is provenance evidence, not a proof of equivalence for every variant.",TCS-0373,TCS-0373:active,https://topp.openproblem.net/p77,,TCS-0373; TCS-0382; TCS-0406,not_certified
topp:78,topp,Problem 78: Rectangling a Rectangle,https://topp.openproblem.net/p78,,source_already_indexed,"This numbered problem URL, or title together with reference, is already indexed in Atlas. Compare subtargets within that record before adding anything; this is provenance evidence, not a proof of equivalence for every variant.",TCS-0370,TCS-0370:archived,https://topp.openproblem.net/p78,,TCS-0370; TCS-1044; TCS-1163,not_certified
amarilli:complexity-of-counting-antichains-in-restricted-poset-classes,amarilli,Complexity of counting antichains in restricted poset classes,https://a3nm.net/work/research/questions/#complexity-of-counting-antichains-in-restricted-poset-classes,,source_already_indexed,"This numbered problem URL, or title together with reference, is already indexed in Atlas. Compare subtargets within that record before adding anything; this is provenance evidence, not a proof of equivalence for every variant.",TCS-0610,TCS-0610:archived,https://a3nm.net/work/research/questions/#complexity-of-counting-antichains-in-restricted-poset-classes,,TCS-0610; TCS-0503; TCS-1078,listed_open
amarilli:tradeoffs-between-computational-and-oracle-complexity-to-learn-monotone-predicates-on-posets,amarilli,Tradeoffs between computational and oracle complexity to learn monotone predicates on posets,https://a3nm.net/work/research/questions/#tradeoffs-between-computational-and-oracle-complexity-to-learn-monotone-predicates-on-posets,,defer,Oracle/computation tradeoffs need a fixed poset input model and a selected quantitative assertion; currently too broad for one card.,,,https://a3nm.net/work/research/questions/#tradeoffs-between-computational-and-oracle-complexity-to-learn-monotone-predicates-on-posets,,TCS-0284; TCS-1697; TCS-0771,listed_open
amarilli:complexity-of-finding-linear-extensions-of-a-labeled-poset-in-a-regular-language,amarilli,Complexity of finding linear extensions of a labeled poset in a regular,https://a3nm.net/work/research/questions/#complexity-of-finding-linear-extensions-of-a-labeled-poset-in-a-regular-language,,source_already_indexed,"This numbered problem URL, or title together with reference, is already indexed in Atlas. Compare subtargets within that record before adding anything; this is provenance evidence, not a proof of equivalence for every variant.",TCS-0613,TCS-0613:active,https://a3nm.net/work/research/questions/#complexity-of-finding-linear-extensions-of-a-labeled-poset-in-a-regular-language,,TCS-0613; TCS-0142; TCS-0805,listed_open
amarilli:testing-whether-a-set-of-words-can-be-the-set-of-linear-extensions-of-a-labeled-poset,amarilli,Testing whether a set of words can be the set of linear,https://a3nm.net/work/research/questions/#testing-whether-a-set-of-words-can-be-the-set-of-linear-extensions-of-a-labeled-poset,,defer,Specialized reconstruction/representation target; the source does not establish consequences sufficient to prioritize it over the selected foundational questions.,,,https://a3nm.net/work/research/questions/#testing-whether-a-set-of-words-can-be-the-set-of-linear-extensions-of-a-labeled-poset,,TCS-0805; TCS-0613; TCS-0371,listed_open
amarilli:representing-bounded-treewidth-partial-orders,amarilli,Representing bounded treewidth partial orders,https://a3nm.net/work/research/questions/#representing-bounded-treewidth-partial-orders,,source_already_indexed,"This numbered problem URL, or title together with reference, is already indexed in Atlas. Compare subtargets within that record before adding anything; this is provenance evidence, not a proof of equivalence for every variant.",TCS-0614,TCS-0614:archived,https://a3nm.net/work/research/questions/#representing-bounded-treewidth-partial-orders,,TCS-0614; TCS-0787; TCS-0804,listed_open
amarilli:smallest-posets-with-prescribed-number-of-linear-extensions,amarilli,Smallest posets with prescribed number of linear extensions,https://a3nm.net/work/research/questions/#smallest-posets-with-prescribed-number-of-linear-extensions,,defer,No sufficiently checked new admission target established from this entry. Similarity candidates are only search leads; current status and the exact remaining formulation need review before any import.,,,https://a3nm.net/work/research/questions/#smallest-posets-with-prescribed-number-of-linear-extensions,,TCS-2629; TCS-0805; TCS-1083,listed_open
amarilli:boolean-dimension-of-planar-posets,amarilli,Boolean dimension of planar posets,https://a3nm.net/work/research/questions/#boolean-dimension-of-planar-posets,,recommend,"New target recommended for discussion; precise statement, importance, literature status and comparison in recommendation R4.",,,recommendations.md,4,TCS-0691; TCS-3497; TCS-5989,listed_open
amarilli:linear-treewidth-and-pathwidth-sparsifiers,amarilli,Linear treewidth and pathwidth sparsifiers,https://a3nm.net/work/research/questions/#linear-treewidth-and-pathwidth-sparsifiers,,recommend,"New target recommended for discussion; precise statement, importance, literature status and comparison in recommendation R5.",,,recommendations.md,5,TCS-4775; TCS-0804; TCS-1223,listed_open
amarilli:existence-of-4-regular-uniquely-hamiltonian-graphs-sheehans-conjecture,amarilli,Existence of 4-regular uniquely Hamiltonian graphs (Sheehan's conjecture),https://a3nm.net/work/research/questions/#existence-of-4-regular-uniquely-hamiltonian-graphs-sheehans-conjecture,,defer,"Sheehan is a credible graph alternative, deferred to category comparison and a dedicated current-status check; not excluded merely for being graph theory.",,,https://a3nm.net/work/research/questions/#existence-of-4-regular-uniquely-hamiltonian-graphs-sheehans-conjecture,,TCS-0858; TCS-4745; TCS-0642,listed_open
amarilli:shortest-disjoint-paths,amarilli,Shortest disjoint paths (★),https://a3nm.net/work/research/questions/#shortest-disjoint-paths,,defer,No sufficiently checked new admission target established from this entry. Similarity candidates are only search leads; current status and the exact remaining formulation need review before any import.,,,https://a3nm.net/work/research/questions/#shortest-disjoint-paths,,TCS-0756; TCS-3263; TCS-5918,listed_open
amarilli:3-coloring-graphs-of-diameter-2,amarilli,3-coloring graphs of diameter 2,https://a3nm.net/work/research/questions/#3-coloring-graphs-of-diameter-2,,represented_target,The posted main target is represented by the named Atlas record. Preserve its active/archive disposition; this is not a fresh open-status certification.,TCS-0594,TCS-0594:active,https://a3nm.net/work/research/questions/#3-coloring-graphs-of-diameter-2,,TCS-0594; TCS-6792; TCS-5708,listed_open
amarilli:fpras-for-the-probability-of-obtaining-a-cyclic-subgraph-of-a-directed-graph,amarilli,FPRAS for the probability of obtaining a cyclic subgraph of a directed,https://a3nm.net/work/research/questions/#fpras-for-the-probability-of-obtaining-a-cyclic-subgraph-of-a-directed-graph,,defer,Potential reliability-counting addition. The 2024 source-target reliability FPRAS does not automatically give directed-cycle reliability; a separate current-status check is needed.,,,https://a3nm.net/work/research/questions/#fpras-for-the-probability-of-obtaining-a-cyclic-subgraph-of-a-directed-graph,,TCS-0808; TCS-4652; TCS-6671,listed_open
amarilli:HuntersRabbit,amarilli,Number of hunters to catch a rabbit (✎),https://a3nm.net/work/research/questions/#HuntersRabbit,,represented_target,The posted main target is represented by the named Atlas record. Preserve its active/archive disposition; this is not a fresh open-status certification.,TCS-6069,TCS-6069:archived,https://a3nm.net/work/research/questions/#HuntersRabbit,,TCS-6069; TCS-0600; TCS-4115,listed_open
amarilli:computing-the-treewidth-of-planar-graphs,amarilli,Computing the treewidth of planar graphs,https://a3nm.net/work/research/questions/#computing-the-treewidth-of-planar-graphs,,represented_target,The posted main target is represented by the named Atlas record. Preserve its active/archive disposition; this is not a fresh open-status certification.,TCS-0771,TCS-0771:active,https://a3nm.net/work/research/questions/#computing-the-treewidth-of-planar-graphs,,TCS-0771; TCS-0787; TCS-2356,listed_open
amarilli:computing-cliquewidth,amarilli,Computing cliquewidth,https://a3nm.net/work/research/questions/#computing-cliquewidth,,represented_target,The posted main target is represented by the named Atlas record. Preserve its active/archive disposition; this is not a fresh open-status certification.,TCS-7181,TCS-7181:active,https://a3nm.net/work/research/questions/#computing-cliquewidth,,TCS-0783; TCS-0787; TCS-1586,listed_open
amarilli:optimal-bound-on-the-size-of-a-grid-minor,amarilli,Optimal bound on the size of a grid minor,https://a3nm.net/work/research/questions/#optimal-bound-on-the-size-of-a-grid-minor,,represented_target,The posted main target is represented by the named Atlas record. Preserve its active/archive disposition; this is not a fresh open-status certification.,TCS-6683,TCS-6683:active,https://a3nm.net/work/research/questions/#optimal-bound-on-the-size-of-a-grid-minor,,TCS-4404; TCS-6683; TCS-6239,listed_open
