# Initial scope-review worksheet, 10 September 2026. Production assessments are in importance_category_review.json; canonical detailed cards and subsequent routing may supersede this snapshot.
# Category	IDs	Score	Editorial reason
28	2932	68	Linear-size constant-hop spanners for disk or rectangle intersection graphs would combine sparsity with bounded path complexity in a broad geometric family.
28	1397 1551 1960 2253 3175 3848 4194	63	A concrete metric embedding, search, or approximation question that tests a restricted geometric tradeoff.
29	0924	88	Precedence-constrained scheduling for weighted completion time is a central approximation frontier in scheduling theory.
29	0935	84	The complexity of unit-job precedence scheduling tests how much difficulty remains in a highly simplified canonical scheduling model.
29	0922	82	Generalized assignment is a fundamental allocation and scheduling primitive whose approximation bounds transfer to many applications.
29	0927	76	Stochastic and multidimensional scheduling questions address broad extensions of classical allocation models; the saved family still needs separate formulations.
29	0925	74	Scheduling with recourse quantifies the ability to adapt decisions while limiting disruption.
29	0930	72	Parameterized tractability in scheduling would identify which structural restrictions overcome general hardness.
29	0914 0928 0933	69	Matching with delays and wireless scheduling are standard online or network scheduling frontiers.
29	0918 0919 0920 0921 0923 0926 0929 0934	64	A complexity or approximation threshold for a specified scheduling or packing model.
29	0915 0916 0917 0931 0932	57	A focused scheduling framework, implementation, or buffering question, assigned shared specialist priority.
30	0427	87	Short certificates for three-manifold homeomorphism would locate a central topological classification problem in computational complexity.
30	0419	85	coNP certificates for three-manifold homeomorphism would clarify the complexity of distinguishing topological types.
30	0430	82	NP-hardness of three-manifold homeomorphism would establish a fundamental obstruction to efficient topological classification.
30	0423	80	Efficient multiparameter persistence is a general computational frontier for extracting topology from several simultaneous filtrations.
30	0434	77	Provable manifold reconstruction links sampled geometric data with recovery of its underlying topological structure.
30	0432 0433	75	Polynomial bounds for triangulation transformations would give quantitative control over topological equivalence representations.
30	0428 0429	72	Short certificates for recognizing major three-manifold classes would refine the algorithmic structure of topological classification.
30	0435	71	Faster persistent-homology representatives would improve a standard output primitive for topological data analysis.
30	0418 0420 0421 0425 0431 1089	66	A substantive complexity, representation, or counting question for a specified topological object or transformation.
30	0422 0424 0426 0436 0437 0438 0439	57	A focused topological-data, geometric-combinatorics, or representation question with a narrower target than general classification problems.
31	0171	87	The exact complexity of word unification concerns a core string-equation problem shared by automated reasoning and formal-language theory.
31	0169	77	Decidability of unification modulo allegories tests the algorithmic limits of a rich relational equational theory.
31	0173	74	A general decidability result for pattern unification under variable-preserving equations would cover a broad family of equational theories.
31	0176	70	Ordering-constraint satisfiability under partial precedences affects the automation of standard termination and ordering methods.
31	0170	68	Combining ordering constraints with regularity or irreducibility tests a useful decision-procedure boundary.
31	0172	63	Unique normal forms under infinite-term unification is a focused structural guarantee for rewriting and deduction.
31	0175	60	More flexible control of AC unification would extend the robustness of a standard equational reasoning procedure.
31	0174	55	Improving a particular merge-rule condition is a local algorithmic refinement within unification procedures.
32	0492	89	Bag-semantics conjunctive-query containment is a central decidability problem for query optimization under multiplicities.
32	0488	84	Computability of entropic query-size bounds tests whether the strongest information-theoretic join estimates are algorithmically accessible.
32	0487	81	The complexity of polymatroid query bounds affects the feasibility of a general framework for controlling join output size.
32	0494	79	Finite controllability from bounded derivation would connect logical semantics with query reasoning over finite databases.
32	0497	78	Query determinacy from views asks whether stored query answers contain enough information to recover another query.
32	0499	77	Query evaluation parameterized by treewidth concerns a central structural tractability measure in database algorithms.
32	0504	76	Uniform algorithms across tractable CSPs test whether separate tractability results can be realized by a single effective procedure.
32	0496 0500 0502	73	The relation between query probability and compact lineage representations would sharpen the tractability map of probabilistic databases.
32	0481 0482 0490	71	Circuit, fixed-point, or proof bounds for core database primitives could strengthen general query-evaluation techniques.
32	0486 0493 0495 0498 0503 0505	67	A decidability or tractability question for a specified logical or probabilistic database model.
32	0483 0484 0485 0489 0491 0501	60	A focused algebraic, logical, or query-oracle question supporting more specialized database-theory methods.
33	0284	83	Connecting Kolmogorov complexity with computational complexity classes could bridge information-theoretic and computational measures of difficulty; the saved entry is a question family.
33	0247	81	Equivalence of Shannon and algorithmic network coding would connect two general frameworks for distributed information.
33	0289	79	The structure of K-trivial degrees is central to understanding computational weakness through algorithmic information.
33	0288	78	Structural questions in higher algorithmic randomness address a broad extension of the basic theory of random sequences.
33	0272	77	Density and minimality in the Weihrauch lattice probe the global structure of a principal framework for comparing noncomputable tasks.
33	0255 0275 0287 0290	74	Relating randomness, extraction, computational bounds, and logical strength would clarify general principles in algorithmic information.
33	0238 0246 0250 0254 0257 0270 0276 0277 0280 0286	70	A substantive structural question about information transformations, reducibility, or logical strength, with consequences beyond one concrete machine.
33	0237 0239 0240 0241 0243 0244 0245 0248 0249 0253 0256 0258 0259 0260 0261 0262 0263 0268 0269 0273 0274 0278 0279 0281 0282 0283 0285 0291	63	A focused quantitative or structural problem in computability and algorithmic information.
33	0224 0225 0226 0227 0228 0234 0235 0236 0264 0265 0266 0267	59	A concrete Busy Beaver or logical-strength calibration is informative but narrower than general structural questions about computation and randomness.
33	0229 0230 0231 0232 0233 0242 0251 0252 0271	54	A specialized finite-machine, combinatorial-profile, or representation problem, assigned shared focused priority.
34	0086	81	Reconstructing a tree-child network displaying multiple trees is a core algorithmic question about combining conflicting evolutionary histories.
34	0079	78	Parameterized reconstruction of nonbinary phylogenies tests how reticulation complexity controls the feasibility of general network reconstruction.
34	0082	75	Polynomial-time reconstruction of tree-child networks from trinets concerns recovery of global evolutionary structure from local observations.
34	0085	72	Temporal constraints add biologically meaningful structure to a central reticulation-parameterized reconstruction task.
34	0081 0087	69	Reconstruction from incomplete local observations tests a significant parameterized frontier for phylogenetic inference.
34	0083 0084	64	A sharper reconstruction or exponential-time bound for a specified network or input restriction.
34	0080	60	Orienting a given unrooted network into specified classes is a focused structural step in phylogenetic reconstruction.
35	1049	68	Separating every triple by cube colorings is an explicit combinatorial construction problem with a clearer standalone target than the unspecific passages in this category.
35	0206	61	The connection between combinatorial moment sequences and permutation patterns is a self-contained structural direction; the saved record still groups several questions.
35	0207	55	A refined permutation-pattern distribution question with a specialized combinatorial target.
