TCS-6504	Is perfect matching in general graphs in deterministic NC?	The Matching Problem in General Graphs Is in Quasi-NC
TCS-3640	The following question is also open: does there exist an efficient algorithm to check if a given directed graph satisfies condition SC?	Exact Byzantine Consensus on Arbitrary Directed Graphs Under Local Broadcast Model
TCS-3723	Can we find any problem that can uses the benefit of bounded clique-width?	Low-Congestion Shortcut and Graph Parameters
TCS-3725	Are there resilient asynchronous algorithms that solve the problem for non-chordal graphs?	Byzantine Approximate Agreement on Graphs
TCS-3726	Is it possible to obtain a deterministic message-reduction scheme with no degradation of time?	Message Reduction in the LOCAL Model Is a Free Lunch
TCS-3735	Can a better complexity be found for general graphs?	Distributed Reconfiguration of Maximal Independent Sets
TCS-3757	What about multi-dimensional arrays?	Testing Local Properties of Arrays
TCS-3762	What if the output is required to be perfectly random, i.e., ε = 0?	Simulating Random Walks on Graphs in the Streaming Model
TCS-3767	How can we extend the class of graphs on which we can solve MVC and MIS within a small approximation factor even further?	Distributed Minimum Vertex Coloring and Maximum Independent Set in Chordal Graphs
TCS-3774	What is the time complexity of the uniform k-partition problem?	Uniform Partition in Population Protocol Model Under Weak Fairness
TCS-3784	We leave as an open question whether this challenge can be overcome with poly(log ∆) overhead. “Backtracking” on faulty progress has been the subject of […]	Erasure Correction for Noisy Radio Networks
TCS-3792	We conjecture that for all n > k > 2 there is no deterministic linearizable (n, k)-set agreement object that is equivalent to the (n, […]	On Deterministic Linearizable Set Agreement Objects
TCS-3793	We leave it as an open problem to determine whether these guarantees can also be extended to wise processes for asymmetric reliable broadcast and the […]	Asymmetric Distributed Trust
TCS-3803	Can we improve it, even at the cost of some constant congestion in the path P (i.e., allow P to visit every vertex a constant […]	Packing Directed Circuits Quarter-Integrally
TCS-3806	Can we reduce the number of passes to poly(k), or instead show that we need passes which are superpolynomial in k if we restrict space […]	Towards a Theory of Parameterized Streaming Algorithms
TCS-3813	Are there any deterministic algorithms for the case where Minit and Oinit are even (such solutions would have to avoid starting or ending up in […]	Gathering on Rings for Myopic Asynchronous Robots With Lights
TCS-3845	In other words, while there exist good multicommodity routing solutions, we do not know how to find them efficiently in a distributed fashion.	New Distributed Algorithms in Almost Mixing Time via Transformations from Parallel Algorithms
TCS-3891	But determining which model implements a given Heard-Of predicate is an open question.	Characterizing Asynchronous Message-Passing Models Through Rounds
TCS-3892	Finding a lower bound for the construction of all-pairs spanners in the congest model is still an open question.	The Sparsest Additive Spanner via Multiple Weighted BFS Trees
TCS-3894	We conjecture that systems of linear inequalities can be computed by leaderless protocols with a polynomial number of states.	Large Flocks of Small Birds: on the Minimal Size of Population Protocols
TCS-3910	We leave as a great open question whether the complexity of clique detection in the CONGEST model is sublinear, or one needs Θ(n) e communication […]	Detecting Cliques in CONGEST Networks
TCS-3939	Whether there are algorithms that achieve this lower cost remains an open question.	Integrated Bounds for Disintegrated Storage
TCS-3950	We do not have a formal proof of this, however, and thus it is still an open question whether or not this algorithm is optimal.	Linear Rendezvous with Asymmetric Clocks
TCS-3960	In particular, does there exist an earthmover resilient property that is testable but not tolerantly testable?	Earthmover Resilience and Testing in Ordered Structures
TCS-3972	Is there a proof-labeling scheme for diam that scales by a factor greater than t in all graphs where b(t) t?	Redundancy in Distributed Proofs
TCS-3983	What are the trade-offs among the ratio good/Byzantine agents, the time complexity and the amount of global knowledge to solve f -Byzantine gathering?	Byzantine Gathering in Polynomial Time
TCS-4012	How many passes are required to obtain a 2/3-approximation?	A Simple Augmentation Method for Matchings with Applications to Streaming Algorithms
TCS-4033	Ω(n) is a clear lower bound on the number of states required for any protocol computing the exact population size, since log n bits are […]	Brief Announcement: Exact Size Counting in Uniform Population Protocols in Nearly Logarithmic Time
TCS-4034	We do not have a lower bound demonstrating that this particular trade-off is necessary, so the exact complexity of simulating allocate-on-update in the simpler allocate-on-access […]	Allocate-On-Use Space Complexity of Shared-Memory Algorithms
TCS-4045	As we saw, this implies A[j] = j − 1, but in that case we cannot just subtract (pj − qi )ωj : We do […]	Collective Fast Delivery by Energy-Efficient Agents
TCS-4059	Another open question concerns the role of leaders in a dynamic network: does the existence of a leader could be useful for achieving or improving […]	The Firing Squad Problem Revisited
TCS-4095	We conjecture that similar negative results hold for convergence for leaderless population protocols.	Hardness of Computing and Approximating Predicates and Functions with Leaderless Population Protocols
TCS-4099	It remains open to find a pseudo-deterministic NC algorithm for perfect matching in general (non-bipartite) graphs.	Bipartite Perfect Matching in Pseudo-Deterministic NC
TCS-4102	1 The problem of communication lower bounds for general functions under the cash-register model remains open.	Distributed Query Monitoring through Convex Analysis: Towards Composable Safe Zones
TCS-4118	Finding tight bounds for the evacuation time in the face-to-face model remains an open problem.	Evacuating an Equilateral Triangle in the Face-to-Face Model
TCS-4119	How many agents are needed and what would be the speedup?	Treasure Hunt with Barely Communicating Agents
TCS-4120	To clarify the matching lower and upper bounds of the number of states is an open problem.	Constant-Space Population Protocols for Uniform Bipartition
TCS-4121	First, can we get efficient distributed algorithms for TAP with an approximation ratio better than 2?	Fast Distributed Approximation for TAP and 2-Edge-Connectivity
TCS-4141	We do not know whether the factor 2 is tight for the ASTRAL algorithm - we conjecture that ASTRAL can actually achieve a better approximation […]	On the Weighted Quartet Consensus Problem
TCS-4143	We do not know whether there exists a distributed language admitting error-sensitive proof-labeling schemes, but such that all error-sensitive proof-labeling schemes for that language use […]	Error-Sensitive Proof-Labeling Schemes
TCS-4145	We do not know whether there exists a stretch-3 name-independent routing scheme, with tables of size O( e √n) bits, that can be verified using […]	Certification of Compact Low-Stretch Routing Schemes
TCS-4193	First, can the MIS lower bounds in the Local model shown by Kuhn et al. [15] be extended to 2-ruling sets?	Symmetry Breaking in the Congest Model: Time- and Message-Efficient Algorithms for Ruling Sets
TCS-4230	Is there a more general definition than the existence of an inhibitory protocol?	Asynchronous Message Orderings Beyond Causality
TCS-4231	What is the complexity of general subgraph detection?	Deterministic Subgraph Detection in Broadcast CONGEST
TCS-4247	The first is to understand whether better performance is possible for approximate one-round walks in weighted symmetric load balancing games (we conjecture this is not […]	On the Impact of Singleton Strategies in Congestion Games
TCS-4255	It is an open problem to develop Monte Carlo algorithms for Arbitrary and Common PRAMs for the case when the amount of shared memory is […]	Anonymous  Processors with Synchronous Shared Memory:  Monte Carlo Algorithms
TCS-4271	Do these complexities capture all possibilities, when natural global graph problems are concerned?	Quadratic and Near-Quadratic Lower Bounds for the CONGEST Model
TCS-4274	In our view, the main open question raised by our work is the following: is there a 2-connected graph H such that H-freeness can be […]	Lower Bounds for Subgraph Detection in the CONGEST Model
TCS-4290	We leave open the problem of determining whether one can get an improved approximation ratio when the parameter m is “small”.	Distributed Signaling Games
TCS-4299	It is unknown whether the capacity for collision detection improves deterministic broadcast time, as it does for randomized algorithms [12].	Faster Deterministic Communication in Radio Networks
TCS-4342	Several interesting problems in the setting remain open, the most interesting one being to give tight upper and lower bounds in the case n = […]	Search on a Line by Byzantine Robots
TCS-4346	We conjecture that the claim of Theorem 5 is also true for f = 2 and 3f + 1 ≤ n < (d + 1)f […]	Relaxed Byzantine Vector Consensus
TCS-4404	In particular, is there a cylindrical grid minor of size Ω(h)?	Constant Congestion Routing of Symmetric Demands in Planar Directed Graphs
TCS-4437	Therefore, if a party has input 0, the differentially-private output would be completely useless for this party, while there could be additional leakage from the […]	Do Distributed Differentially-Private Protocols Require Oblivious Transfer?
TCS-4454	Specifically, we conjecture that there exist Dp ∈ [1, ∞) such that for every finite metric space (X, dX ) we have p cPp (R3 […]	Impossibility of Sketching of the 3D Transportation Metric with Quadratic Cost
TCS-4518	It is unknown if handling anonymity in G(1-IC) requires this exponential cost.	Non Trivial Computations in Anonymous Dynamic Networks
TCS-4546	What kind of functors may we apply to general tasks?	The Relative Power of Composite Loop Agreement Tasks
TCS-4547	Indeed, when facing a problem the guiding question should be: what is the weakest assumption that makes the problem solvable?	Time to Change: On Distributed Computing in Dynamic Networks (Keynote)
TCS-4562	We leave as an open problem whether a similar approach can be applied to our algorithm, which produces a bicriteria solution with between k and […]	Clustering on Sliding Windows in Polylogarithmic Space
TCS-4570	This raises an interesting question for future work: can we efficiently implement mutable priorities in the more scalable skip list-based priority queues without compromising on […]	A Heap-Based Concurrent Priority Queue with Mutable Priorities for Faster Parallel Algorithms
TCS-4606	Although it seems that such restrictions can be relaxed to encompass a small amount of recomputation or input replication, it is an open question to […]	Communication Lower Bounds for Distributed-Memory Computations
TCS-4763	Parallel (1+e)-Approximate Multi-Commodity Min-Cost Flow in Almost Optimal Depth and Work — Open Problem 1	Parallel (1+e)-Approximate Multi-Commodity Min-Cost Flow in Almost Optimal Depth and Work
TCS-4989	Robust Streaming Against Low-Memory Adversaries — Question 34	Robust Streaming Against Low-Memory Adversaries
TCS-5105	A Polynomial Space Lower Bound for Diameter Estimation in Dynamic Streams — Explicit open question on PDF page 2	A Polynomial Space Lower Bound for Diameter Estimation in Dynamic Streams
TCS-5233	Maximum Coverage in Random-Arrival Streams — Explicit open question on PDF page 5	Maximum Coverage in Random-Arrival Streams
TCS-5234	Distributed Subgraph Finding: Progress and Challenges (Invited Talk) — Open Problem 4.1	Distributed Subgraph Finding: Progress and Challenges (Invited Talk)
TCS-5262	Dynamic and Streaming Algorithms for Union Volume Estimation — Explicit open question on PDF page 6	Dynamic and Streaming Algorithms for Union Volume Estimation
TCS-5296	Distributed Sketching Lower Bounds for k-Edge Connected Spanning Subgraphs, BFS Trees, and LCL Problems — Open Problem 1	Distributed Sketching Lower Bounds for k-Edge Connected Spanning Subgraphs, BFS Trees, and LCL Problems
TCS-5323	A Coinductive Representation of Computable Functions — Unresolved-question passage on page 14	A Coinductive Representation of Computable Functions
TCS-5346	Depth First Search in the Semi-streaming Model — Explicit open question on PDF page 1	Depth First Search in the Semi-streaming Model
TCS-5372	Towards Optimal Approximate Streaming Pattern Matching by Matching Multiple Patterns in Multiple Streams — Explicit open question on PDF page 7	Towards Optimal Approximate Streaming Pattern Matching by Matching Multiple Patterns in Multiple Streams
TCS-5378	Fully Scalable MPC Algorithms for WSPD in Doubling and Euclidean Spaces — Explicit open question on PDF page 4	Fully Scalable MPC Algorithms for WSPD in Doubling and Euclidean Spaces
TCS-5393	Parallel Algorithms for Group Isomorphism via Code Equivalence — Explicit open question on PDF page 7	Parallel Algorithms for Group Isomorphism via Code Equivalence
TCS-5402	Permutation Patterns in Streams — Unresolved-question passage on page 18	Permutation Patterns in Streams
TCS-5425	Parallel and Distributed Algorithms for the Housing Allocation Problem — Explicit open question on PDF page 8	Parallel and Distributed Algorithms for the Housing Allocation Problem
TCS-5427	New Characterizations in Turnstile Streams with Applications — Explicit open question on PDF page 2	New Characterizations in Turnstile Streams with Applications
TCS-5428	The GaussianSketch for Almost Relative Error Kernel Distance — Explicit open question on PDF page 5	The GaussianSketch for Almost Relative Error Kernel Distance
TCS-5449	When to Give up on a Parallel Implementation — Explicit open question on PDF page 2	When to Give up on a Parallel Implementation
TCS-5470	On the h-Majority Dynamics with Many Opinions — Explicit open question on PDF page 10	On the h-Majority Dynamics with Many Opinions
TCS-5471	Beeping Deterministic CONGEST Algorithms in Graphs — Explicit open question on PDF page 2	Beeping Deterministic CONGEST Algorithms in Graphs
TCS-5472	Parameterized Spanning Tree Congestion — Explicit open question on PDF page 16	Parameterized Spanning Tree Congestion
TCS-5473	Distributed Computation with Local Advice — Explicit open question on PDF page 7	Distributed Computation with Local Advice
TCS-5503	Stabilizing Consensus Is Impossible in Lossy Iterated Immediate Snapshot Models — Explicit open question on PDF page 2	Stabilizing Consensus Is Impossible in Lossy Iterated Immediate Snapshot Models
TCS-5504	Near-Linear Time Dispersion of Mobile Agents — Explicit open question on PDF page 4	Near-Linear Time Dispersion of Mobile Agents
TCS-5512	Towards a Decomposition-Optimal Algorithm for Counting and Sampling Arbitrary Motifs in Sublinear Time — Explicit open question on PDF page 7	Towards a Decomposition-Optimal Algorithm for Counting and Sampling Arbitrary Motifs in Sublinear Time
TCS-5530	Optimal Bounds for Dominating Set in Graph Streams — Unresolved-question passage on page 19	Optimal Bounds for Dominating Set in Graph Streams
TCS-5537	Sublinear-Round Parallel Matroid Intersection — Explicit open question on PDF page 7	Sublinear-Round Parallel Matroid Intersection
TCS-5543	Byzantine Consensus in Abstract MAC Layer — Explicit open question on PDF page 4	Byzantine Consensus in Abstract MAC Layer
TCS-5566	Towards Tighter Space Bounds for Counting Triangles and Other Substructures in Graph Streams — Unresolved-question passage on page 13	Towards Tighter Space Bounds for Counting Triangles and Other Substructures in Graph Streams
TCS-5576	Exponential Speedup over Locality in MPC with Optimal Memory — Explicit open question on PDF page 6	Exponential Speedup over Locality in MPC with Optimal Memory
TCS-5577	Distributed Randomness from Approximate Agreement — Explicit open question on PDF page 3	Distributed Randomness from Approximate Agreement
TCS-5578	Make Every Word Count: Adaptive Byzantine Agreement with Fewer Words — Unresolved-question passage on page 13	Make Every Word Count: Adaptive Byzantine Agreement with Fewer Words
TCS-5591	Explicit Space-Time Tradeoffs for Proof Labeling Schemes in Graphs with Small Separators — Explicit open question on PDF page 4	Explicit Space-Time Tradeoffs for Proof Labeling Schemes in Graphs with Small Separators
TCS-5604	Brief Announcement: How to Trust Strangers - Composition of Byzantine Quorum Systems — Explicit open question on PDF page 1	Brief Announcement: How to Trust Strangers - Composition of Byzantine Quorum Systems
TCS-5605	Lower Bounds for Induced Cycle Detection in Distributed Computing — Explicit open question on PDF page 4	Lower Bounds for Induced Cycle Detection in Distributed Computing
TCS-5624	Sketching, Moment Estimation, and the Lévy-Khintchine Representation Theorem — Conjecture 30	Sketching, Moment Estimation, and the Lévy-Khintchine Representation Theorem
TCS-5670	The Singular Optimality of Distributed Computation in LOCAL — Unresolved-question passage on page 14	The Singular Optimality of Distributed Computation in LOCAL
TCS-5671	Decentralized Distributed Graph Coloring II: Degree+1-Coloring Virtual Graphs — Unresolved-question passage on page 16	Decentralized Distributed Graph Coloring II: Degree+1-Coloring Virtual Graphs
TCS-5672	Space-Optimal Naming in Population Protocols — Explicit open question on PDF page 4	Space-Optimal Naming in Population Protocols
TCS-5673	Crash-Tolerant Perpetual Exploration with Myopic Luminous Robots on Rings — Unresolved-question passage on page 15	Crash-Tolerant Perpetual Exploration with Myopic Luminous Robots on Rings
TCS-5699	Broadcast and Minimum Spanning Tree with o(m) Messages in the Asynchronous CONGEST Model — Explicit open question on PDF page 9	Broadcast and Minimum Spanning Tree with o(m) Messages in the Asynchronous CONGEST Model
TCS-5700	Local Recurrent Problems in the SUPPORTED Model — Unresolved-question passage on page 17	Local Recurrent Problems in the SUPPORTED Model
TCS-5721	Stochastic Streams: Sample Complexity vs. Space Complexity — Unresolved-question passage on page 13	Stochastic Streams: Sample Complexity vs. Space Complexity
TCS-5727	Dynamic Size Counting in Population Protocols — Unresolved-question passage on page 15	Dynamic Size Counting in Population Protocols
TCS-5762	Massively Parallel Correlation Clustering in Bounded Arboricity Graphs — Unresolved-question passage on page 16	Massively Parallel Correlation Clustering in Bounded Arboricity Graphs
TCS-5763	Moving Participants Turtle Consensus — Explicit open question on PDF page 2	Moving Participants Turtle Consensus
TCS-5764	Distributed Signaling Games — Unresolved-question passage on page 15	Distributed Signaling Games
TCS-5795	Streaming Complexity of Spanning Tree Computation — Explicit open question on PDF page 1	Streaming Complexity of Spanning Tree Computation
TCS-5796	Top-k Frequent Patterns in Streams and Parameterized-Space LZ Compression — Explicit open question on PDF page 8	Top-k Frequent Patterns in Streams and Parameterized-Space LZ Compression
TCS-5803	Message Complexity of Population Protocols — Unresolved-question passage on page 16	Message Complexity of Population Protocols
TCS-5836	Parallel Joinable B-Trees in the Fork-Join I/O Model — Explicit open question on PDF page 1	Parallel Joinable B-Trees in the Fork-Join I/O Model
TCS-5855	A Wealth of Sub-Consensus Deterministic Objects — Explicit open question on PDF page 15	A Wealth of Sub-Consensus Deterministic Objects
TCS-5856	Distributed Set Cover Approximation: Primal-Dual with Optimal Locality — Explicit open question on PDF page 3	Distributed Set Cover Approximation: Primal-Dual with Optimal Locality
TCS-5893	Finding Monotone Patterns in Sublinear Time, Adaptively — Explicit open question on PDF page 12	Finding Monotone Patterns in Sublinear Time, Adaptively
TCS-5900	On the Weighted Quartet Consensus Problem — Unresolved-question passage on page 12	On the Weighted Quartet Consensus Problem
TCS-5937	Fast Distributed Approximation for TAP and 2-Edge-Connectivity — Unresolved-question passage on page 15	Fast Distributed Approximation for TAP and 2-Edge-Connectivity
TCS-5938	Constant-Space Population Protocols for Uniform Bipartition — Unresolved-question passage on page 15	Constant-Space Population Protocols for Uniform Bipartition
TCS-5939	A Time and Space Optimal Stable Population Protocol Solving Exact Majority — Unresolved-question passage on page 11	A Time and Space Optimal Stable Population Protocol Solving Exact Majority
TCS-6010	Streaming Coreset Constructions for M-Estimators — Explicit open question on PDF page 3	Streaming Coreset Constructions for M-Estimators
TCS-6022	Sampling Arborescences in Parallel — Unresolved-question passage on page 17	Sampling Arborescences in Parallel
TCS-6045	Near-Linear Algorithms for Visibility Graphs over a 1.5-Dimensional Terrain — Explicit open question on PDF page 2	Near-Linear Algorithms for Visibility Graphs over a 1.5-Dimensional Terrain
TCS-6046	Characterizing Asynchronous Message-Passing Models Through Rounds — Unresolved-question passage on page 16	Characterizing Asynchronous Message-Passing Models Through Rounds
TCS-6079	Distributed Shuffling in Adversarial Environments — Explicit open question on PDF page 3	Distributed Shuffling in Adversarial Environments
TCS-6080	Quadratic and Near-Quadratic Lower Bounds for the CONGEST Model — Unresolved-question passage on page 12	Quadratic and Near-Quadratic Lower Bounds for the CONGEST Model
TCS-6081	Silent Programmable Matter: Coating — Explicit open question on PDF page 6	Silent Programmable Matter: Coating
TCS-6100	Efficient Algorithms for the Bottleneck Path Problem in Geometric Graphs — Explicit open question on PDF page 2	Efficient Algorithms for the Bottleneck Path Problem in Geometric Graphs
TCS-6121	Impossibility of Sketching of the 3D Transportation Metric with Quadratic Cost — Unresolved-question passage on page 11	Impossibility of Sketching of the 3D Transportation Metric with Quadratic Cost
TCS-6124	Shared Randomness Helps with Local Distributed Problems — Explicit open question on PDF page 5	Shared Randomness Helps with Local Distributed Problems
TCS-6125	Locally Checkable Labelings with Small Messages — Explicit open question on PDF page 4	Locally Checkable Labelings with Small Messages
TCS-6126	BFS and Reverse Shortest Paths for Ball Intersection Graphs in Three and Higher Dimensions — Explicit open question on PDF page 3	BFS and Reverse Shortest Paths for Ball Intersection Graphs in Three and Higher Dimensions
TCS-6146	BFT Consensus: From Academic Paper to Mainnet (Invited Talk) — Explicit open question on PDF page 1	BFT Consensus: From Academic Paper to Mainnet (Invited Talk)
TCS-6173	A Local-To-Global Theorem for Congested Shortest Paths — Explicit open question on PDF page 5	A Local-To-Global Theorem for Congested Shortest Paths
TCS-6174	One Step Forward, One Step Back: FLP-Style Proofs and the Round-Reduction Technique for Colorless Tasks — Unresolved-question passage on page 16	One Step Forward, One Step Back: FLP-Style Proofs and the Round-Reduction Technique for Colorless Tasks
TCS-6205	Efficient Black-Box Reductions for Separable Cost Sharing — Explicit open question on PDF page 4	Efficient Black-Box Reductions for Separable Cost Sharing
TCS-6206	Detecting Cliques in CONGEST Networks — Explicit open question on PDF page 4	Detecting Cliques in CONGEST Networks
TCS-6207	Memoryless Worker-Task Assignment with Polylogarithmic Switching Cost — Explicit open question on PDF page 5	Memoryless Worker-Task Assignment with Polylogarithmic Switching Cost
TCS-6215	Forming Large Patterns with Local Robots in the OBLOT Model — Explicit open question on PDF page 2	Forming Large Patterns with Local Robots in the OBLOT Model
TCS-6227	Singularly Near Optimal Leader Election in Asynchronous Networks — Explicit open question on PDF page 7	Singularly Near Optimal Leader Election in Asynchronous Networks
TCS-6241	Set-Consensus Collections are Decidable — Explicit open question on PDF page 3	Set-Consensus Collections are Decidable
TCS-6242	A Relaxation of the Directed Disjoint Paths Problem: A Global Congestion Metric Helps — Explicit open question on PDF page 2	A Relaxation of the Directed Disjoint Paths Problem: A Global Congestion Metric Helps
TCS-6262	On the Streaming Complexity of Expander Decomposition — Explicit open question on PDF page 4	On the Streaming Complexity of Expander Decomposition
TCS-6287	Global and Local Information in Clustering Labeled Block Models — Explicit open question on PDF page 5	Global and Local Information in Clustering Labeled Block Models
TCS-6297	Kernelizing the Hitting Set Problem in Linear Sequential and Constant Parallel Time — Unresolved-question passage on page 14	Kernelizing the Hitting Set Problem in Linear Sequential and Constant Parallel Time
TCS-6307	Byzantine Gathering in Polynomial Time — Unresolved-question passage on page 11	Byzantine Gathering in Polynomial Time
TCS-6324	Hardness of Computing and Approximating Predicates and Functions with Leaderless Population Protocols — Unresolved-question passage on page 12	Hardness of Computing and Approximating Predicates and Functions with Leaderless Population Protocols
TCS-6362	Round-Competitive Algorithms for Uncertainty Problems with Parallel Queries — Unresolved-question passage on page 11	Round-Competitive Algorithms for Uncertainty Problems with Parallel Queries
TCS-6380	A Simple Parallel Algorithm for Natural Joins on Binary Relations — Explicit open question on PDF page 3	A Simple Parallel Algorithm for Natural Joins on Binary Relations
TCS-6424	Fast Coloring Despite Congested Relays — Explicit open question on PDF page 3	Fast Coloring Despite Congested Relays
TCS-6487	Spectral Guarantees for Adversarial Streaming PCA — Unresolved-question passage on page 3	Spectral Guarantees for Adversarial Streaming PCA
