category_number,category,key,title,question_cs,importance_cs,sources,near_existing,novelty_note_cs
9,"Semantics, logic and verification",positivity,Decidability of Positivity for linear recurrences,"Lze u libovolné celočíselné lineární rekurentní posloupnosti rozhodnout, zda jsou všechny členy nezáporné?",Základní rozhodovací problém pro lineární dynamiku a bezpečnost programů s numerickým stavem.,https://people.mpi-sws.org/~joel/publications/skolem_and_positivity_survey26.pdf,"TCS-0637, TCS-5773",Universal Positivity Sets nejsou obecná rozhodnutelnost Positivity; Skolem se ptá na nulový člen. Ultimate Positivity nepřidáváme zvlášť jen kvůli počtu.
9,"Semantics, logic and verification",continuous-skolem,Unbounded Continuous Skolem Problem,"Lze pro racionální A,b,c rozhodnout, zda cᵀ exp(At)b=0 pro nějaké reálné t≥0?","Ústřední otázka dosažitelnosti u spojitých lineárních systémů, tedy přímý základ jejich verifikace.",https://people.mpi-sws.org/~joel/publications/skolem_and_positivity_survey26.pdf,"TCS-1151, TCS-5722, TCS-5773",Existující výňatky se týkají omezeného časového intervalu či diskrétní posloupnosti. Zde je čas spojitý a interval neomezený.
9,"Semantics, logic and verification",ssg,Simple stochastic games in polynomial time,"Lze v polynomiálním čase rozhodnout, zda optimální pravděpodobnost dosažení cíle v jednoduché stochastické hře překračuje zadaný racionální práh?",Kanonická hranice efektivní syntézy při kombinaci protivníka a náhody.,https://drops.dagstuhl.de/storage/00lipics/lipics-vol366-fun2026/html/LIPIcs.FUN.2026.19/LIPIcs.FUN.2026.19.html,TCS-4140,Konkrétní redukce či omezené třídy arén nejsou obecná polynomiální řešitelnost.
9,"Semantics, logic and verification",mean-payoff,Mean-payoff games in polynomial time,Lze vítěze celočíselně vážené dvouhráčové mean-payoff hry určit v čase polynomiálním v bitové délce vstupu?,Základní otázka kvantitativní verifikace a dlouhodobého řízení; pseudopolynomiální algoritmus ji neřeší.,https://arxiv.org/abs/2607.23754 | https://doi.org/10.1007/BFb0030814,"TCS-3519, TCS-4245",TCS-3519 řeší hierarchii kombinovaných cílů a TCS-4245 parity games. Tyto problémy nejsou známé jako ekvivalentní v požadované složitosti.
9,"Semantics, logic and verification",semisimplicial,Internal semisimplicial types in ordinary HoTT,"Lze v běžné homotopy type theory interně definovat typ semisimpliciálních typů všech dimenzí, s nekonečnou koherencí a bez přidání druhé vrstvy striktní rovnosti?",Základní překážka interního popisu vyšších kategorií a rozsáhlé formalizace homotopické matematiky.,https://nicolaikraus.github.io/docs/on_semisimplicial_types.pdf | https://www.cambridge.org/core/journals/mathematical-structures-in-computer-science/article/twolevel-type-theory-and-applications/4914DB4F8E8305DFC68F9CDCA9D0C8D0,,Pevné konečné dimenze a řešení v two-level type theory neřeší formulaci uvnitř původní teorie.
9,"Semantics, logic and verification",scott-lambda,Scott-continuous model with exactly λβ equational theory,"Existuje model netypovaného lambda kalkulu ve Scottově spojité sémantice, jehož rovnost termů je přesně β-konvertibilita?",Klasická otázka úplnosti denotační sémantiky: zda význam může zachovat přesně syntaktickou rovnost základního modelu programování.,https://arxiv.org/abs/math/0701684 | https://cgi.cse.unsw.edu.au/~eptcs/paper.cgi?LSFA2012.8.pdf,,Syntaktická termová algebra není požadovaný Scott-continuous denotační model.
9,"Semantics, logic and verification",h10q,Hilbert’s tenth problem over the rationals,"Existuje algoritmus rozhodující, zda polynom s celočíselnými koeficienty v libovolném počtu proměnných má racionální řešení?",Jedna z hlavních otevřených hranic rozhodnutelnosti aritmetických teorií.,https://math.mit.edu/~poonen/papers/aws2003.pdf | https://math.mit.edu/~poonen/slides/sample_slides.pdf,,"Nerozhodnutelnost nad celými čísly, ani nad okruhy celých čísel číselných těles, neřeší racionální těleso. Zařazení: rozhodnutelnost v logice."
9,"Semantics, logic and verification",bgk,Barendregt–Geuvers–Klop conjecture,Je každý slabě normalizující pure type system také silně normalizující?,Klasická obecná otázka základů typových systémů: zda existence ukončující redukce pro každý typovatelný term vynucuje ukončení každé redukce.,https://tlca.di.unito.it/opltlca/problem9.pdf | https://drops.dagstuhl.de/storage/00lipics/lipics-vol269-types2022/LIPIcs.TYPES.2022.7/LIPIcs.TYPES.2022.7.pdf,TCS-0892,TCS-0892 žádá konkrétní formu důkazu normalizace typovaného lambda kalkulu; zde jde o obecnou implikaci pro celou rodinu PTS.
10,Optimization and numerics,poly-simplex,A polynomial-time pivot rule for the simplex method,"Existuje pivotovací pravidlo pro simplex, které každou racionální lineární úlohu vyřeší v počtu bitových operací polynomiálním v délce vstupu?",Základní nevysvětlená mezera mezi mimořádným praktickým úspěchem simplexové metody a její obecnou teorií.,https://arxiv.org/abs/2502.18019 | https://arxiv.org/abs/2507.16648,"TCS-0008, TCS-4088","Silně polynomiální LP je jiný cíl: zde je algoritmus omezen na simplex, ale může záviset na bitové délce čísel. Exponenciální příklady pro jednotlivá pravidla neřeší existenci vhodného pravidla."
10,Optimization and numerics,poly-hirsch,Polynomial Hirsch conjecture,Je průměr hranového grafu libovolného d-rozměrného polyedru s n fasetami omezen polynomem v n a d?,Základní strukturální překážka krátkých cest po přípustných bázích lineárního programování.,https://ti.inf.ethz.ch/ew/courses/Geo25/lecture/gca25-10.pdf,,"Původní lineární Hirschova mez byla vyvrácena; kandidátem je polynomiální mez, nikoli stará nepravdivá hypotéza."
10,Optimization and numerics,exact-sdp,Polynomial-time exact semidefinite feasibility,"Lze v Turingově modelu v polynomiálním čase rozhodnout, zda racionálně zadaný afinní podprostor obsahuje pozitivně semidefinitní matici?","Základní nevyjasněná výpočetní hranice semidefinitní optimalizace, včetně degenerovaných a slabě nepřípustných instancí.",https://epubs.siam.org/doi/full/10.1137/21M1434945,,Polynomiální slabá aproximace za regularitních předpokladů není přesná rozhodnutelnost feasibility.
10,Optimization and numerics,det-k-server,Deterministic k-server conjecture,Existuje pro každou metriku deterministický k-kompetitivní algoritmus pro problém k serverů?,Jedna z ústředních dlouhodobých hypotéz online optimalizace.,https://arxiv.org/abs/2211.05753,"TCS-4983, TCS-1634",TCS-4983 se ptá na randomizovaný o(k) poměr. Zde jde o optimální deterministický poměr k. Původní randomizovaná O(log k) hypotéza už je vyvrácena.
10,Optimization and numerics,body-chasing,Optimal competitive ratio for convex body chasing,Jaký je optimální deterministický kompetitivní poměr pro convex body chasing v d-rozměrném eukleidovském prostoru; lze uzavřít mezeru mezi Ω(√d) a O(d)?,Kanonický geometrický model online optimalizace s náklady na přesun.,https://theory.epfl.ch/WinterSchool2025/slides/2025/Gupta_lec4-chasing.pdf,,Pouhá existence poměru závislého jen na dimenzi už byla dokázána; kandidátem je jeho optimální řád.
10,Optimization and numerics,bco,Minimax dimension dependence in bandit convex optimization,Jaký je optimální minimax regret jako funkce dimenze d a horizontu T pro adversarial bandit convex optimization s jedním pozorováním hodnoty za kolo?,Určuje skutečnou cenu omezené zpětné vazby v základním modelu online konvexní optimalizace.,https://tor-lattimore.com/downloads/cvx-book/cvx.pdf | https://www.cambridge.org/core/books/abs/bandit-convex-optimisation/outlook/FAEE9479EE720E949F7CECDADCE307D5,TCS-0711,"Jde o celý minimax řád, nikoli doladění konkrétního algoritmu. Contextual-bandit model selection je odlišná otázka."
10,Optimization and numerics,smale7,Smale’s seventh problem,"Lze v polynomiálním čase v N sestrojit N bodů na sféře, jejichž logaritmická energie se liší od globálního minima nejvýše o C log N pro univerzální C?",Jeden ze Smaleových hlavních problémů: efektivní konstrukce téměř optimálních globálních konfigurací.,https://www.lebesgue.fr/sites/default/files/inline-files/Yakir.pdf,,"Jde o Smale 7, nikoli o Smale 17, který již byl vyřešen. Zařazení je na rozhraní numeriky a geometrie."
10,Optimization and numerics,crouzeix,Crouzeix’s conjecture,"Platí pro každou komplexní čtvercovou matici A a polynom p nerovnost ||p(A)||₂ ≤ 2 max{|p(z)|: z∈W(A)}, kde W(A) je numerický obor hodnot?",Základní otázka maticové funkcionální kalkuly s důsledky pro analýzu numerických maticových algoritmů.,https://ris.utwente.nl/ws/portalfiles/portal/171656886/17m1143757.pdf | https://www.sciencedirect.com/science/article/pii/S0024379523004585,,"Numerická lineární algebra, tedy výslovně přijatá numerics část kategorie."
10,Optimization and numerics,general-sparse-linear-systems,Nearly linear-time solution of general sparse linear systems,"Lze obecnou nesingulární soustavu Ax=b s n proměnnými a m nenulovými koeficienty řešit s relativním reziduem ||Ax-b||₂ ≤ ε||b||₂ v čase m·polylog(nκ/ε), kde κ je číslo podmíněnosti? Konkrétní cílový režim má racionální vstupy s O(log n) bity, κ ≤ poly(n) a ε = 1/poly(n); započítává se práce s konečnou přesností a výstupem je celý aproximující vektor.","Ústřední hranice algoritmické numerické lineární algebry, s dopadem na optimalizaci a vědecké výpočty. Téměř lineární řešiče speciálních tříd matic neposkytují takový algoritmus pro obecné řídké soustavy.",https://arxiv.org/abs/2007.10254 | https://arxiv.org/abs/2602.05394 | https://drops.dagstuhl.de/entities/document/10.4230/LIPIcs.ICALP.2022.53 | https://simons.berkeley.edu/workshops/linear-systems-eigenvalue-problems,"TCS-6120, TCS-0046","TCS-6120 po přečtení původní strany 6 řeší vliv vložitelnosti simpliciálního komplexu do R³ na rychlost řešiče; obecný problém se tím neduplikuje. TCS-0046 řeší tropické/min-plus soustavy, odlišnou algebru. Kontrolovány také oba předchozí návrhy. Překonání času násobení matic již vyřešili Peng a Vempala: není zde navrhováno jako otevřená otázka."
