FOCS-2021-001 | approx | A Better-than-2 Approximation for Weighted Tree Augmentation
FOCS-2023-107 | online | Online Ordinal Problems: Optimality of Comparison-Based Algorithms and Their Cardinal Complexity
FOCS-2023-108 | ds | Collapsing the Hierarchy of Compressed Data Structures: Suffix Arrays in Optimal Compressed Space
FOCS-2023-109 | graph | Canonical Decompositions of 3-Connected Graphs
FOCS-2023-110 | comb | Proof of the Clustered Hadwiger Conjecture
FOCS-2023-111 | geom | Slicing all Edges of an n-Cube Requires n^2/3 Hyperplanes
FOCS-2023-112 | graph | Directed Acyclic Outerplanar Graphs Have Constant Stack Number
FOCS-2023-113 | opt | Sparsifying Sums of Norms
FOCS-2023-114 | prg | Towards Derandomising Markov Chain Monte Carlo
FOCS-2023-115 | count | Uniqueness and Rapid Mixing in the Bipartite Hardcore Model (extended abstract)
FOCS-2023-116 | count | Sampling from the Potts model at low temperatures via Swendsen–Wang dynamics
FOCS-2023-117 | opt | Interior-Point Methods on Manifolds: Theory and Applications
FOCS-2023-118 | dp | ReSQueing Parallel and Private Stochastic Convex Optimization
FOCS-2023-119 | opt | The Bit Complexity of Efficient Continuous Optimization
FOCS-2023-120 | opt | Sparse Submodular Function Minimization
FOCS-2023-121 | alg | On Symmetric Factorizations of Hankel Matrices
FOCS-2023-122 | alg | Krylov Methods are (nearly) Optimal for Low-Rank Approximation
FOCS-2023-123 | learn | Matrix Completion in Almost-Verification Time
FOCS-2023-124 | alg | Faster Matrix Multiplication via Asymmetric Hashing
FOCS-2023-125 | opt | Query Lower Bounds for log-Concave Sampling
FOCS-2023-126 | avg | Algorithmic Decorrelation and Planted Clique in Dependent Random Graphs: The Case of Extra Triangles
FOCS-2023-127 | test | The Full Landscape of Robust Mean Testing: Sharp Separations Between Oblivious and Adaptive Contamination
FOCS-2023-128 | opt | Faster High-Accuracy log-Concave Sampling via Algorithmic Warm Starts
FOCS-2023-129 | ds | Optimal Algorithms for Bounded Weighted Edit Distance
FOCS-2023-130 | ds | Faster Algorithms for Text-to-Pattern Hamming Distances
FOCS-2023-131 | graph | All-Pairs Max-Flow is no Harder Than Single-Pair Max-Flow: Gomory-Hu Trees in Almost-Linear Time
FOCS-2023-132 | lattice | Why we Couldn't Prove SETH Hardness of the Closest Vector Problem for even Norms!
FOCS-2023-133 | approx | Covering Planar Metrics (and Beyond): O(1) Trees Suffice
FOCS-2023-134 | approx | Planar and Minor-Free Metrics Embed into Metrics of Polylogarithmic Treewidth with Expected Multiplicative Distortion Arbitrarily Close to 1
FOCS-2023-135 | ds | Path-Reporting Distance Oracles with Logarithmic Stretch and Size O(n log log n)
FOCS-2023-136 | dyn | Deterministic Fully Dynamic SSSP and More
FOCS-2023-137 | dist | Local Computation Algorithms for Maximum Matching: New Lower Bounds
FOCS-2023-138 | dist | Secure Computation Meets Distributed Universal Optimality
FOCS-2023-139 | avg | Distribution of the Threshold for the Symmetric Perceptron
FOCS-2023-140 | learn | Properly Learning Decision Trees with Queries is NP-Hard
FOCS-2023-141 | learn | Beyond Moments: Robustly Learning Affine Transformations with Asymptotically Optimal Error
FOCS-2023-142 | learn | Stability and Replicability in Learning
FOCS-2024-001 | graph | Cycles of Well-Linked Sets and an Elementary Bound for the Directed Grid Theorem
FOCS-2024-002 | verify | First-Order Model Checking on Monadically Stable Graph Classes
FOCS-2024-003 | graph | Obstructions to Erdőos-Pósa Dualities for Minors
FOCS-2024-004 | graph | Minor Containment and Disjoint Paths in Almost-Linear Time
FOCS-2024-005 | graph | Computing the 3-Edge-Connected Components of Directed Graphs in Linear Time
FOCS-2024-006 | graph | Three-Edge-Coloring Projective Planar Cubic Graphs: A Generalization of the Four Color Theorem
FOCS-2024-007 | ds | O(1) Insertion for Random Walk d-ary Cuckoo Hashing up to the Load Threshold
FOCS-2024-008 | count | Fast Mixing in Sparse Random Ising Models
FOCS-2024-009 | count | A Sampling Lovász Local Lemma for Large Domain Sizes
FOCS-2024-010 | count | Sampling, Counting, and Large Deviations for Triangle-free Graphs Near the Critical Density
FOCS-2024-011 | comp | Computational Dynamical Systems
FOCS-2024-012 | count | Locally Stationary Distributions: A Framework for Analyzing Slow-Mixing Markov Chains
FOCS-2024-013 | approx | Fully Dynamic k-Clustering with Fast Update Time and Small Recourse
FOCS-2024-014 | dyn | On Approximate Fully-Dynamic Matching and Online Matrix-Vector Multiplication
FOCS-2024-015 | online | Predict to Minimize Swap Regret for All Payoff-Bounded Tasks
FOCS-2024-016 | approx | A Lossless Deamortization for Dynamic Greedy Set Cover
FOCS-2024-017 | online | The Online Submodular Assignment Problem
FOCS-2024-018 | dyn | Fully Dynamic Matching and Ordered Ruzsa-Szemerédi Graphs
FOCS-2024-019 | code | Fast List Decoding of Univariate Multiplicity and Folded Reed-Solomon Codes
FOCS-2024-020 | q | Decoding Quasi-Cyclic Quantum LDPC Codes
FOCS-2024-021 | comp | Optimal Coding for Randomized Kolmogorov Complexity and Its Applications
FOCS-2024-022 | q | Expansion of High-Dimensional Cubical Complexes with Application to Quantum Locally Testable Codes
FOCS-2024-023 | game | Communication Separations for Truthful Auctions: Breaking the Two-Player Barrier
FOCS-2024-024 | cx | On Pigeonhole Principles and Ramsey in TFNP
FOCS-2024-025 | comm | An XOR Lemma for Deterministic Communication Complexity
FOCS-2024-026 | comm | The Communication Complexity of Approximating Matrix Rank
FOCS-2024-027 | q | Efficient Approximate Unitary Designs from Random Pauli Rotations
FOCS-2024-028 | q | Efficient Unitary Designs from Random Sums and Permutations
FOCS-2024-029 | q | Simple Constructions of Linear-Depth t-Designs and Pseudorandom Unitaries
FOCS-2024-030 | q | Gapped Clique Homology on Weighted Graphs is QMA1-Hard and Contained in QMA
FOCS-2024-031 | proof | Reverse Mathematics of Complexity Lower Bounds
FOCS-2024-032 | proof | Interactive Proofs for General Distribution Properties
FOCS-2024-033 | alg | Trading Determinism for Noncommutativity in Edmonds' Problem
FOCS-2024-034 | csp | \Pi_2^P vs PSpace Dichotomy for the Quantified Constraint Satisfaction Problem
FOCS-2024-035 | proof | Jump Operators, Interactive Proofs and Proof Complexity Generators
FOCS-2024-036 | ds | Optimal Bounds for Open Addressing Without Reordering
FOCS-2024-037 | ds | Tight Analyses of Ordered and Unordered Linear Probing
FOCS-2024-038 | ds | Tight Bounds for Classical Open Addressing
FOCS-2024-039 | general | Instance-Optimality in I/O-Efficient Sampling and Sequential Estimation
FOCS-2024-040 | general | An Optimal Algorithm for Sorting Pattern-Avoiding Sequences
FOCS-2024-041 | opt | Deterministic Algorithm and Faster Algorithm for Submodular Maximization Subject to a Matroid Constraint
FOCS-2024-042 | approx | On Approximating Cutwidth and Pathwidth
FOCS-2024-043 | approx | The Bidirected Cut Relaxation for Steiner Tree has Integrality Gap Smaller than 2
FOCS-2024-044 | approx | Efficient Approximation of Fractional Hypertree Width
FOCS-2024-045 | alg | Canonical Forms for Matrix Tuples in Polynomial Time
FOCS-2024-046 | proof | Polynomial Calculus Sizes Over the Boolean and Fourier Bases are Incomparable
FOCS-2024-047 | prg | A Dense Model Theorem for the Boolean Slice
FOCS-2024-048 | proof | Dot-Product Proofs and Their Applications
FOCS-2024-049 | proof | Low Acceptance Agreement Tests via Bounded-Degree Symplectic HDXs
FOCS-2024-050 | proof | Constant Degree Direct Product Testers with Small Soundness
FOCS-2024-051 | comb | Chernoff Bounds and Reverse Hypercontractivity on HDX
FOCS-2024-052 | csp | Approximation Algorithms for Noncommutative CSPs
FOCS-2024-053 | learn | Certifying Euclidean Sections and Finding Planted Sparse Vectors Beyond the Sqrt(n) Dimension Threshold
FOCS-2024-054 | proof | Sum-of-Squares Lower Bounds for Non-Gaussian Component Analysis
FOCS-2024-055 | avg | Semirandom Planted Clique and the Restricted Isometry Property
FOCS-2024-056 | learn | Efficient Certificates of Anti-Concentration Beyond Gaussians
FOCS-2024-057 | learn | Efficient Statistics With Unknown Truncation, Polynomial Time Algorithms, Beyond Gaussians
FOCS-2024-058 | learn | Tensor Cumulants for Statistical Inference on Invariant Distributions
FOCS-2024-059 | q | High-Temperature Gibbs States are Unentangled and Efficiently Preparable
FOCS-2024-060 | q | Structure Learning of Hamiltonians from Real-Time Evolution
FOCS-2024-061 | q | Quantum Eigenvalue Processing
FOCS-2024-062 | q | Quantum Computational Advantage with Constant-Temperature Gibbs Sampling
FOCS-2024-063 | q | Optimal Tradeoffs for Estimating Pauli Observables
FOCS-2024-064 | q | A Computational Test of Contextuality and Even Simpler Proofs of Quantumness
FOCS-2024-065 | avg | Capacity Threshold for the Ising Perceptron
FOCS-2024-066 | learn | Optimal Quantile Estimation: Beyond the Comparison Model
FOCS-2024-067 | crypto | Proofs of Space with Maximal Hardness
FOCS-2024-068 | crypto | Commitments are equivalent to Statistically-Verifiable One-way State Generators
FOCS-2024-069 | crypto | Succinct Arguments for QMA from Standard Assumptions via Compiled Nonlocal Games
FOCS-2024-070 | q | Certifying Almost all Quantum States with Few Single-Qubit Measurements
FOCS-2024-071 | crypto | How to Simulate Random Oracles with Auxiliary Input
FOCS-2024-072 | game | Online Combinatorial Allocations and Auctions with Few Samples
FOCS-2024-073 | game | Benchmark-Tight Approximation Ratio of Simple Mechanism for a Unit-Demand Buyer
FOCS-2024-074 | online | Semi-Bandit Learning for Monotone Stochastic Optimization
FOCS-2024-075 | game | On Robustness to k-Wise Independence of Optimal Bayesian Mechanisms
FOCS-2024-076 | game | Hardness of Approximate Sperner and Applications to Envy-Free Cake Cutting
FOCS-2024-077 | inf | The Tractability Border of Reachability in Simple Vector Addition Systems with States
FOCS-2024-078 | geom | Hardness of Packing, Covering and Partitioning Simple Polygons with Unit Squares
FOCS-2024-079 | fg | The Orthogonal Vectors Conjecture and Non-Uniform Circuit Lower Bounds
FOCS-2024-080 | cx | Strong vs. Weak Range Avoidance and the Linear Ordering Principle
FOCS-2024-081 | alg | Faster Isomorphism Testing of p-Groups of Frattini Class 2
FOCS-2024-082 | comb | Boosting Uniformity in Quasirandom Groups: Fast and Simple
FOCS-2024-083 | learn | The Sample Complexity of Smooth Boosting and the Tightness of the Hardcore Theorem
FOCS-2024-084 | prg | On the Existence of Seedless Condensers: Exploring the Terrain
FOCS-2024-085 | comb | Tight Bounds for the Zig-Zag Product
FOCS-2024-086 | prg | Distinguishing, Predicting, and Certifying: On the Long Reach of Partial Notions of Pseudorandomness
FOCS-2024-087 | prg | Improved Condensers for Chor-Goldreich Sources
FOCS-2024-088 | dyn | Improved Distance (Sensitivity) Oracles with Subquadratic Space
FOCS-2024-089 | count | Sparse Graph Counting and Kelley-Meka Bounds for Binary Systems
FOCS-2024-090 | geom | Towards Instance-Optimal Euclidean Spanners
FOCS-2024-091 | param | Sensitivity, Proximity and FPT Algorithms for Exact Matroid Problems
FOCS-2024-092 | avg | Computational Hardness of Detecting Graph Lifts and Certifying Lift-Monotone Properties of Random Regular Graphs
FOCS-2024-093 | graph | New Structures and Algorithms for Length-Constrained Expander Decompositions
FOCS-2024-094 | learn | Replicability in High Dimensional Statistics
FOCS-2024-095 | geom | Computing Approximate Centerpoints in Polynomial Time
FOCS-2024-096 | stream | Near-Optimal Size Linear Sketches for Hypergraph Cut Sparsifiers
FOCS-2024-097 | approx | Sensitivity Sampling for k-Means: Worst Case and Stability Optimal Coreset Bounds
FOCS-2024-098 | approx | Novel Properties of Hierarchical Probabilistic Partitions and Their Algorithmic Applications
FOCS-2024-099 | stream | Spectral Guarantees for Adversarial Streaming PCA
FOCS-2024-100 | code | A Stronger Bound for Linear 3-LCC
FOCS-2024-101 | code | Exponential Lower Bounds for Smooth 3-LCCs and Sharp Bounds for Designs
FOCS-2024-102 | code | Random Gabidulin Codes Achieve List Decoding Capacity in the Rank Metric
FOCS-2024-103 | code | Near-Tight Bounds for 3-Query Locally Correctable Binary Linear Codes via Rainbow Cycles
FOCS-2024-104 | proof | An Improved Line-Point Low-Degree Test
FOCS-2024-105 | learn | Fast Decision Tree Learning Solves Hard Coding-Theoretic Problems
FOCS-2024-106 | geom | Gaussian Approximation of Convex Sets by Intersections of Halfspaces
FOCS-2024-107 | learn | Agnostically Learning Multi-Index Models with Queries
FOCS-2024-108 | online | Exploration is Harder than Prediction: Cryptographically Separating Reinforcement Learning from Supervised Learning
FOCS-2024-109 | learn | Revisiting Agnostic PAC Learning
FOCS-2024-110 | dp | Ramsey Theorems for Trees and a General 'Private Learning Implies Online Learning' Theorem
FOCS-2024-111 | dyn | Almost-Linear Time Algorithms for Decremental Graphs: Min-Cost Flow and More via Duality
FOCS-2024-112 | dyn | Dynamic Deterministic Constant-Approximate Distance Oracles with n^{ε} Worst-Case Update Time
FOCS-2024-113 | ds | Lempel–Ziv (LZ77) Factorization in Sublinear Time
FOCS-2024-114 | graph | Maximum Flow by Augmenting Paths in n^{2+o(1)} Time
FOCS-2024-115 | dyn | Near-Optimal (1 + ε)-Approximate Fully-Dynamic All-Pairs Shortest Paths in Planar Graphs
FOCS-2024-116 | graph | Universal Optimality of Dijkstra via Beyond-Worst-Case Heaps
FOCS-2024-117 | alg | Verifying Groups in Linear Time
FOCS-2024-118 | dist | Near-Optimal Deterministic Network Decomposition and Ruling Set, and Improved MIS
FOCS-2024-119 | alg | Power Series Composition in Near-Linear Time
FOCS-2024-120 | graph | Faster (\Delta + 1)-Edge Coloring: Breaking the m \sqrt{n} Time Barrier
FOCS-2024-121 | param | An Improved Pseudopolynomial Time Algorithm for Subset Sum
FOCS-2024-122 | general | Naively Sorting Evolving Data is Optimal and Robust
FOCS-2024-123 | general | Tight Bounds for Sorting Under Partial Information
FOCS-2024-124 | ds | Nearly Optimal List Labeling
FOCS-2024-125 | online | Stochastic Online Correlated Selection
FOCS-2024-126 | test | Directed Isoperimetry and Monotonicity Testing: A Dynamical Approach
FOCS-2024-127 | dp | Efficient and Near-Optimal Noise Generation for Streaming Differential Privacy
FOCS-2024-128 | stream | A Strong Separation for Adversarially Robust ℓ0 Estimation for Linear Sketches
FOCS-2024-129 | alg | The ESPRIT Algorithm Under High Noise: Optimal Error Scaling and Noisy Super-Resolution
FOCS-2024-130 | alg | Constant-Depth Arithmetic Circuits for Linear Algebra Problems
FOCS-2024-131 | opt | Gradient Descent for Unbounded Convex Functions on Hadamard Manifolds and its Applications to Scaling Problems
FOCS-2024-132 | cx | On the Complexity of Avoiding Heavy Elements
FOCS-2024-133 | opt | Gradient Descent is Pareto-Optimal in the Oracle Complexity and Memory Tradeoff for Feasibility Problems
FOCS-2025-001 | comb | A Dense Neighborhood Lemma: Applications of Partial Concept Classes to Domination and Chromatic Number
FOCS-2025-002 | q | A Distillation–Teleportation Protocol for Fault-Tolerant QRAM
FOCS-2025-003 | code | A k^{q/q-2} Lower Bound for Odd Query Locally Decodable Codes from Bipartite Kikuchi Graphs
FOCS-2025-004 | sched | A Little Clairvoyance Is All You Need
FOCS-2025-005 | stream | A Polynomial Space Lower Bound for Diameter Estimation in Dynamic Streams
FOCS-2025-006 | online | Adaptivity Gaps for Stochastic Probing with Subadditive Functions
FOCS-2025-007 | q | Adversarially Robust Quantum State Learning and Testing
FOCS-2025-008 | graph | Almost Tight Additive Guarantees for k-Edge-Connectivity
FOCS-2025-009 | comb | An Improved Bound for the Beck-Fiala Conjecture
FOCS-2025-010 | approx | An Improved Greedy Approximation for (Metric) k-Means
FOCS-2025-011 | geom | Approximating High-Dimensional Earth Mover's Distance as Fast as Closest Pair
FOCS-2025-012 | sat | Asymptotically Optimal Inapproximability of Ek-SAT Reconfiguration
FOCS-2025-013 | stream | Average-Distortion Sketching
FOCS-2025-014 | game | Beyond Regularity: Simple Versus Optimal Mechanisms, Revisited
FOCS-2025-015 | code | Binary Codes for Computationally Bounded Errors Under Standard Crypto Assumptions
FOCS-2025-016 | cx | Bipartite Matching is in Catalytic Logspace
FOCS-2025-017 | approx | Breaking a Long-Standing Barrier: 2-ε Approximation for Steiner Forest
FOCS-2025-018 | game | Characterization of Priority-Neutral Matching Lattices
FOCS-2025-019 | cx | Collapsing Catalytic Classes
FOCS-2025-020 | graph | Combinatorial Maximum Flow via Weighted Push-Relabel on Shortcut Graphs
FOCS-2025-021 | alg | Complexity Theory of Orbit Closure Intersection for Tensors: Reductions, Completeness, and Graph Isomorphism Hardness
FOCS-2025-022 | avg | Computational-Statistical Tradeoffs from NP-Hardness
FOCS-2025-023 | geom | Computing the Polytope Diameter is Even Harder than NP-Hard (Already for Perfect Matchings)
FOCS-2025-024 | approx | Constant Approximation of Arboricity in Near-Optimal Sublinear Time
FOCS-2025-025 | code | Constant Rate Codes for Adaptive Broadcasts Do Not Exist
FOCS-2025-026 | crypto | Cryptography Meets Worst-Case Complexity: Optimal Security and More From iO and Worst-Case Assumptions
FOCS-2025-027 | graph | Cycle Factors of Regular Graphs via Entropy
FOCS-2025-028 | learn | Density Measures for Language Generation
FOCS-2025-029 | graph | Deterministic Almost-Linear-Time Gomory-Hu Trees
FOCS-2025-030 | count | Deterministic Counting from Coupling Independence
FOCS-2025-031 | alg | Deterministic Factorization of Constant-Depth Algebraic Circuits in Subexponential Time
FOCS-2025-032 | cx | Direct Product Theorems for Randomized Query Complexity
FOCS-2025-033 | approx | Distance Approximating Minors for Planar and Minor-Free Graphs
FOCS-2025-034 | dist | Distributed Triangle Detection is Hard in Few Rounds
FOCS-2025-035 | ds | Dynamic Dyck and Tree Edit Distance: Decompositions and Reductions to String Edit Distance
FOCS-2025-036 | dyn | Dynamic Treewidth in Logarithmic Time
FOCS-2025-037 | online | Edge-Weighted Matching in the Dark
FOCS-2025-038 | proof | Efficiently Batching Unambiguous Interactive Proofs
FOCS-2025-039 | ds | Embeddings into Similarity Measures for Nearest Neighbor Search
FOCS-2025-040 | comb | Explicit Lossless Vertex Expanders
FOCS-2025-041 | q | Exponential Improvements to the Average-Case Hardness of BosonSampling
FOCS-2025-042 | prg | Extractors for Samplable Distributions with Polynomially Small Min-Entropy
FOCS-2025-043 | comb | Factorization Norms and an Inverse Theorem for MaxCut
FOCS-2025-044 | graph | Fast Algorithms for Graph Arboricity and Related Problems
FOCS-2025-045 | learn | Faster Exact Learning of k-Term DNFs with Membership and Equivalence Queries
FOCS-2025-046 | opt | Faster Logconcave Sampling from a Cold Start in High Dimension
FOCS-2025-047 | count | Faster Mixing of the Jerrum-Sinclair Chain
FOCS-2025-048 | graph | Finding Colorings in One-Sided Expanders
FOCS-2025-049 | ds | Fingerprint Filters Are Optimal
FOCS-2025-050 | q | Gap-Preserving Reductions and RE-Completeness of Independent Set Games
FOCS-2025-051 | graph | Generalized Flow in Nearly-Linear Time on Moderately Dense Graphs
FOCS-2025-052 | crypto | Gödel in Cryptography: Effectively Zero-Knowledge Proofs for NP with No Interaction, No Setup, and Perfect Soundness
FOCS-2025-053 | q | Group Order is in QCMA
FOCS-2025-054 | approx | Handling LP-Rounding for Hierarchical Clustering and Fitting Distances by Ultrametrics
FOCS-2025-055 | online | High Dimensional Online Calibration in Polynomial Time
FOCS-2025-056 | cx | High-to-Low Dimensional PPA-Completeness: Borsuk-Ulam, Tucker, Consensus Halving, and Ham Sandwich
FOCS-2025-057 | learn | How Global Calibration Strengthens Multiaccuracy
FOCS-2025-058 | learn | Implicit High-Order Moment Tensor Estimation and Learning Latent Variable Models
FOCS-2025-059 | approx | Improved 2-Approximate Shortest Paths for Close Vertex Pairs
FOCS-2025-060 | code | Improved Lower Bounds for all Odd-Query Locally Decodable Codes
FOCS-2025-061 | proof | Improved Round-by-Round Soundness IOPs via Reed-Muller Codes
FOCS-2025-062 | code | Inapproximability of Finding Sparse Vectors in Codes, Subspaces, and Lattices
FOCS-2025-063 | q | Incompressibility and Spectral Gaps of Random Circuits
FOCS-2025-064 | csp | Ineffectiveness for Search and Undecidability of PCSP Meta-Problems
FOCS-2025-065 | test | Instance-Optimal Uniformity Testing and Tracking
FOCS-2025-066 | alg | Integer Multiplication is at Least as Hard as Matrix Transposition
FOCS-2025-067 | online | Integral Online Algorithms for Set Cover and Load Balancing with Convex Objectives
FOCS-2025-068 | fg | Kronecker Powers, Orthogonal Vectors, and the Asymptotic Spectrum
FOCS-2025-069 | learn | l2/l2 Sparse Recovery via Weighted Hypergraph Peeling
FOCS-2025-070 | q | Learning Quantum Gibbs States Locally and Efficiently
FOCS-2025-071 | code | List Decoding Expander-Based Codes up to Capacity in Near-Linear Time
FOCS-2025-072 | dist | Lower Bounds for Non-Adaptive Local Computation Algorithms
FOCS-2025-073 | code | Maximally Extendable Product Codes are Good Coboundary Expanders
FOCS-2025-074 | comm | More Efficient Sifting for Grid Norms, and Applications to Multiparty Communication Complexity
FOCS-2025-075 | stream | Multi-Pass Streaming Lower Bounds for Approximating Max-Cut
FOCS-2025-076 | q | Near-Asymptotically-Good Quantum Codes with Transversal CCZ Gates and Sublinear-Weight Parity-Checks
FOCS-2025-077 | online | Nearly Tight Regret Bounds for Profit Maximization in Bilateral Trade
FOCS-2025-078 | learn | Near-Optimal Algorithms for Omniprediction
FOCS-2025-079 | graph | Near-Optimal Fault-Tolerant Strong Connectivity Preservers
FOCS-2025-080 | test | Near-Optimal Property Testers for Pattern Matching
FOCS-2025-081 | cx | NP-Hardness of the Minimum Circuit Size Problem from Well-Studied Assumptions
FOCS-2025-082 | crypto | Obfuscation of Unitary Quantum Programs
FOCS-2025-083 | comb | On Inverse Theorems and Combinatorial Lines
FOCS-2025-084 | avg | On Optimal Distinguishers for Planted Clique
FOCS-2025-085 | crypto | On Succinct Obfuscation via Propositional Proofs
FOCS-2025-086 | crypto | On the Impossibility of SNARGs with Short CRS
FOCS-2025-087 | opt | On the Parallel Complexity of Finding a Matroid Basis
FOCS-2025-088 | online | Online Edge Coloring: Sharp Thresholds
FOCS-2025-089 | online | Optimal 4-Approximation for the Correlated Pandora's Problem
FOCS-2025-090 | opt | Optimal Smoothed Analysis of the Simplex Method
FOCS-2025-091 | count | Optimal Trickle-Down Theorems for Path Complexes via C-Lorentzian Polynomials with Applications to Sampling and Log-Concave Sequences
FOCS-2025-092 | alg | Overcomplete Tensor Decomposition via Koszul–Young Flattenings
FOCS-2025-093 | dist | Parallel (1+e)-Approximate Multi-Commodity Min-Cost Flow in Almost Optimal Depth and Work
FOCS-2025-094 | crypto | Parallel Repetition for Post-Quantum Arguments
FOCS-2025-095 | graph | Paths and Intersections: Exact Emulators for Planar Graphs
FOCS-2025-096 | ds | Pattern Matching under Weighted Edit Distance
FOCS-2025-097 | stream | Perfect L_p Sampling with Polylogarithmic Update Time
FOCS-2025-098 | graph | Polynomial Bounds for the Graph Minor Structure Theorem
FOCS-2025-099 | game | Polynomial-Time Approximation Schemes via Utility Alignment: Unit-Demand Pricing and More
FOCS-2025-100 | proof | Proving Natural Distribution Properties is Harder than Testing Them
FOCS-2025-101 | avg | PTF Testing Lower Bounds for Non-Gaussian Component Analysis
FOCS-2025-102 | comb | Quasipolynomial Bounds for the Corners Theorem
FOCS-2025-103 | cx | Query-Efficient Fixpoints of ℓ_p-Contractions
FOCS-2025-104 | opt | Radial Isotropic Position via an Implicit Newton's Method
FOCS-2025-105 | comb | Ramanujan Bigraphs and Applications
FOCS-2025-106 | code | Random Reed-Solomon Codes and Random Linear Codes are Locally Equivalent
FOCS-2025-107 | approx | Random-Shift Revisited: Tight Approximations for Tree Embeddings and ℓ_1-Oblivious Routings
FOCS-2025-108 | alg | Rank Bounds and PIT for Depth-4 Circuits with Top Fan-in 3 and Constant Bottom Fan-in via a Non-Linear Edelstein-Kelly Theorem
FOCS-2025-109 | count | Rapid Mixing on Random Regular Graphs Beyond Uniqueness
FOCS-2025-110 | q | RE-Completeness of Entangled Constraint Satisfaction Problems
FOCS-2025-111 | learn | Robust Learning of Multi-Index Models via Iterative Subspace Approximation
FOCS-2025-112 | code | Robust Local Testability of Tensor Products of Constant-Rate Algebraic Geometry Codes
FOCS-2025-113 | alg | Root Ridge Leverage Score Sampling for ℓ Subspace Approximation
FOCS-2025-114 | dist | Round Elimination via Self-Reduction: Closing Gaps for Distributed Maximal Matching
FOCS-2025-115 | geom | Shortest Paths on Convex Polyhedral Surfaces
FOCS-2025-116 | prg | Shuffling Cards When You Are of Very Little Brain: Low Memory Generation of Permutations
FOCS-2025-117 | comm | Sign-Rank of k-Hamming Distance is Constant
FOCS-2025-118 | opt | Solving Linear Inequalities Over the Space of Convex Sets & Its Applications to Cryptography and Hydrodynamics
FOCS-2025-119 | game | Solving Zero-Sum Games with Fewer Matrix-Vector Products
FOCS-2025-120 | ds | Static Retrieval Revisited: To Optimality and Beyond
FOCS-2025-121 | online | Stochastic Knapsack without Relaxing the Capacity
FOCS-2025-122 | sched | Stochastic Scheduling with Bernoulli-Type Jobs through Policy Stratification
FOCS-2025-123 | csp | Strong Sparsification for 1-in-3-SAT via Polynomial Freiman-Ruzsa
FOCS-2025-124 | ds | Stronger Cell Probe Lower Bounds Via Local PRGs
FOCS-2025-125 | crypto | Succinct Homomorphic MACs from Groups and Applications
FOCS-2025-126 | approx | The Power of Recursive Embeddings for ℓ Metrics
FOCS-2025-127 | proof | The Proof Analysis Problem
FOCS-2025-128 | avg | The Quasi-Polynomial Low-Degree Conjecture is False
FOCS-2025-129 | crypto | The Sponge Is Quantum Indifferentiable
FOCS-2025-130 | learn | Theoretical Limitations of Multi-Layer Transformer
FOCS-2025-131 | avg | Tight Low Degree Hardness for Optimizing Pure Spherical Spin Glasses
FOCS-2025-132 | graph | Tight Pair Query Lower Bounds for Matching and Earth Mover's Distance
FOCS-2025-133 | prg | Towards True Work-Efficiency in Parallel Derandomization: MIS, Maximal Matching, and Hitting Set
FOCS-2025-134 | graph | Truly Subquadratic Time Algorithms for Diameter and Related Problems in Graphs of Bounded VC-Dimension
FOCS-2025-135 | game | Truthful and Almost Envy-Free Mechanism of Allocating Indivisible Goods: The Power of Randomness
FOCS-2025-136 | code | Undirected Multicast Network Coding Gaps via Locally Decodable Codes
FOCS-2025-137 | param | Weighted k-Path and Other Problems in Almost O^*(2^k) Deterministic Time via Dynamic Representative Sets
STOC-2022-001 | q | Nonlocal games, compression theorems, and the arithmetical hierarchy
STOC-2022-002 | q | An area law for 2d frustration-free spin systems
STOC-2022-003 | q | Dequantizing the Quantum singular value transformation: hardness and applications to Quantum chemistry and the Quantum PCP conjecture
STOC-2022-004 | q | Near-optimal Quantum algorithms for multivariate mean estimation
STOC-2022-005 | q | Distributed Quantum inner product estimation
STOC-2022-006 | general | The power of two choices in graphical allocation
STOC-2022-007 | comb | Expanders via local edge flips in quasilinear time
STOC-2022-008 | online | (Fractional) online stochastic matching via fine-grained offline statistics
STOC-2022-009 | online | The power of multiple choices in online stochastic matching
STOC-2022-010 | online | Online edge coloring via tree recurrences and correlation decay
STOC-2022-011 | graph | The shortest even cycle problem is tractable
STOC-2022-012 | graph | Breaking the nk barrier for minimum k-cut on simple graphs
STOC-2022-013 | graph | Edge connectivity augmentation in near-linear time
STOC-2022-014 | ds | Optimal vertex connectivity oracles
STOC-2022-015 | dist | Deterministic massively parallel connectivity
STOC-2022-016 | comb | Hypercontractivity on high dimensional expanders
STOC-2022-017 | comb | Hypercontractivity on high dimensional expanders
STOC-2022-018 | csp | Approximate polymorphisms
STOC-2022-019 | learn | Learning low-degree functions from a logarithmic number of random queries
STOC-2022-020 | prg | Positive spectrahedra: invariance principles and pseudorandom generators
STOC-2022-021 | stream | New streaming algorithms for high dimensional EMD and MST
STOC-2022-022 | stream | Brooks’ theorem in graph streams: a single-pass semi-streaming algorithm for ∆-coloring
STOC-2022-023 | stream | Deterministic (1+𝜀)-approximate maximum matching with poly(1/𝜀) passes in the semi-streaming model and beyond
STOC-2022-024 | stream | Deterministic graph coloring in the streaming model
STOC-2022-025 | stream | Linear space streaming lower bounds for approximating CSPs
STOC-2022-026 | approx | A PTAS for unsplittable flow on a path
