# mode | editorial family | IDs (star: first is the center; clique: every pair)
S | P versus NP and direct neighboring separations | 0001 0002 0016 0018 0021 6530 6532 6534 6832 6686 6979 7167 7321 6595
C | Counting query answers | 3609 6083 0499
C | Logic capturing efficient computation | 7195 7311 6372 3631
C | FO on dense graph classes | 6678 2401 6082
C | FO model checking variants | 6678 4458 6409
C | First-order preservation and spectra | 3120 7232
C | Minimal transversal and domination enumeration | 7112 0553 7082
C | Enumeration delay hierarchies | 0556 7084 7085 7090
C | Converting amortized to worst-case delay | 7087 7091 7084
C | DNF strong delay and approximate counting | 7088 1004
C | Graph subgraph counting | 1610 2327 4869
C | Counting patterns and parity | 3037 5374 2489
C | Counting perfect matchings | 6628 6629 6616
C | Counting permanents algebraically | 3961 3076 6616
C | Exact counting versus decision | 6820 6821 0001 0297
C | Exact counting and arithmetic permanent | 6820 0005
C | Approximate bipartite-independent-set counting | 7221 7320 6068
C | Counting and sampling Euler tours | 6671 6022 5457
C | Boolean counting constraints | 7320 6748 5457
C | Decision and enumeration CSP dichotomies | 7099 6635 0504
C | Fine-grained Boolean CSP structure | 0440 0445 0446 4267
C | CSP kernels and sparsification | 0441 0444 2351
C | Promise CSP classification and search | 6635 6675 1978 1907
C | Graph promise coloring | 6637 6725 7237
C | Hypergraph and digraph promise coloring | 3984 1168 3287
C | Finite and infinite template classifications | 6636 1173 1555 1807
C | Infinite-template representations | 7116 7117 7124
C | Algebraic CSP meta-problems | 1238 3678 2240
C | Uniform algorithms for tractable CSPs | 0504 1907
C | CSP clones and definability | 3770 4506 2351
C | CSP spin-glass thresholds | 2428 4908 5045
C | Testing and approximating CSPs | 5085 6755 6756
C | Graph isomorphism and CSP meta-problems | 4679 7222
C | Ising Glauber mixing | 6668 6839 6840 1693
C | Conservative Ising dynamics | 2076 6668
C | Transitive graph random walks | 6843 6846 4599 1255
C | Cover time computation and random walks | 6851 4599 0980
C | Coloring via Glauber dynamics | 6621 6554
C | Negative dependence and matroid sampling | 2861 5695
C | Expansion testing and hypothesis | 5935 7160
C | Graph Markov observation | 1158 3906 1092
C | Chemical and population protocol computation | 1951 6324 1588
C | Linear extensions and balanced pairs | 7177 0805
C | Sunflowers and kernelization | 7290 0444 6734
C | Tensor rank and matrix multiplication | 7262 0007
C | Linear-length PCPs and gap hardness | 7268 6738 7313
C | Parametric timed automata | 7309 0138
C | Tree-language circuit and logic characterization | 0068 0168 6564
C | Register automata with unique acceptance | 0136 0156
C | Quantitative automata representations | 0111 0135 5904
C | Complementing unambiguous automata | 3865 0128
C | Weighted falsifiability and compiled negation | 0310 0306 7135
C | Query-efficient fixed points | 0491 2537 3509
C | Geodesic versus Euclidean convex optimization | 0722 0728 0724
C | Exact bounded-width satisfiability counting | 0818 0815 6820
C | Linear-extension computation | 0613 0805
C | Robust communication rectangle covers | 1044 0811 6711
C | Border algebraic complexity | 1103 0005 6611
C | Fast triangle algorithms | 1160 6539 1610
C | Classical matrix multiplication and graph algorithms | 0007 6597 6539 6510
C | Polynomial parallel algorithms versus work efficiency | 6553 6714 7172 6507
C | Semistreaming versus LOCAL coloring | 1169 0524 0517
C | Online tour insertion | 1241 5182 4985
C | Adaptive corruption and robust learning | 1478 5017 5153
C | Sparse graph descriptions | 1639 5705 2247
C | Dense graph compression | 2247 6082
C | Constant-degree circuit hypothesis and algebra | 2244 5523 2667
C | Total-search downward self-reductions | 2333 5395
C | Statistical zero-knowledge composition | 2425 7272 3832
C | Secret-sharing construction constraints | 2519 0465 7275
C | Uniform LOCAL algorithms | 2735 0515 6499
C | Streaming recursive-language memory | 4006 2324 2283
C | Permutation bandit regret | 4132 5252
C | Bandit versus full-information online learning | 4672 4621 2336
C | Frege proof search and learning | 4982 0025 6663
C | Capturing invariant polynomial-time queries | 5086 7195 7311
C | Small-advantage communication | 5524 6074
C | Static and dynamic facility placement | 5612 6659 6309
C | Cancellation versus monotone arithmetic | 5777 5100 0005
C | Word-RAM dynamic prefix lower bounds | 5825 0949 6540
C | MSO unbounding on infinite structures | 6016 3553
C | Bidding versus simple stochastic games | 6117 6567
C | Unambiguous logspace complementation | 6285 6533 0004
C | Isomorphism testing models | 6672 7222
C | Restarts and proof-system simulation | 7239 6771 7163
C | Directed degree and neighborhood conjectures | 7251 7253
C | Hamiltonicity of structured graphs | 7250 7289 0801
C | Polynomial algorithms conditional on ETH | 7246 6593
C | Job-shop and precedence scheduling | 6814 6676 6724
C | Fixed-formula and circuit satisfiability | 6974 6949
C | P versus NP and exact algorithms | 0001 6593 6592
S | P versus NP consequences for polynomial-time decision and search | 0001 7222 6511 6617 6618 7168 6667 7231 6567 6568
C | Efficient circuits and Boolean arithmetic | 0015 7223 7243
C | Arithmetic and Boolean complexity analogues | 0001 0005 7321
C | Distributed local lemma and independent sets | 6554 6499
C | Learning and circuit pseudorandomness | 5434 1056 6693
C | Deterministic kernelization and matroid representation | 6749 6729
C | General graph width and MSO | 7181 6654
C | Existing directed feedback cross-reference | 6591 6379
C | Existing succinctness cross-reference | 6681 0308
C | Existing streaming zero-knowledge cross-reference | 7225 1929
C | Existing private query and learning cross-reference | 7236 0506
C | Existing routing and girth cross-reference | 7305 5770
C | Existing distributed MST cross-reference | 6418 2870
C | Parallel DFS and matching | 7172 6504
C | One-wayness in restricted circuits | 7274 7167
C | Threshold lower bounds at different class boundaries | 7161 6535 1056
C | Canonization and algebraic graph-isomorphism methods | 7180 5750
C | Cut sparsification and multiway-cut kernels | 6660 3480
C | Pairwise alignment and multiple alignment | 6669 6624 7220
