review_order	id	title	category	type_label	confidence	reason	condition	retain_ids	reader_url
72	TCS-7196	Polynomial-time EFX for three additive agents	Game theory, social choice and fair division	Specialized model or subcase	borderline	The three-agent case asks for computational efficiency after EFX existence is known. It is a meaningful next threshold, but adds a more restricted target beside general EFX existence and efficient EFX approximation.	This is a computational question and is not equivalent to TCS-0011. Its importance as the smallest unresolved algorithmic case makes this a borderline cut.		https://vaclavrozhon.github.io/atlas/#TCS-7196
73	TCS-3056	Deterministic convolution with negative entries	Algebraic computation	Specific method or construction	high	The target extends one fast n-fold Boolean-convolution result to signed entries. Its main contribution would be removing the no-cancellation restriction of that algorithmic setting, with less independent reach than the general convolution and algebraic-computation barriers.	Do not infer that all signed convolution questions are minor; this judgment concerns the selected extension and its saved efficiency target.		https://vaclavrozhon.github.io/atlas/#TCS-3056
74	TCS-4293	PLS-completeness of k-means local minima	Optimization and numerical computation	Specific method or construction	high	PLS-completeness of finding a local optimum for the k-means method studies the inherent limitations of a particular heuristic's neighborhood. I would give the unrestricted clustering approximation and general total-search barriers higher priority.	A long convergence example does not by itself prove PLS-completeness.		https://vaclavrozhon.github.io/atlas/#TCS-4293
75	TCS-6466	Polynomial tour complexity of BKZ	Lattices and computational number theory	Specific method or construction	high	The open target bounds the number of tours of the particular BKZ basis-reduction algorithm. It would strengthen analysis of an important practical method, but has less independent foundational scope than the best possible lattice-algorithm and hardness questions.	The count of tours is not the total cost of exact block solving; practical early stopping is not a worst-case proof.		https://vaclavrozhon.github.io/atlas/#TCS-6466
76	TCS-3845	Efficient distributed multicommodity routing	Distributed, parallel and sublinear algorithms	Specific method or construction	medium	The selected task finds multicommodity routes inside the low-width random-network setting used to simulate parallel algorithms. I would treat this as a focused supporting construction rather than another general routing or parallel-computation benchmark.	Its potential improvement to parallel-to-distributed simulation is real; this is a comparative priority judgment, not merely a criticism of missing bounds.		https://vaclavrozhon.github.io/atlas/#TCS-3845
77	TCS-3940	Note however that we do not know whether these lower bounds imply general algorithmic hardness.	Fine-grained complexity	Specific method or construction	medium	The saved direction asks to convert graph-pattern polynomial lower bounds into general algorithmic hardness. Its selected contribution remains tied to the interpretation of one algebraic lower-bound framework; broader subgraph complexity questions already express the scientific objective more directly.	The awkward extracted title is not the reason for removal, and method-specific hardness is not itself a general algorithmic lower bound.		https://vaclavrozhon.github.io/atlas/#TCS-3940
78	TCS-4301	Two-sided hardness amplification by ODD-MAX-BIT	Communication complexity and Boolean function analysis	Specific method or construction	medium	The target upgrades a specific ODD-MAX-BIT amplification mechanism from one-sided hardness to ordinary two-sided approximate degree. Its wider uses are real, but the proposed theorem remains tied to this composition rather than the full hardness-amplification frontier.	The universal inner function and pointwise approximation convention must be preserved; known one-sided amplification does not settle it.		https://vaclavrozhon.github.io/atlas/#TCS-4301
79	TCS-5288	Entropy-optimal grammar compression	String algorithms and computational biology	Specific method or construction	medium	The target asks whether grammar-based compression can achieve a specific entropy-optimality benchmark, already at zero order. It compares one representation family with statistical coding rather than the broad optimal grammar-size and string-algorithm frontiers.	Counterexamples to named compressors do not rule out all grammars, and entropy optimality is not the same as constant-factor smallest-grammar approximation.		https://vaclavrozhon.github.io/atlas/#TCS-5288
80	TCS-6198	Majority hardness of balanced functions	Communication complexity and Boolean function analysis	Specific method or construction	medium	The question tests the source's majority-hardness notion by seeking a balanced counterexample. Its immediate payoff is a limit on that specific amplification principle, making it a lower-priority standalone target than general information compression and direct sums.	Majority-hardness is a source-defined predicate, not ordinary difficulty of evaluating majority.		https://vaclavrozhon.github.io/atlas/#TCS-6198
81	TCS-6433	Polynomial-time Győri–Lovász partitions	Algorithms	Specific method or construction	medium	The target algorithmizes the exact rooted, prescribed-size Győri–Lovász partition guarantee, already at five parts. I would give this construction problem lower independent priority than general connectivity, flow and disjoint-path barriers.	Stronger-connectivity constructions do not resolve the original theorem's algorithmic case.		https://vaclavrozhon.github.io/atlas/#TCS-6433
82	TCS-6859	Polynomial-time Gilbert–Varshamov inner-code construction	Coding and information theory	Specific method or construction	medium	This removes exhaustive search from the inner-code step of a Gilbert–Varshamov construction on the component's own dimension scale. Its natural role is a focused explicit-construction challenge rather than a separate general code-rate frontier.	It does not ask merely for a faster implementation, and should not be misrepresented as the general question of beating Gilbert–Varshamov.		https://vaclavrozhon.github.io/atlas/#TCS-6859
83	TCS-3513	Explicit positive-rate codes below the Plotkin point	Coding and information theory	Specific method or construction	borderline	The target turns the generalized-channel CP-distribution feasibility criterion into explicit positive-rate codes. I would prioritize the central rate–distance and decoding frontiers over this construction within a more specialized channel framework.	This covers more than an ordinary binary Hamming channel, so the judgment is borderline and not based on the word Plotkin alone.		https://vaclavrozhon.github.io/atlas/#TCS-3513
84	TCS-0344	Additivity of extension complexity under Cartesian products	Optimization and numerical computation	Secondary quantitative frontier	medium	The conjecture asks whether extension complexity is exactly additive under Cartesian product. It refines how two existing descriptions combine, with less direct algorithmic scope than general LP, SDP and extension-complexity barriers.	The possibility of sharing inequalities is a real structural question; additivity for pyramids is only a special case.		https://vaclavrozhon.github.io/atlas/#TCS-0344
85	TCS-0943	Polynomial-pass barriers to near-exact streaming Max-Cut	Distributed, parallel and sublinear algorithms	Secondary quantitative frontier	medium	The target couples a near-exact Max-Cut accuracy depending on C with a polynomial-pass exponent barrier. It refines one problem's memory–accuracy–pass landscape beyond the broader streaming and sketching model questions.	The accuracy may depend on the desired pass exponent; do not strengthen this to one fixed accuracy for every exponent.		https://vaclavrozhon.github.io/atlas/#TCS-0943
86	TCS-2529	Polynomial-time ultrametric embedding	Geometry, topology and metric spaces	Secondary quantitative frontier	medium	Exact optimization or a PTAS for the instance-optimal ultrametric embedding improves the quality of one hierarchical representation. I would give it lower priority than the main universal metric embedding and distortion questions.	Computing a distribution over embeddings and evaluating worst-pair expected distortion must remain separate from deterministic embeddings.		https://vaclavrozhon.github.io/atlas/#TCS-2529
87	TCS-3580	Class-dependent parameter exponents for minor-closed vertex deletion	Parameterized complexity and algorithms	Secondary quantitative frontier	medium	This asks whether the polynomial degree in an FPT exponent must depend on the excluded-minor class. It refines dependence inside an existing tractability theorem, with less independent impact than the general kernelization and tractability barriers.	A limitation of irrelevant-vertex techniques is not a lower bound against every algorithm; the hypothesized complexity assumption remains to be fixed.		https://vaclavrozhon.github.io/atlas/#TCS-3580
88	TCS-3690	Untuned switching regret for oblivious adversarial bandits	Online algorithms, scheduling and packing	Secondary quantitative frontier	medium	The target removes prior tuning of the switch budget while matching known regret rates for every comparator against an oblivious adversary. That adaptive-parameter guarantee is a narrower increment than establishing a new broad online-learning rate or learnability boundary.	Adaptive-adversary impossibility and algorithms told the switch budget do not resolve this untuned target.		https://vaclavrozhon.github.io/atlas/#TCS-3690
89	TCS-4419	Structural randomized query lower bounds for subgraph containment	Communication complexity and Boolean function analysis	Secondary quantitative frontier	medium	This refines randomized subgraph-query lower bounds through parameters of the fixed pattern, including independence number. I would prioritize the general evasiveness and query-complexity barriers over additional pattern-sensitive inequalities.	The rationale is the extra granularity of the proposed structural bounds, not a claim that all subgraph queries behave alike.		https://vaclavrozhon.github.io/atlas/#TCS-4419
90	TCS-5215	Accuracy threshold for agnostic ReLU learning	Learning theory	Secondary quantitative frontier	medium	This locates the accuracy threshold between known efficient and conditionally hard regimes for agnostic learning of one ReLU. It is a detailed error-versus-time frontier within a restricted predictor class rather than a general learnability classification.	The distribution-free and sphere-normalization conventions matter; no threshold value is asserted here.		https://vaclavrozhon.github.io/atlas/#TCS-5215
91	TCS-5221	Sublinear-in-q prophet inequalities for q-matroid intersection	Online algorithms, scheduling and packing	Secondary quantitative frontier	medium	The selected goal improves linear dependence on the number of matroids in a prophet inequality. This is a quantitative intersection-parameter frontier, secondary to the broader secretary and online selection principles in the pool.	The proposal concerns the full q dependence, not merely a constant adjustment, and restricted partition-matroid examples do not settle every case.		https://vaclavrozhon.github.io/atlas/#TCS-5221
92	TCS-5275	Supercritical proof size–depth tradeoffs	Proof complexity	Secondary quantitative frontier	medium	The target constructs a supercritical size–depth tradeoff within particular proof systems. I would rank this refined two-resource separation below the central proof-system simulations and unrestricted lower bounds.	The exact meaning of supercritical must come from the source; an ordinary tradeoff is not the requested result.		https://vaclavrozhon.github.io/atlas/#TCS-5275
93	TCS-5330	Near-linear-query approximation schemes for matroid intersection	Optimization and numerical computation	Secondary quantitative frontier	medium	The remaining goal matches a randomized near-linear-query matroid-intersection approximation scheme deterministically. It sharpens the query cost and randomness of this oracle primitive rather than changing its basic solvability.	The target is still substantial derandomization; the existing deterministic two-thirds approximation does not settle it.		https://vaclavrozhon.github.io/atlas/#TCS-5330
94	TCS-5442	Steiner Tree bidirected-cut integrality gap below two	Approximation algorithms and inapproximability	Secondary quantitative frontier	medium	The goal improves the integrality gap of one specific bidirected Steiner Tree relaxation below two. It evaluates the strength of that formulation more directly than the best attainable approximation for the optimization problem itself.	The bidirected, undirected-cut and hypergraphic relaxations are distinct; stronger-relaxation results do not settle this gap.		https://vaclavrozhon.github.io/atlas/#TCS-5442
95	TCS-6768	Simultaneous polynomial-length constant-space refutations	Proof complexity	Secondary quantitative frontier	medium	This asks whether constant-space proofs can simultaneously have polynomial length. It is the extreme low-memory regime of a broader size–space programme already represented by more general proof-space comparisons.	The applicable proof system and space measure must be retained; no configuration-counting shortcut is asserted to solve it.		https://vaclavrozhon.github.io/atlas/#TCS-6768
96	TCS-1133	Sub-log-squared seeds for polynomial-size CNFs and DNFs	Pseudorandomness and derandomization	Secondary quantitative frontier	borderline	The selected endpoint is a sub-log-squared seed for polynomial-size CNFs and DNFs. It adds a quantitative frontier for a specific circuit family to an already substantial derandomization collection.	Constant-error and inverse-polynomial-error results must not be conflated; this report does not claim that a later PRG solves the saved target.		https://vaclavrozhon.github.io/atlas/#TCS-1133
97	TCS-4259	Query cost of reducing testing adaptivity	Property testing and distribution learning	Secondary quantitative frontier	borderline	The question improves universal simulation costs when reducing the number of testing batches. I would prioritize the main adaptive-query separations over a further quantitative sharpening of this simulation bound.	Its universal scope makes this borderline. The unspecified amount of improvement is a formulation issue, not the primary removal reason.		https://vaclavrozhon.github.io/atlas/#TCS-4259
98	TCS-5031	Littlestone-dimension regret bounds for unrestricted classes	Learning theory	Secondary quantitative frontier	borderline	This removes a regularity restriction from the Littlestone-dimension regret characterization. With TCS-2336 already preserving the general multiclass minimax frontier, I would give a separate entry for the minimax-regularity exception lower priority.	Measurability and minimax conventions may distinguish the statements. Do not mark it as an exact duplicate or silently discard the unrestricted-class issue.		https://vaclavrozhon.github.io/atlas/#TCS-5031
99	TCS-6721	Additive-one approximation for bin packing	Online algorithms, scheduling and packing	Secondary quantitative frontier	borderline	The additive-one target sharpens the already retained constant-additive bin-packing challenge TCS-6640. I would consider giving this stronger endpoint context within the same topic rather than a second independent benchmark slot.	One extra bin is a longstanding meaningful optimum, not a routine constant improvement. Removing this card would drop a strictly sharper target unless it is explicitly preserved.		https://vaclavrozhon.github.io/atlas/#TCS-6721
100	TCS-6784	Spanners matching Thorup–Zwick emulator tradeoffs	Algorithms	Secondary quantitative frontier	borderline	The surviving gap is attaining the exact Thorup–Zwick emulator edge exponent with an actual spanner, rather than arbitrarily close exponents with slack-dependent constants. This is a sharper refinement than the larger additive-spanner frontiers retained elsewhere.	The full hierarchy and fixed constants matter; do not call the almost-matching result a resolution or conflate this with the retained four-additive problem TCS-6783.		https://vaclavrozhon.github.io/atlas/#TCS-6784
