rank,researcher,slot,id,title,area,action,affinity,status,evidence,formulation_status,formulation_reviewed_on,current_batch_scope,researcher_bibliography,problem_sources
50,Sanjam Garg,2,TCS-6549,Oblivious transfer from public-key encryption,Cryptography,reused,OT from PKE is a foundational secure-computation question connected to his cryptographic reductions.,source_open,reviewed,not individually completed,2026-09-10,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/33/5817.html,https://vmahesh.cs.illinois.edu/papers/focs00.pdf; https://iftachh.github.io/MyHomepage/papers/BlackBoxMPC/black-box-mpc.pdf; https://eprint.iacr.org/2021/882; https://eprint.iacr.org/2023/1002; https://doi.org/10.1587/transfun.2025CIP0019
51,Pravesh Kothari,1,TCS-6656,Planted clique conjecture,Beyond worst-case and average-case analysis,reused,Planted clique captures the statistical-computational barriers in his SOS work.,source_open,reviewed,revised,2026-09-10,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/47/7934.html,https://people.math.ethz.ch/~sudakovb/hidden-clique.pdf; https://doi.org/10.1137/17M1138236; https://arxiv.org/abs/2311.07540v2; https://arxiv.org/abs/2505.01990v2; https://proceedings.mlr.press/v336/gobel26a.html
51,Pravesh Kothari,2,TCS-6602,Superpolynomial \(\mathrm{AC}^{0}[p]\)-Frege lower bounds,Proof complexity,reused,Modular bounded-depth Frege lower bounds connect his proof-complexity research.,source_open,reviewed,not individually completed,2026-09-10,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/47/7934.html,https://www.karlin.mff.cuni.cz/~krajicek/finitary.pdf; https://www.cs.toronto.edu/~toni/Papers/exp-pigeon.pdf; https://drops.dagstuhl.de/entities/document/10.4230/LIPIcs.CCC.2025.8; https://drops.dagstuhl.de/entities/document/10.4230/LIPIcs.ITCS.2026.99; https://eccc.weizmann.ac.il/report/2026/018/; https://eccc.weizmann.ac.il/report/2026/070/
52,Daniel Lokshtanov,1,TCS-6592,FPT versus \(\mathrm{W}[1]\),Parameterized and exact algorithms,reused,FPT versus W[1] is a foundational barrier for his parameterized algorithms.,source_open,reviewed,revised,2026-09-10,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/78/67.html,https://www.mimuw.edu.pl/~malcin/book/parameterized-algorithms.pdf; https://drops.dagstuhl.de/entities/document/10.4230/LIPIcs.MFCS.2018.73; https://arxiv.org/abs/2102.04769; https://arxiv.org/abs/2304.07516; https://weizmann.elsevierpure.com/en/publications/faster-combinatorial-k-clique-algorithms-2/
52,Daniel Lokshtanov,2,TCS-6379,Polynomial kernels for Directed Feedback Vertex Set,Parameterized and exact algorithms,reused,Polynomial DFVS kernels directly concern his kernelization and graph-algorithm work.,open,reviewed,revised,2026-09-12,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/78/67.html,https://doi.org/10.4230/LIPIcs.STACS.2016.55; https://doi.org/10.1145/3711669
53,Ryan O'Donnell,1,TCS-6604,Fourier Entropy–Influence conjecture,Communication complexity and Boolean function analysis,reused,Fourier entropy-influence is a central Boolean-analysis conjecture in his research area.,source_open,reviewed,revised,2026-09-10,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/34/5965.html,https://www.cs.cmu.edu/~jswright/papers/fei.pdf; https://arxiv.org/abs/2312.08271; https://arxiv.org/abs/2606.00246; https://arxiv.org/abs/2608.01424
53,Ryan O'Donnell,2,TCS-6581,Mansour’s conjecture,Communication complexity and Boolean function analysis,reused,Mansour's conjecture connects his Fourier analysis and computational learning work.,source_open,reviewed,not individually completed,2026-09-11,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/34/5965.html,https://www.ias.edu/sites/default/files/math/ODonnell_Fourier.pdf; https://eccc.weizmann.ac.il/report/2010/023/revision/3/download/; https://arxiv.org/abs/2109.04525v2; https://link.springer.com/article/10.1007/s00493-024-00133-z; https://arxiv.org/abs/2606.00246v2; https://arxiv.org/abs/2506.01075v2
54,MohammadTaghi Hajiaghayi,1,TCS-6588,Polylogarithmic approximation for Directed Steiner Tree,Approximation algorithms and hardness of approximation,reused,Directed Steiner approximation connects his network-design research.,source_open,reviewed,not individually completed,2026-09-11,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/334/4488.html,https://chekuri.web.engr.illinois.edu/pub.html; https://people.idsia.ch/~grandoni/Pubblicazioni/GLL19stoc.pdf; https://arxiv.org/abs/2302.04747; https://drops.dagstuhl.de/entities/document/10.4230/LIPIcs.ESA.2024.42; https://arxiv.org/abs/2412.10744; https://arxiv.org/abs/2607.25811
54,MohammadTaghi Hajiaghayi,2,TCS-7348,Single-exponential exact cut mimicking networks,Structural graph theory,reused,Cut mimicking networks concern the compression and routing structures he studies.,source_open,reviewed,revised,2026-09-13,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/334/4488.html,https://drops.dagstuhl.de/storage/00lipics/lipics-vol334-icalp2025/html/LIPIcs.ICALP.2025.53/LIPIcs.ICALP.2025.53.html; https://arxiv.org/abs/1207.6371; https://mj.ucw.cz/vyuka/ga/ga.pdf
55,Johan Håstad,1,TCS-1056,Majority outside constant-depth modular circuits,Computational complexity,reused,Modular-circuit lower bounds extend his Boolean circuit lower-bound program.,source_open,reviewed,revised,2026-09-13,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/47/3155.html,https://web.vu.lt/mif/s.jukna/boolean/index.html; https://arxiv.org/abs/2604.04760
55,Johan Håstad,2,TCS-7281,Unconditional NP-hardness at the Goemans–Williamson Max-Cut threshold,Approximation algorithms and hardness of approximation,reused,Unconditional sharp Max-Cut hardness continues his optimal-inapproximability work.,source_open,reviewed,revised,2026-09-11,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/47/3155.html,https://faculty.wharton.upenn.edu/wp-content/uploads/2014/07/Optimal_Inapproximability_Results_for_MAX_CUT_and_Other_2_Variable_CSPs_1.pdf
56,Ran Raz,1,TCS-6888,Superpolynomial arithmetic formula lower bounds,Algebraic computation,reused,Arithmetic formula lower bounds directly extend his algebraic-complexity results.,source_open,source,not individually completed,,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/91/5912.html,https://www.cs.tau.ac.il/~shpilka/publications/SY10.pdf
56,Ran Raz,2,TCS-5892,Constant-factor randomized direct sums for total Boolean functions,Communication complexity and Boolean function analysis,reused,Randomized direct sums for total functions concern his communication and information-complexity research.,source_open,reviewed,revised,2026-09-13,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/91/5912.html,https://doi.org/10.4230/LIPIcs.STACS.2019.50; https://eccc.weizmann.ac.il/report/2010/083/; https://arxiv.org/abs/2608.04141
57,Daniel Dadush,1,TCS-7264,Single-exponential dependence on dimension for integer programming,Optimization and numerics,reused,Single-exponential integer programming is central to his geometry-of-numbers algorithms.,source_open,reviewed,revised,2026-09-11,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/07/3765.html,https://drops.dagstuhl.de/storage/00lipics/lipics-vol358-ipec2025/html/LIPIcs.IPEC.2025.1/LIPIcs.IPEC.2025.1.html
57,Daniel Dadush,2,TCS-7314,Komlós conjecture,Optimization and numerics,reused,Komlos directly connects his discrepancy and convex-geometric work.,source_open,reviewed,revised,2026-09-11,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/07/3765.html,https://arxiv.org/abs/2508.03961
58,Huijia Lin,1,TCS-6550,Circuit obfuscation from polynomial-hard LWE,Cryptography,reused,LWE-based iO is a central next target after her obfuscation constructions.,source_open,reviewed,revised,2026-09-10,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/37/778.html,https://www.wisdom.weizmann.ac.il/~oded/p_obfuscate.html; https://cims.nyu.edu/~regev/papers/qcrypto.pdf; https://doi.org/10.1145/3785007; https://eprint.iacr.org/2021/1334; https://doi.org/10.4230/LIPIcs.ICALP.2022.28
58,Huijia Lin,2,TCS-7278,Identity-based encryption from arbitrary public-key encryption,Cryptography,reused,IBE from generic PKE concerns reducing assumptions for advanced encryption.,source_open,reviewed,revised,2026-09-13,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/37/778.html,https://eprint.iacr.org/2021/745.pdf; https://crypto.stanford.edu/~dabo/pubs/papers/bfibe.pdf
59,Zvika Brakerski,1,TCS-6551,Unleveled fully homomorphic encryption from LWE alone,Cryptography,reused,FHE without circular-security assumptions continues his foundational FHE research.,source_open,reviewed,revised,2026-09-11,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/53/1085.html,https://epubs.siam.org/doi/10.1137/120868669; https://www.iacr.org/archive/crypto2018/10993383/10993383.pdf; https://cseweb.ucsd.edu/classes/wi23/cse208-a/FHEorg.pdf; https://eprint.iacr.org/2023/1376.pdf; https://drops.dagstuhl.de/storage/00lipics/lipics-vol251-itcs2023/LIPIcs.ITCS.2023.17/LIPIcs.ITCS.2023.17.pdf; https://link.springer.com/article/10.1186/s42400-025-00431-z; https://arxiv.org/abs/2604.23490
59,Zvika Brakerski,2,TCS-7359,Public-key quantum money from LWE alone,Cryptography,added,Public verification from LWE alone concerns his lattice and quantum-cryptography program.,source_open,reviewed,revised,2026-09-13,primary-source and targeted later-work check,https://dblp.org/pid/53/1085.html,https://arxiv.org/abs/2411.04482; https://eprint.iacr.org/2025/325; https://mzhandry.github.io/pubs.quantum.html
60,Daniel Wichs,1,TCS-5013,Sublinear-communication secure computation with polynomial setup,Cryptography,reused,Communication-efficient MPC extends his succinct cryptographic protocols.,uncertain,source,not individually completed,,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/24/2359.html,https://doi.org/10.4230/LIPIcs.ITC.2023.18
60,Daniel Wichs,2,TCS-6552,Noninteractive zero knowledge from one-way functions,Cryptography,reused,Minimal assumptions for NIZK connect his cryptographic proof and delegation research.,source_open,reviewed,not individually completed,2026-09-11,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/24/2359.html,https://homepages.cwi.nl/~schaffne/courses/crypto/2014/papers/ComZK08.pdf; https://web.eecs.umich.edu/~cpeikert/pubs/nizk-lwe.pdf; https://eprint.iacr.org/2023/1938; https://eprint.iacr.org/2024/1514; https://eccc.weizmann.ac.il/report/2024/116/; https://arxiv.org/abs/2602.17651; https://doi.org/10.1007/978-3-032-35424-2_6
61,Avishay Tal,1,TCS-1054,Exponential lower bounds for unrestricted threshold-of-threshold circuits,Computational complexity,reused,Threshold-of-threshold lower bounds connect his circuit-complexity work.,source_open,reviewed,revised,2026-09-13,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/93/8727.html,https://web.vu.lt/mif/s.jukna/boolean/index.html; https://arxiv.org/abs/1805.10698
61,Avishay Tal,2,TCS-1133,Sub-log-squared seeds for polynomial-size CNFs and DNFs,Pseudorandomness and derandomization,reused,Short-seed generators for CNF/DNF extend his pseudorandomness research.,uncertain,index,not individually completed,,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/93/8727.html,https://eccc.weizmann.ac.il/report/2023/019/
62,Kasper Green Larsen,1,TCS-6540,Superlogarithmic static cell-probe lower bounds,Data structures,reused,Superlogarithmic static cell-probe bounds are a core barrier in his data-structure lower bounds.,source_open,reviewed,revised,2026-09-11,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/07/6242.html,https://doi.org/10.1145/3798129.3800843; https://eccc.weizmann.ac.il/report/2025/030/; https://eccc.weizmann.ac.il/report/2025/155/; https://epubs.siam.org/doi/10.1137/18M1198429; https://eccc.weizmann.ac.il/report/2026/047/
62,Kasper Green Larsen,2,TCS-7338,Multiphase conjecture,Data structures,reused,The multiphase problem directly concerns dynamic data-structure lower bounds.,source_open,reviewed,revised,2026-09-13,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/07/6242.html,https://www.ccs.neu.edu/~viola/classes/papers/PatrascuTowards.pdf; https://arxiv.org/abs/1910.13543
63,Huacheng Yu,1,TCS-6540,Superlogarithmic static cell-probe lower bounds,Data structures,reused,Strong static cell-probe lower bounds connect his data-structure complexity work.,source_open,reviewed,revised,2026-09-11,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/84/9059.html,https://doi.org/10.1145/3798129.3800843; https://eccc.weizmann.ac.il/report/2025/030/; https://eccc.weizmann.ac.il/report/2025/155/; https://epubs.siam.org/doi/10.1137/18M1198429; https://eccc.weizmann.ac.il/report/2026/047/
63,Huacheng Yu,2,TCS-6498,Dynamic optimality conjecture,Data structures,reused,Dynamic optimality concerns the limits of the adaptive data structures he studies.,source_open,reviewed,revised,2026-09-11,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/84/9059.html,https://arxiv.org/abs/2607.18498; https://www.cs.cmu.edu/~yangp/15-451/lecture23.pdf; https://doi.org/10.1137/S0097539705447347; https://doi.org/10.4230/LIPIcs.ITCS.2022.18
64,Karl Bringmann,1,TCS-6598,Min-Plus Convolution Hypothesis,Fine-grained complexity,reused,Min-plus convolution is central to his fine-grained algorithm program.,source_open,reviewed,revised,2026-09-13,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/96/2643.html,https://drops.dagstuhl.de/entities/document/10.4230/LIPIcs.ICALP.2026.119; https://tmc.web.engr.illinois.edu/convol.pdf
64,Karl Bringmann,2,TCS-7350,Near-linear output-sensitive Subset Sum,Algorithms & data structures,reused,Output-sensitive Subset Sum directly extends his pseudopolynomial algorithms.,source_open,reviewed,revised,2026-09-13,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/96/2643.html,https://arxiv.org/abs/2107.13206; https://arxiv.org/abs/2601.01390
65,Amir Abboud,1,TCS-6510,Truly subcubic APSP,Fine-grained complexity,reused,Truly subcubic APSP is a foundational target of his fine-grained complexity work.,open,reviewed,revised,2026-09-11,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/129/1654.html,https://doi.org/10.1109/FOCS.2010.67; https://arxiv.org/abs/1312.6680; https://arxiv.org/abs/2605.08588
65,Amir Abboud,2,TCS-0557,Truly subquadratic algorithms for 3SUM,Fine-grained complexity,reused,The 3SUM barrier concerns his fine-grained reductions and algorithmic lower bounds.,uncertain,index,not individually completed,,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/129/1654.html,https://topp.openproblem.net/p11
66,Eshan Chattopadhyay,1,TCS-7271,Two-source extraction at log n plus constant entropy,Pseudorandomness and derandomization,reused,Entropy-threshold extraction directly extends his two-source extractor breakthrough.,source_open,reviewed,revised,2026-09-11,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/117/3135.html,https://arxiv.org/abs/2303.06802
66,Eshan Chattopadhyay,2,TCS-1015,Seeded extraction with constant total entropy loss,Pseudorandomness and derandomization,reused,Optimal seeded extraction is central to his randomness-extraction research.,uncertain,index,not individually completed,,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/117/3135.html,https://people.seas.harvard.edu/~salil/pseudorandomness/
67,David Zuckerman,1,TCS-7271,Two-source extraction at log n plus constant entropy,Pseudorandomness and derandomization,reused,Near-threshold two-source extraction continues his explicit-extractor work.,source_open,reviewed,revised,2026-09-11,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/z/DZuckerman.html,https://arxiv.org/abs/2303.06802
67,David Zuckerman,2,TCS-1013,Optimal-size highly unbalanced lossless expanders,Pseudorandomness and derandomization,reused,Unbalanced lossless expansion connects his extractor and pseudorandom construction program.,uncertain,index,not individually completed,,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/z/DZuckerman.html,https://people.seas.harvard.edu/~salil/pseudorandomness/
68,Rocco Servedio,1,TCS-6581,Mansour’s conjecture,Communication complexity and Boolean function analysis,reused,Mansour's conjecture connects his Fourier-analytic learning research.,source_open,reviewed,not individually completed,2026-09-11,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/s/RAServedio.html,https://www.ias.edu/sites/default/files/math/ODonnell_Fourier.pdf; https://eccc.weizmann.ac.il/report/2010/023/revision/3/download/; https://arxiv.org/abs/2109.04525v2; https://link.springer.com/article/10.1007/s00493-024-00133-z; https://arxiv.org/abs/2606.00246v2; https://arxiv.org/abs/2506.01075v2
68,Rocco Servedio,2,TCS-6543,Learning Boolean juntas from uniform random examples,Learning theory,reused,Uniform-distribution junta learning is a core problem in his learning work.,source_open,reviewed,revised,2026-09-11,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/s/RAServedio.html,https://www.cs.cmu.edu/~odonnell/papers/juntas.pdf; https://theory.stanford.edu/~valiant/papers/corrFull.pdf; https://arxiv.org/abs/2511.08791; https://arxiv.org/abs/2505.05819; https://arxiv.org/abs/2605.10237; https://openreview.net/pdf?id=wszZlP1K14; https://www.math.ias.edu/files/mathandcomp.pdf
69,Xi Chen,1,TCS-7294,Learning decision trees from uniform random examples in polynomial time,Learning theory,reused,Efficient uniform decision-tree learning connects his learning-complexity research.,source_open,reviewed,revised,2026-09-11,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/16/3283-1.html,https://arxiv.org/abs/0812.0933; https://doi.org/10.4230/LIPIcs.ITCS.2025.38
69,Xi Chen,2,TCS-6630,Effective classification of polynomially testable hereditary graph properties,Property testing and distribution learning,reused,Efficient testability of hereditary graph properties concerns his property-testing work.,source_open,reviewed,revised,2026-09-11,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/16/3283-1.html,https://arxiv.org/html/2508.16878v1; https://epubs.siam.org/doi/10.1137/06064888X; https://arxiv.org/abs/1611.10315; https://www.cambridge.org/core/product/identifier/S0963548314000765/type/journal_article; https://arxiv.org/abs/1709.08159; https://eccc.weizmann.ac.il/report/2026/144/
70,Vincent Cohen-Addad,1,TCS-7353,Optimal polynomial-time approximation ratio for Euclidean k-means,Approximation algorithms and hardness of approximation,added,Optimal high-dimensional k-means approximation directly extends his clustering results.,source_open,reviewed,revised,2026-09-13,primary-source and targeted later-work check,https://dblp.org/pid/136/5814.html,https://arxiv.org/abs/2607.14654; https://doi.org/10.1145/3798129.3800894
70,Vincent Cohen-Addad,2,TCS-7318,Constant-factor approximation for Dasgupta’s hierarchical clustering objective,Approximation algorithms and hardness of approximation,reused,Hierarchical clustering approximation is a direct research theme.,source_open,reviewed,revised,2026-09-11,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/136/5814.html,https://arxiv.org/abs/1510.05043; https://arxiv.org/abs/1609.09548
71,Sepehr Assadi,1,TCS-6627,Fully dynamic near-optimal matching with polylogarithmic updates,Dynamic graph algorithms,reused,Near-optimal dynamic matching connects his matching and graph-algorithm research.,source_open,reviewed,revised,2026-09-11,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/125/2903.html,https://pure.mpg.de/pubman/item/item_3527212_4/component/file_3527885/biennial-report-2023.pdf; https://epubs.siam.org/doi/10.1137/1.9781611977912.109; https://arxiv.org/abs/2406.13573; https://arxiv.org/abs/2502.02455; https://arxiv.org/abs/2403.02582; https://arxiv.org/abs/2605.00797
71,Sepehr Assadi,2,TCS-6556,Directed reachability with nearly linear memory and polylogarithmic passes,"Distributed, parallel and sublinear algorithms",reused,Directed reachability in small memory connects his streaming-complexity work.,source_open,reviewed,revised,2026-09-11,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/125/2903.html,https://par.nsf.gov/servlets/purl/10488812; https://eccc.weizmann.ac.il/report/2013/002/revision/3/download/; https://arxiv.org/abs/1905.08841; https://arxiv.org/abs/2011.03495; https://par.nsf.gov/servlets/purl/10315017; https://arxiv.org/abs/2608.07073v2
72,Monika Henzinger,1,TCS-6625,Deterministic fully dynamic connectivity with polylogarithmic worst-case updates,Dynamic graph algorithms,reused,Deterministic dynamic connectivity is central to her dynamic graph program.,source_open,reviewed,revised,2026-09-10,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/h/MonikaRauchHenzinger.html,https://u.cs.biu.ac.il/~rodittl/p723-holm.pdf; https://doi.org/10.1137/1.9781611973105.81; https://arxiv.org/abs/1910.08025; https://arxiv.org/abs/2510.08297; https://doi.org/10.1137/1.9781611978971.103; https://erikdemaine.org/papers/DynamicConnectivity_SICOMP/
72,Monika Henzinger,2,TCS-6673,Optimal error for pure-DP continual counting,Differential privacy,reused,Optimal private continual counting connects her privacy-preserving dynamic algorithms.,open,reviewed,revised,2026-09-11,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/h/MonikaRauchHenzinger.html,https://arxiv.org/abs/2607.00876v2; https://proceedings.mlr.press/v202/jain23b.html; https://arxiv.org/abs/2607.08963; https://arxiv.org/abs/2607.28703v2; https://arxiv.org/abs/2608.08238
73,Shiri Chechik,1,TCS-6785,Optimal additive error of linear-size spanners,Algorithms & data structures,reused,Linear-size additive spanners concern her graph-distance structures.,source_open,reviewed,revised,2026-09-13,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/38/2434.html,https://arxiv.org/abs/1909.03152; https://arxiv.org/abs/2207.11832; https://arxiv.org/abs/2303.12768
73,Shiri Chechik,2,TCS-5209,Subquadratic exact fully dynamic weighted single-source distances,Dynamic graph algorithms,reused,Fully dynamic exact SSSP is a major frontier for her dynamic graph algorithms.,source_open,reviewed,revised,2026-09-13,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/38/2434.html,https://doi.org/10.4230/LIPIcs.ICALP.2017.44; https://arxiv.org/abs/1705.10097; https://arxiv.org/abs/1909.10850; https://doi.org/10.1109/FOCS57990.2023.00142
74,Anupam Gupta,1,TCS-6576,Optimal competitive ratio for convex body chasing,Online algorithms,reused,Convex body chasing connects his online geometric algorithms.,source_open,source,not individually completed,,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/27/2931.html,https://theory.epfl.ch/WinterSchool2025/slides/2025/Gupta_lec4-chasing.pdf
74,Anupam Gupta,2,TCS-6527,Constant-distortion Steiner point removal,Computational geometry and metric spaces,reused,Steiner point removal concerns his metric approximation and graph-compression research.,source_open,source,not individually completed,,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/27/2931.html,https://epubs.siam.org/doi/10.1137/1.9781611977912.191
75,Debmalya Panigrahi,1,TCS-7346,Strongly polynomial maximum flow below the \(mn\) barrier,Structural graph theory,reused,Strongly polynomial faster max flow extends his flow and cut work.,source_open,reviewed,revised,2026-09-13,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/81/6547.html,https://arxiv.org/abs/2510.20368; https://mj.ucw.cz/vyuka/ga/ga.pdf
75,Debmalya Panigrahi,2,TCS-6670,Polylogarithmic maintenance of the exact global minimum cut,Dynamic graph algorithms,reused,Fast dynamic exact min cut connects his graph optimization research.,source_open,reviewed,not individually completed,2026-09-11,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/81/6547.html,https://arxiv.org/abs/2512.13105; https://people.csail.mit.edu/virgi/6.s078/papers/omv.pdf; https://arxiv.org/abs/1611.06500; https://arxiv.org/abs/2302.05951; https://link.springer.com/article/10.1007/s00453-026-01394-4; https://arxiv.org/abs/2412.15069
76,Noga Alon,1,TCS-6500,Erdős girth conjecture,Structural graph theory,reused,The girth conjecture connects his extremal graph theory to spanner lower bounds.,open,reviewed,not individually completed,2026-09-10,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/a/NAlon.html,https://doi.org/10.4230/LIPIcs.ESA.2026.31; https://doi.org/10.1007/BF02189308
76,Noga Alon,2,TCS-1010,Optimal asymptotic binary rate–distance tradeoff,Coding and information theory,reused,The binary rate-distance tradeoff is a central extremal-coding question related to his combinatorial work.,source_open,reviewed,revised,2026-09-12,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/a/NAlon.html,https://people.seas.harvard.edu/~salil/pseudorandomness/; https://doi.org/10.1109/TIT.1977.1055688; https://arxiv.org/abs/math/0404325; https://arxiv.org/abs/2601.18590; https://arxiv.org/abs/2608.09347; https://arxiv.org/abs/2609.01860
77,Elchanan Mossel,1,TCS-6684,Computational Kesten–Stigum threshold,Beyond worst-case and average-case analysis,reused,The computational Kesten-Stigum threshold connects his reconstruction and stochastic-block-model work.,source_open,reviewed,not individually completed,2026-09-11,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/m/EMossel.html,https://arxiv.org/abs/1512.09080; https://proceedings.mlr.press/v49/banks16.html; https://arxiv.org/abs/2502.15024; https://arxiv.org/abs/2503.03047
77,Elchanan Mossel,2,TCS-6604,Fourier Entropy–Influence conjecture,Communication complexity and Boolean function analysis,reused,Fourier entropy-influence is directly in the Boolean-analysis area he helped develop.,source_open,reviewed,revised,2026-09-10,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/m/EMossel.html,https://www.cs.cmu.edu/~jswright/papers/fei.pdf; https://arxiv.org/abs/2312.08271; https://arxiv.org/abs/2606.00246; https://arxiv.org/abs/2608.01424
78,Allan Sly,1,TCS-4876,Algorithmic threshold for random k-SAT,Beyond worst-case and average-case analysis,reused,Algorithmic random-SAT thresholds directly concern his random-CSP work.,open,reviewed,revised,2026-09-12,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/36/3231.html,https://doi.org/10.4230/LIPIcs.APPROX/RANDOM.2025.48; https://arxiv.org/abs/2309.09913; https://doi.org/10.1137/09076516X; https://arxiv.org/abs/2106.02129
78,Allan Sly,2,TCS-6668,Polynomial mixing of critical three-dimensional Ising dynamics,Randomized algorithms and sampling,reused,Critical 3D Ising mixing connects his computational statistical-physics research.,source_open,source,not individually completed,,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/36/3231.html,https://arxiv.org/abs/2202.02301; https://arxiv.org/abs/2411.10318
79,Shafi Goldwasser,1,TCS-0022,One-way functions from \(\mathrm{P} \ne  \mathrm{NP}\),Cryptography,reused,OWFs from worst-case complexity concerns the foundations of cryptography she co-established.,source_open,reviewed,revised,2026-09-10,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/g/ShafiGoldwasser.html,https://www.math.ias.edu/files/mathandcomp.pdf; https://arxiv.org/abs/cs/0606037v3; https://johanhastad.se/prgfromowf.pdf; https://lucatrevisan.github.io/pubs/BT03.pdf; https://doi.org/10.4230/LIPIcs.ITCS.2026.97
79,Shafi Goldwasser,2,TCS-6545,Public-key encryption from one-way functions,Cryptography,reused,PKE from OWFs is a fundamental assumption gap in her field.,source_open,reviewed,revised,2026-09-10,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/g/ShafiGoldwasser.html,https://mit6875.github.io/FA23SLIDES/lec10.pdf; https://eprint.iacr.org/2017/365; https://doi.org/10.1145/73007.73012; https://johanhastad.se/prgfromowf.pdf; https://www.boazbarak.org/Papers/merkle.pdf; https://arxiv.org/abs/2510.03752
80,Chandra Chekuri,1,TCS-6588,Polylogarithmic approximation for Directed Steiner Tree,Approximation algorithms and hardness of approximation,reused,Directed Steiner approximation connects his network-design work.,source_open,reviewed,not individually completed,2026-09-11,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/82/3212.html,https://chekuri.web.engr.illinois.edu/pub.html; https://people.idsia.ch/~grandoni/Pubblicazioni/GLL19stoc.pdf; https://arxiv.org/abs/2302.04747; https://drops.dagstuhl.de/entities/document/10.4230/LIPIcs.ESA.2024.42; https://arxiv.org/abs/2412.10744; https://arxiv.org/abs/2607.25811
