
Algebraic computation
TCS-0005 | VP versus VNP
TCS-0986 | Characterizing Sketchable Distances
TCS-0988 | Deterministic Summary Structures
TCS-0993 | Graph Distances
TCS-0994 | Graph Matchings
TCS-0998 | Sketching vs. Streaming
TCS-1588 | Characterizing robustly computable predicates and functions
TCS-2233 | Superlinear local complexity of hereditary graph classes
TCS-2470 | Breaking the quadratic color bound for bounded outdegree
TCS-2753 | Fully adaptive strong Byzantine agreement with optimal resilience
TCS-2997 | Triangle detection in CONGEST
TCS-3075 | RNC sampling for determinant-counted objects
TCS-3381 | Polynomial-state protocols for Presburger arithmetic
TCS-3384 | Approximate matching and set packing in \(\mathrm{AC}^{0}\)
TCS-3416 | Wait-free exact FIFO queues in Common\(_{2}\)
TCS-3792 | Deterministic linearizable objects for set agreement
TCS-4099 | Pseudodeterministic NC perfect matching in general graphs
TCS-4193 | LOCAL lower bounds for 2-ruling sets
TCS-4231 | Complexity of general subgraph detection
TCS-4274 | Subpolynomial detection of two-connected patterns
TCS-4763 | Work-efficient parallel approximate flow
TCS-5127 | Wait-free solvability of graph approximate agreement
TCS-5427 | Characterizing multipass turnstile streaming
TCS-5795 | One-pass semi-streaming depth-first search
TCS-5797 | Linear scaling of local certificate size with verification radius
TCS-6080 | Linear-round weighted APSP in CONGEST
TCS-6125 | Exponential LOCAL–CONGEST separation for bounded-degree LCLs
TCS-6206 | Clique detection in CONGEST
TCS-6380 | Load-optimal parallel natural joins
TCS-6499 | Sublogarithmic distributed MIS
TCS-6501 | Constant-round MIS in the congested clique
TCS-6504 | Perfect matching in NC
TCS-6505 | One-cycle versus two-cycles conjecture
TCS-6506 | Deterministic LOCAL MIS in \(O(\log  n)\) rounds
TCS-6507 | Work-efficient parallel directed reachability
TCS-6553 | P versus NC
TCS-6554 | Distributed Lovász Local Lemma in \(O(\log  \log  n)\) rounds
TCS-6555 | Optimal exact single-source shortest paths in CONGEST
TCS-6556 | Directed reachability with nearly linear memory and polylogarithmic passes
TCS-6557 | Explicit superconstant lower bounds in the congested clique
TCS-7010 | Linear-sketch complexity of the nuclear norm
TCS-7172 | Depth-first search in NC
TCS-7259 | Two-dimensional sandpile prediction in NC
TCS-7336 | Common2 membership of FIFO queues
TCS-7337 | Register space of obstruction-free set agreement
TCS-7349 | Almost-linear-work parallel exact maximum flow

Dynamic graph algorithms
TCS-0387 | Dynamic Planar Nearest Neighbors
TCS-0478 | Dynamic APSP with edge-linear updates
TCS-0536 | Dynamic edge coloring
TCS-0538 | Low-degree spanning trees
TCS-0541 | Dynamic Complexity of Low-Stretch Spanning Trees
TCS-0543 | Dynamic Maximal Matching
TCS-0545 | Reducing weighted matching to unweighted matching
TCS-3331 | DynFO maintenance of red-predecessor parity
TCS-5209 | Subquadratic exact fully dynamic weighted single-source distances
TCS-6477 | Deterministic subquadratic dynamic s–t reachability
TCS-6625 | Deterministic fully dynamic connectivity with polylogarithmic worst-case updates
TCS-6626 | Polylogarithmic worst-case updates for exact dynamic minimum spanning forests
TCS-6627 | Fully dynamic near-optimal matching with polylogarithmic updates
TCS-6670 | Polylogarithmic maintenance of the exact global minimum cut
TCS-7326 | Worst-case logarithmic dynamic planar convex hulls
TCS-7332 | Logarithmic Las Vegas dynamic connectivity
TCS-7339 | Near-linear incremental topological ordering

Fine-grained complexity
TCS-0557 | Truly subquadratic algorithms for 3SUM
TCS-0560 | Fine-grained reductions from Hitting Set to 3SUM
TCS-0562 | Refuting nondeterministic SETH
TCS-0761 | Fine-grained complexity of k-LCS
TCS-0815 | Relation between permanent computation and SETH
TCS-5422 | Consequences of linear-time Orthogonal Vectors
TCS-6025 | Treewidth-dependent classification of subgraph isomorphism
TCS-6503 | Online matrix–vector multiplication conjecture
TCS-6510 | Truly subcubic APSP
TCS-6595 | Strong Exponential Time Hypothesis
TCS-6596 | Orthogonal Vectors Hypothesis
TCS-6597 | Algebraic k-Clique Hypothesis
TCS-6598 | Min-Plus Convolution Hypothesis
TCS-6599 | Hitting Set Conjecture
TCS-6661 | Hyperclique Hypothesis
TCS-6935 | Randomized Strong Exponential Time Hypothesis
TCS-6937 | Randomized APSP hypothesis
TCS-6940 | Tree edit distance versus APSP
TCS-6942 | Hitting Set hardness from Orthogonal Vectors
TCS-6944 | Min-Weight k-Clique hypothesis
TCS-6945 | Exact-Weight k-Clique hypothesis
TCS-6946 | Fine-grained relationship between APSP and 3SUM
TCS-6949 | Exhaustive-search lower bounds for Circuit-SAT
TCS-6950 | Disjunction of SETH, APSP and 3SUM hypotheses
TCS-7179 | Truly subquadratic exact edit distance
TCS-7270 | Linear-size Circuit-SAT below exhaustive search
TCS-7313 | ETH versus Gap-ETH
TCS-7347 | Directed unweighted APSP below \(n^{5/2}\)

Lattices and computational number theory
TCS-0648 | Constant-gap hardness of unique SVP
TCS-0651 | Deterministic NP-hardness reductions for Euclidean SVP
TCS-0652 | Dimension-preserving search-to-decision reductions for SVP
TCS-0653 | Explicit quantum exponential-time lower bounds for Euclidean SVP
TCS-0655 | Polynomial-factor SVP hardness from standard assumptions
TCS-0656 | Reducing factoring or discrete logarithms to approximate SVP
TCS-0657 | Smaller-factor coNP or coAM certificates for SVP
TCS-0658 | Standard-assumption hardness for cryptographic-factor SVP
TCS-0659 | Stronger worst-case reductions to SIS and LWE
TCS-0661 | SVP hardness for fixed-rank module lattices
TCS-0662 | Unconditional exponential hardness of \(n^{1+\varepsilon}\)-GapSVP
TCS-1170 | ETH hardness of constant-factor shortest-vector approximation for \(1\le p\le 2\)
TCS-5317 | NP-hardness of Euclidean covering radius
TCS-5395 | Downward self-reducibility of integer factoring
TCS-6571 | Hilbert’s tenth problem over the rationals
TCS-6617 | Integer factorization in randomized polynomial time
TCS-6618 | Prime-field discrete logarithms in randomized polynomial time
TCS-6619 | Exact Euclidean SVP in single-exponential time and polynomial space
TCS-6620 | Vinogradov’s least quadratic nonresidue conjecture
TCS-6667 | Polynomial-time, polynomial-factor approximation of Euclidean SVP
TCS-6861 | Classical reductions matching quantum LWE hardness
TCS-6863 | Algorithmic advantages of ideal-lattice structure
TCS-6864 | Classical worst-case reductions for ring-LWE
TCS-6868 | Worst-case and search-to-decision reductions for NTRU
TCS-7169 | Exact Euclidean SVP in BQP
TCS-7170 | Scholz–Brauer conjecture
TCS-7171 | Baillie–PSW pseudoprimes
TCS-7234 | Quantum polynomial-factor approximation of Euclidean SVP
TCS-7265 | Deterministic polynomial-time construction of a prime of a given bit length

Learning theory
TCS-0664 | Distribution dependence of deep-learning advantages
TCS-0670 | Local regularization for multiclass learning
TCS-0671 | Direct Sums in Learning Theory
TCS-0677 | Proper decision-tree learning in polynomial time
TCS-0682 | Monotonicity of Learning
TCS-0683 | Improper learning of mixtures of Gaussians
TCS-0684 | Planning-horizon dependence of sample complexity
TCS-0689 | Property Elicitation and Elicitation Complexity
TCS-0694 | Statistical-query complexity of sparse halfspaces
TCS-1539 | VC-dimension bounds for adversarially robust compression
TCS-1573 | NP-hardness of improper learning of P/poly
TCS-2336 | Optimal multiclass regret versus Littlestone dimension
TCS-2339 | Linear recursive teaching dimension versus VC dimension
TCS-2654 | Strong universal consistency in online learning
TCS-3113 | Finite VC dimension versus agnostic computable PAC learning
TCS-3117 | Memory–sample tradeoffs for noisy parity learning
TCS-3177 | Learning PH/poly from learning NP/poly
TCS-3391 | Efficient learning of well-separated Gaussian mixtures
TCS-3689 | Non-clashing teaching dimension versus VC dimension
TCS-3691 | Uniform convergence under Dobrushin dependence
TCS-3787 | Proper unlabeled compression of ample classes
TCS-4186 | Learning speedups from random examples
TCS-4592 | Time complexity of Gaussian agnostic halfspace learning
TCS-4672 | Price of bandit information in multiclass learning
TCS-4792 | Multiclass sample compression from binary compression
TCS-5031 | Littlestone-dimension regret bounds for unrestricted classes
TCS-5061 | Computable PAC learning versus effective sample bounds
TCS-5087 | Polynomial-time robust spectral estimation
TCS-5088 | Learning halfspace intersections under factorizable distributions
TCS-5090 | One-way functions from hardness of learning P/poly
TCS-5119 | Sample-optimal Gaussian graphical model learning in polynomial time
TCS-5153 | Characterizing adversarially robust PAC learnability
TCS-5358 | Polynomial-time distribution-free PAC learning of DNF
TCS-5434 | Nontrivial agnostic membership-query learning of \(\mathrm{ACC}^{0}\)
TCS-5847 | Linear conditional-information bounds for VC learning
TCS-5902 | PAC learning of finite automata under the uniform distribution
TCS-6541 | Linear-size sample compression
TCS-6542 | Learning parity with noise in polynomial time
TCS-6543 | Learning Boolean juntas from uniform random examples
TCS-6544 | Distribution-free learning of two margin halfspaces
TCS-7293 | Distribution-free improper learning of two unrestricted halfspaces
TCS-7294 | Learning decision trees from uniform random examples in polynomial time

Miscellaneous
TCS-7177 | \(1/3\)–\(2/3\) conjecture
TCS-7290 | Extremal size of sunflower-free set families

Online algorithms
TCS-0700 | Hardness of Correlated Prophet Inequality
TCS-0708 | Order Optimal Regret Bounds for Kernel-Based Reinforcement Learning
TCS-0711 | Model Selection for Contextual Bandits
TCS-0715 | Efficient Online Sparse Regression
TCS-0716 | Online Local Learning
TCS-0922 | Generalized assignment
TCS-0924 | Precedence scheduling for weighted completion time
TCS-0935 | Unit-job precedence scheduling complexity
TCS-1241 | Sublogarithmic competitiveness for online metric TSP
TCS-1529 | One forecaster with the optimal regret rate for every proper loss
TCS-4983 | Sublinear competitive ratio for randomized k-server
TCS-5030 | Optimal randomized competitive ratio of weighted k-server
TCS-5221 | Sublinear-in-q prophet inequalities for q-matroid intersection
TCS-5252 | Action-set-dependent regret in bandit combinatorial optimization
TCS-5779 | Constant-factor online contention resolution for matroids
TCS-6078 | Pinwheel Packing in NP
TCS-6575 | Deterministic competitiveness of k-server
TCS-6576 | Optimal competitive ratio for convex body chasing
TCS-6577 | Minimax dimension dependence in bandit convex optimization
TCS-6638 | Optimal approximation ratio for unrelated-machine makespan
TCS-6640 | Constant additive error for one-dimensional bin packing
TCS-6676 | Optimal approximation ratio for precedence-constrained makespan
TCS-6721 | Additive-one approximation for bin packing
TCS-6724 | Constant-factor related-machine precedence scheduling
TCS-6836 | Regret in misspecified linear bandits
TCS-6838 | Instance-optimal finite-time best-arm identification
TCS-7316 | Matroid secretary conjecture
TCS-7317 | Randomized competitiveness of k-server
TCS-7319 | Minimax rate of sequential binary calibration
TCS-7335 | Randomized competitive ratio of list update

Optimization and numerics
TCS-0008 | Strongly polynomial linear programming
TCS-0491 | Log-squared query complexity for fixed-dimensional Tarski
TCS-0673 | First-order convergence to local minimax optima
TCS-0687 | Gap-entropy conjecture
TCS-0722 | Polynomial-time linear convergence for geodesically convex optimization
TCS-0724 | Limited-memory convex optimization
TCS-0725 | Second-order cone representability of semialgebraic convex hulls
TCS-0728 | Smooth convex optimization in nonstandard oracle models
TCS-0914 | Deterministic min-cost matching with delays
TCS-5330 | Near-linear-query approximation schemes for matroid intersection
TCS-5494 | Oracle complexity of stochastic approximate stationarity
TCS-6483 | Superlinear randomized query lower bounds for submodular minimization
TCS-6572 | Polynomial-time simplex pivot rule
TCS-6574 | Exact semidefinite feasibility in polynomial time
TCS-6578 | Smale’s seventh problem
TCS-6585 | Nearly linear-time solution of general sparse linear systems
TCS-7007 | Input-sparsity relative spectral low-rank approximation
TCS-7008 | Polynomial-time relative entrywise \(\ell\)\(_{1}\) low-rank approximation
TCS-7226 | Woodall’s conjecture
TCS-7227 | Conforti–Cornuéjols conjecture
TCS-7231 | P-matrix linear complementarity in polynomial time
TCS-7264 | Single-exponential dependence on dimension for integer programming
TCS-7283 | Superpolynomial semidefinite extension complexity of perfect matching
TCS-7298 | Constant-factor entrywise \(\ell_1\) rank-\(k\) approximation with variable \(k\)
TCS-7314 | Komlós conjecture
TCS-7315 | Beck–Fiala conjecture

Parameterized and exact algorithms
TCS-0597 | Parameterized coloring of H-free graphs
TCS-0734 | FPT Inapproximability Results Beyond Gap-ETH
TCS-0784 | Polynomial kernels for Edge-Disjoint Paths
TCS-0787 | Lower Bounds for Computing Treewidth
TCS-0799 | Converting CNF to DNF
TCS-0800 | Cutwidth
TCS-0801 | Directed Hamiltonicity
TCS-0805 | Exact Counting of Linear Extensions
TCS-0808 | Maximum Acyclic Subgraph
TCS-0816 | Shortest common superstring problem
TCS-0818 | Complexity of #k-SAT
TCS-1945 | Parameterized Nearest Codeword hardness beyond Gap-ETH
TCS-2662 | Subexponential constant-gap Max-Clique under ETH
TCS-2804 | Slice-wise Polynomial Space Conjecture
TCS-3480 | Polynomial exact metric sparsifiers with a crossing-edge budget
TCS-3917 | Disjoint-union closure of tractable forbidden patterns
TCS-4289 | \(\mathrm{W}[2]\)-hardness of bounded-VC-dimension Hitting Set
TCS-4440 | Expected FPT delay from small-witness decision
TCS-4637 | Subexponential Planar Steiner Tree by terminal count
TCS-4695 | Polynomial kernels for forbidden-minor vertex deletion
TCS-4790 | Subset Sum below the meet-in-the-middle exponent
TCS-5374 | Degeneracy-sensitive classification of homomorphism counting
TCS-6379 | Polynomial kernels for Directed Feedback Vertex Set
TCS-6592 | FPT versus \(\mathrm{W}[1]\)
TCS-6593 | Exponential Time Hypothesis
TCS-6594 | Set Cover Conjecture
TCS-6660 | Polynomial kernel for Edge Multiway Cut
TCS-6728 | Chromatic number in \(2^{n}\) time and polynomial space
TCS-6731 | Strictness of the W-hierarchy
TCS-6734 | Polynomial compression versus polynomial kernelization
TCS-6749 | Deterministic polynomial kernels for Almost 2-SAT
TCS-6814 | Efficient PTAS for fixed-machine job-shop makespan
TCS-6974 | Formula-SAT below exhaustive search
TCS-7022 | Polynomial kernels for Planar Deletion
TCS-7023 | Polynomial kernels for H-minor-free Deletion
TCS-7027 | Fixed-parameter tractability of Perfect Deletion
TCS-7033 | Polynomial kernels for directed feedback sets
TCS-7035 | Single-exponential FPT for directed feedback sets
TCS-7036 | Parameterized complexity of three-pair Directed Edge Multicut
TCS-7181 | Exact recognition of bounded clique-width
TCS-7233 | Breaking the \(2^{n}\) barrier for weighted TSP
TCS-7241 | FPT approximation of twin-width
TCS-7247 | Independent set algorithms from tropical circuit size
TCS-7312 | Fixed-parameter tractability of graph isomorphism by rank-width

Proof complexity
TCS-0024 | Frege lower bounds from circuit hardness
TCS-0025 | Superpolynomial lower bounds for unrestricted Frege proofs
TCS-0071 | \(\mathrm{NC}^{0}\) proof systems
TCS-1096 | Unprovability of polynomial circuit upper bounds in \(S_{2}^{1}\)
TCS-1097 | Unprovability of NP circuit upper bounds in \(T_{2}^{1}\)
TCS-1098 | \(PV_{1}\) cannot verify any polynomial-time SAT solver
TCS-1099 | Separating levels of bounded arithmetic
TCS-1253 | Superpolynomial Res\([\oplus ]\) lower bounds
TCS-2889 | Short tree-like resolution from small proof space
TCS-4982 | Does uniform randomized circuit learning imply P equals NP?
TCS-5114 | Lovász–Schrijver versus cutting planes
TCS-5275 | Supercritical proof size–depth tradeoffs
TCS-5292 | Optimal proof systems outside NP
TCS-5332 | Weak automatability of Resolution
TCS-5333 | Linear-space Cutting Planes refutations
TCS-6601 | Superpolynomial Extended Frege lower bounds
TCS-6602 | Superpolynomial \(\mathrm{AC}^{0}[p]\)-Frege lower bounds
TCS-6663 | Frege versus Extended Frege
TCS-6759 | PSPACE-completeness of resolution space
TCS-6764 | Quadratic resolution space for linear-size CNFs
TCS-6766 | Polynomial resolution length from logarithmic clause space
TCS-6767 | Resolution length–width tradeoffs
TCS-6768 | Simultaneous polynomial-length constant-space refutations
TCS-6770 | Cutting Planes versus polynomial-coefficient Cutting Planes
TCS-6771 | Linear versus general resolution
TCS-7162 | Existence of p-optimal proof systems
TCS-7163 | Effective polynomial simulation of Extended Frege by Resolution
TCS-7273 | Complete disjoint NP pairs

Property testing and distribution learning
TCS-0672 | Tight Characterization of Instance-Optimal Identity Testing
TCS-0841 | Equivalence Testing with Conditional Samples
TCS-0847 | Query complexity of directed acyclicity testing with bidirectional access
TCS-0848 | Testing Submodularity
TCS-1029 | Sharp graph-removal bounds for fixed patterns
TCS-1030 | Characterizing polynomial-query dense graph properties
TCS-1033 | Polynomial testability versus distance estimation
TCS-2535 | A dimension-free directed \(\mathrm{L}^{1}\) Poincaré inequality
TCS-3906 | Sample complexity of symmetric Markov-chain identity testing
TCS-4259 | Optimal query cost of reducing testing adaptivity
TCS-4376 | Characterizing sublinear-query testable graph properties
TCS-5085 | Query complexity of Max-CSP testing
TCS-5210 | Polylogarithmic-query pattern-freeness testing
TCS-5443 | Polynomial-time learning of Gaussian mixtures
TCS-6630 | Effective classification of polynomially testable hereditary graph properties
TCS-6672 | Sublinear testing of bounded-degree graph isomorphism

Pseudorandomness and derandomization
TCS-0003 | P versus BPP
TCS-0026 | L versus BPL
TCS-0854 | Promise-ZPP versus Promise-BPP derandomization
TCS-0987 | Deterministic Heavy-Hitters & Fast Matrix Algorithms
TCS-1005 | Unconditional subexponential simulation of BPP
TCS-1006 | Explicit simultaneous isolation for perfect matchings
TCS-1007 | Universal traversal sequences under arbitrary labels
TCS-1008 | Bipartite vertex expanders with constant expansion loss
TCS-1009 | Near-lossless undirected constant-degree vertex expanders
TCS-1013 | Optimal-size highly unbalanced lossless expanders
TCS-1014 | Constant-loss condensers with logarithmic seeds
TCS-1015 | Seeded extraction with constant total entropy loss
TCS-1016 | Extraction with log n plus constant seed length
TCS-1018 | Optimal generators for hardness-to-randomness transformations
TCS-1019 | Polynomial-time derandomization of randomized AC0
TCS-1021 | Promise-BPP derandomization implying EXP circuit hardness
TCS-1022 | Derandomization implying exponential nondeterministic circuit hardness
TCS-1024 | Extracting from low-entropy efficiently samplable sources
TCS-1122 | Nontrivial PRGs for logarithmic-degree binary polynomials
TCS-1124 | Optimal PRGs for high-dimensional combinatorial rectangles
TCS-1125 | Sub-log-squared seeds for width-four ordered branching programs
TCS-1131 | Sublinear-seed generators for AC0 with parity gates
TCS-1133 | Sub-log-squared seeds for polynomial-size CNFs and DNFs
TCS-1135 | Promise-AM derandomization via targeted hitting sets
TCS-1137 | Derandomization from almost-everywhere uniform hardness
TCS-1956 | Super-bits from demi-bits
TCS-2201 | Non-malleable extractors from standard extractors
TCS-3958 | Pseudorandom generators for superlinear-size depth-two threshold circuits
TCS-3986 | Circuit hardness from inverse-polynomial-error BPP heuristics
TCS-4778 | Derandomizing amplified relational computation
TCS-5287 | Arithmetic formula hardness versus identity testing
TCS-5341 | Pseudorandom generators from hitting-set generators
TCS-5798 | Pseudodeterministic construction of primes at every length
TCS-6600 | Optimal explicit pseudorandom generators for read-once branching programs
TCS-6662 | Optimal deterministic restricted-isometry matrices
TCS-6686 | P versus RP
TCS-6689 | Simultaneously optimal averaging samplers
TCS-6693 | Subpolynomial-seed pseudorandom generators for \(\mathrm{AC}^{0}[2]\)
TCS-6696 | Uniform PRGs from exponential-time hardness
TCS-6699 | AM versus NP
TCS-6729 | Deterministic linear representations of transversal matroids
TCS-6879 | Explicit near-optimal vertex expanders
TCS-7271 | Two-source extraction at log n plus constant entropy

Quantum computation
TCS-0027 | Black-box unitary synthesis
TCS-0029 | Maximum randomized-versus-quantum gap for total functions
TCS-0030 | Oracle separation of BQP from efficient-prover interactive proofs
TCS-0031 | Oracle separation of BQP from IP
TCS-0033 | Quantum query complexity versus bounded approximate degree
TCS-0034 | Quantum query–space tradeoffs for collisions and distinctness
TCS-0036 | BPP versus BQP
TCS-0037 | NP outside BQP
TCS-0860 | Complexity of Quantum Approximate Counting
TCS-0861 | \(\mathrm{QMA}(2)\) versus BQEXP
TCS-0862 | Constant-round QRG versus PSPACE
TCS-1259 | Exact quantum fanout in constant depth with unrestricted circuit size
TCS-1324 | Quantum games PCP with efficient honest provers and short messages
TCS-1882 | Optimal quantum query complexity of uniformity testing
TCS-1961 | One-way state generators versus EFI pairs
TCS-2229 | QMA versus \(\mathrm{QMA}(2)\)
TCS-2408 | Remote state preparation from quantum-secure one-way functions
TCS-2707 | Quantum partition functions from zero-freeness
TCS-3275 | Completeness and soundness amplification in StoqMA
TCS-3709 | Lifting quantum query complexity to communication
TCS-4238 | Sequential randomness certification against non-signaling adversaries
TCS-4457 | Simulation or postselection universality for algebraic two-qubit interactions
TCS-4615 | Quantum entropy inequalities beyond strong subadditivity
TCS-4715 | Succinct entangled proofs with efficient provers
TCS-4734 | Locality-preserving quantum gap amplification
TCS-4737 | QMA versus \(\mathrm{QMA}_{1}\)
TCS-4753 | \(\mathrm{QMA}(2)\) versus NEXP
TCS-4789 | Collapse of the quantum-classical polynomial hierarchy
TCS-4811 | Dihedral coset problem versus Subset Sum
TCS-4835 | Characterizing nonunitary quantum space
TCS-4894 | Parity versus \(\mathrm{AC}^{0}\) with shallow quantum preprocessing
TCS-4927 | Classification of quantum gate sets
TCS-4952 | Quantum–classical communication gaps for total functions
TCS-4977 | Classical-witness versus quantum-witness hierarchies
TCS-4991 | Reducing shared entanglement in communication protocols
TCS-5021 | Limiting optimized QAOA energy in the SK model
TCS-5077 | Exponential repetition of two-player entangled games
TCS-5202 | Quantum security of general seeded extractors
TCS-6446 | Quantum PCP conjecture
TCS-6447 | Strong quantum IOPs with polynomial communication
TCS-6448 | QMA versus QCMA
TCS-6449 | Quantum versus classical nonuniform advice
TCS-6459 | Entanglement without distillable secret key
TCS-6481 | Complexity of bosonic quantum computation
TCS-6515 | Asymptotically good quantum locally testable stabilizer codes
TCS-6516 | Area law for gapped two-dimensional Hamiltonians
TCS-6517 | Passive quantum memory in three dimensions
TCS-6518 | NPT bound entanglement
TCS-6519 | Quantum capacity of the qubit depolarizing channel
TCS-6520 | Computability of quantum channel capacity
TCS-6521 | Dihedral hidden subgroup problem in BQP
TCS-6522 | Graph isomorphism in BQP
TCS-6580 | Information-theoretic classical verification of quantum computation
TCS-6933 | Classical hardness of Boson Sampling
TCS-7308 | Bell nonlocality from finitely many copies of every entangled state

Randomized algorithms and sampling
TCS-2861 | Efficient negatively dependent sampling from matroid polytopes
TCS-6621 | Rapid mixing of Glauber dynamics with \(\Delta +2\) colours
TCS-6622 | Kannan–Tetali–Vempala conjecture
TCS-6668 | Polynomial mixing of critical three-dimensional Ising dynamics
TCS-6839 | Polynomial mixing of Ising dynamics with plus boundaries
TCS-6840 | Monotonicity of Ising spectral gaps
TCS-6843 | Cutoff for bounded-degree transitive expanders
TCS-6851 | Polynomial-time computation of exact cover time
TCS-6857 | Mixing of the self-avoiding-walk pivot chain

Semantics, logic and verification
TCS-0092 | Complete methods for fair almost-sure termination
TCS-0619 | Reachability in Low-Dimensional VASS
TCS-0632 | Complexity of fixed VAS reachability
TCS-0640 | Shortest runs in 3-D VASS
TCS-0896 | Recursive normalizing strategies for Church–Rosser rewriting
TCS-0901 | Decidability of one-rule linear rewriting termination
TCS-0913 | Word problem for the S-combinator
TCS-1649 | Decidability of branching-VASS reachability
TCS-1659 | Decidability of Bellman-operator reachability
TCS-2033 | Complexity of one-dimensional grammar-controlled VAS
TCS-3031 | Consistency of excluded middle and Church’s thesis in Coq
TCS-3655 | Inductive-inductive types from inductive types without UIP
TCS-4017 | Axiomatizing positive relation calculus with transitive closure
TCS-4245 | Parity games in polynomial time
TCS-4302 | Strategy synthesis for multi-objective probabilistic LTL
TCS-5682 | One-dimensional piecewise-affine reachability
TCS-5773 | Skolem problem
TCS-5817 | Computational interpretation of impredicativity with univalence
TCS-5915 | Constructive simplicial models with univalent universes
TCS-5975 | Decidability of decisiveness in probabilistic transition systems
TCS-5987 | Decidability of weak bisimulation for normed BPA
TCS-6036 | Decidability of restricted elementary real functions
TCS-6112 | Univalence, impredicativity and propositional resizing
TCS-6245 | Exponential witness bounds for three-dimensional VAS
TCS-6359 | Decidability and completeness of concurrent Kleene algebra
TCS-6565 | Positivity problem for linear recurrences
TCS-6566 | Continuous Skolem problem
TCS-6567 | Simple stochastic games in polynomial time
TCS-6568 | Mean-payoff games in polynomial time
TCS-6569 | Internal semisimplicial types in ordinary HoTT
TCS-6570 | Scott-continuous lambda models with theory \(\lambda \beta\)
TCS-6583 | Barendregt–Geuvers–Klop conjecture
TCS-7153 | Ultimate Positivity problem
TCS-7154 | Effective ultimate-positivity thresholds for simple recurrences
TCS-7156 | Universal integer termination of affine linear loops
TCS-7157 | Termination of linear-constraint loops
TCS-7192 | Decidability of multiplicative-exponential linear logic
TCS-7230 | Tarski’s exponential function problem
TCS-7310 | Unconditional decidability of exact time-bounded CTMDP reachability

String algorithms and bioinformatics
TCS-0466 | Certifying Karp–Rabin fingerprints
TCS-0467 | Linear-space LZ77 random access
TCS-0468 | Linear-time LZ77 pattern matching
TCS-0470 | Grammar random access in \(O(g \log  g)\) bits
TCS-5851 | Truly subcubic unweighted tree edit distance
TCS-6513 | Constant-factor approximation of the smallest grammar
TCS-6623 | Worst-case sample complexity of trace reconstruction
TCS-6624 | Constant-factor edit-distance approximation in \(O(n \operatorname{polylog} n)\) time
TCS-6669 | Breaking factor two for sum-of-pairs multiple sequence alignment
TCS-6928 | Linear-space representation from smallest string attractors
TCS-7220 | Truly subquadratic \((1+\varepsilon )\)-approximation of edit distance
TCS-7235 | Almost-linear-time \((1+\varepsilon )\)-approximation of edit distance
TCS-7297 | Optimal \(\ell\)\(_{1}\) distortion of edit distance
TCS-7322 | Optimal approximation ratio for shortest common superstring

Structural graph theory
TCS-0315 | Fat Minors
TCS-0587 | Polylogarithmic treewidth with forbidden induced minors
TCS-0594 | 3-colorability of diameter-two graphs
TCS-0611 | Bipartite Exact Matching: deterministic polynomial time
TCS-0771 | Computational complexity of planar treewidth
TCS-0775 | Optimal exact-distance labels for planar graphs
TCS-1206 | Structural nowhere density of monadically stable graph classes
TCS-1246 | Well-quasi-ordering Eulerian digraphs by weak immersion
TCS-1639 | Linear neighborhood complexity of hereditary small graph classes
TCS-2783 | Erdős girth conjecture
TCS-6500 | Erdős girth conjecture
TCS-6511 | Deterministic Exact Matching
TCS-6536 | Deterministic linear-time minimum spanning tree
TCS-6538 | Almost-linear-time exact maximum matching in general graphs
TCS-6539 | Almost-linear triangle detection
TCS-6651 | Hadwiger’s conjecture
TCS-6652 | Erdős–Hajnal conjecture
TCS-6653 | Gyárfás–Sumner conjecture
TCS-6654 | Seese’s conjecture
TCS-6655 | Cereceda’s conjecture
TCS-6682 | Reed’s conjecture
TCS-6683 | Optimal bounds in the Excluded Grid Theorem
TCS-6874 | Ramanujan graphs of every degree
TCS-6875 | Two-sided Ramanujan signings
TCS-7143 | Bipartite circle pivot-minors from large rank-width
TCS-7144 | Tree vertex-minors from large linear rank-width
TCS-7145 | Well-quasi-ordering by pivot-minors
TCS-7180 | Graph canonization versus graph isomorphism
TCS-7216 | Vertex reconstruction conjecture
TCS-7217 | Edge reconstruction conjecture
TCS-7218 | List edge-coloring conjecture
TCS-7222 | Graph isomorphism in polynomial time
TCS-7228 | Exact directed maximum flow in \(O((m+n) \operatorname{polylog} n)\) time
TCS-7244 | Boolean dimension of posets with planar cover graphs
TCS-7245 | Constant-factor treewidth preservation by subcubic subgraphs
TCS-7248 | Tutte’s 5-flow conjecture
TCS-7249 | Berge–Fulkerson conjecture
TCS-7250 | Barnette’s conjecture
TCS-7251 | Caccetta–Häggkvist conjecture
TCS-7252 | Triangle covering-to-packing ratio
TCS-7253 | Seymour’s second-neighborhood conjecture
TCS-7254 | Neumann–Lara conjecture
TCS-7263 | Linear-time directed shortest paths with nonnegative real weights
TCS-7285 | Strongly explicit Ramanujan families for every degree
TCS-7289 | Lovász conjecture
TCS-7341 | Strongly polynomial near-linear negative-weight shortest paths
TCS-7342 | Steiner Shortcut Conjecture
TCS-7343 | Deterministic almost-linear vertex connectivity
TCS-7344 | Almost-linear exact directed global minimum cut
TCS-7345 | Almost-linear directed vertex connectivity
TCS-7346 | Strongly polynomial maximum flow below the \(mn\) barrier
TCS-7348 | Single-exponential exact cut mimicking networks
